run|cell|train_seed|obs_seed|rc|rel_l2_u|rel_l2_speed|rel_l2_p|wall_ms|metrics_present|metrics_root
rev2609_t5c16__s42__o0|t5c16|42|0|0|0.0388175|0.0227858|0.0329625|111937|YES|pinn
rev2609_t5c19__s42__o0|t5c19|42|0|0|0.037018|0.0225177|0.0224576|174556|YES|pinn
rev2609_t5c04__s42__o0|t5c04|42|0|0|0.0320857|0.032084|0.0725301|53680|YES|pinn
rev2609_t5c08__s42__o0|t5c08|42|0|0|0.025932|0.0259191|0.102104|54608|YES|pinn
rev2609_t5c04__s43__o0|t5c04|43|0|0|0.0207185|0.0207178|0.0893818|54976|YES|pinn
rev2609_t5c08__s43__o0|t5c08|43|0|0|0.0229687|0.0229655|0.0918432|54872|YES|pinn
rev2609_t5c01__s42__o0|t5c01|42|0|0|0.0221125|0.0221129|0.104091|80531|YES|pinn
rev2609_t5c01__s43__o0|t5c01|43|0|0|0.0190374|0.0190347|0.104272|80242|YES|pinn
rev2609_t5c01__s44__o0|t5c01|44|0|1|NA|NA|NA|53541|YES|pinn
rev2609_t5c01__s44__o0|t5c01|44|0|0|0.0243959|0.02439|0.111074|82107|YES|pinn
rev2609_t5c01__s45__o0|t5c01|45|0|0|0.0260503|0.0260485|0.128934|81432|YES|pinn
rev2609_t5c01__s46__o0|t5c01|46|0|0|0.0264928|0.0264907|0.127282|82542|YES|pinn
rev2609_t5c02__s42__o0|t5c02|42|0|0|0.0220886|0.0220889|0.120578|81829|YES|pinn
rev2609_t5c02__s43__o0|t5c02|43|0|0|0.0190604|0.0190577|0.115021|82772|YES|pinn
rev2609_t5c02__s44__o0|t5c02|44|0|0|0.0244051|0.0243992|0.111951|81348|YES|pinn
rev2609_t5c02__s45__o0|t5c02|45|0|0|0.0260994|0.0260977|0.141695|82391|YES|pinn
rev2609_t5c02__s46__o0|t5c02|46|0|0|0.0265553|0.026553|0.138592|81475|YES|pinn
rev2609_t5c03__s42__o0|t5c03|42|0|0|0.0357619|0.0357442|0.174211|60149|YES|pinn
rev2609_t5c03__s43__o0|t5c03|43|0|0|0.0355581|0.0355405|0.178941|59539|YES|pinn
rev2609_t5c03__s44__o0|t5c03|44|0|0|0.0264779|0.0264657|0.167846|58942|YES|pinn
rev2609_t5c03__s45__o0|t5c03|45|0|0|0.0344187|0.0344246|0.178173|52688|YES|pinn
rev2609_t5c03__s46__o0|t5c03|46|0|0|0.0301417|0.030139|0.219267|51998|YES|pinn
rev2609_t5c04__s44__o0|t5c04|44|0|0|0.02627|0.026265|0.0804988|53093|YES|pinn
rev2609_t5c04__s45__o0|t5c04|45|0|0|0.0231774|0.0231763|0.107554|52462|YES|pinn
rev2609_t5c04__s46__o0|t5c04|46|0|0|0.0253012|0.0252945|0.101434|53834|YES|pinn
rev2609_t5c05__s42__o0|t5c05|42|0|0|0.027161|0.0271603|0.077923|53143|YES|pinn
rev2609_t5c05__s43__o0|t5c05|43|0|0|0.0172016|0.0172032|0.0858226|53613|YES|pinn
rev2609_t5c05__s44__o0|t5c05|44|0|0|0.0231661|0.0231613|0.0687365|54147|YES|pinn
rev2609_t5c05__s45__o0|t5c05|45|0|0|0.0213896|0.021389|0.108552|54022|YES|pinn
rev2609_t5c05__s46__o0|t5c05|46|0|0|0.021671|0.0216671|0.0953192|53279|YES|pinn
rev2609_t5c06__s42__o0|t5c06|42|0|0|0.0257034|0.0257022|0.078404|55199|YES|pinn
rev2609_t5c06__s43__o0|t5c06|43|0|0|0.0198876|0.0198831|0.08684|54953|YES|pinn
rev2609_t5c06__s44__o0|t5c06|44|0|0|0.0266821|0.0266793|0.0771037|54491|YES|pinn
rev2609_t5c06__s45__o0|t5c06|45|0|0|0.0204059|0.0204058|0.101228|54134|YES|pinn
rev2609_t5c06__s46__o0|t5c06|46|0|0|0.0222778|0.022274|0.0829914|55683|YES|pinn
rev2609_t5c07__s42__o0|t5c07|42|0|0|0.0605322|0.0605409|0.202446|52719|YES|pinn
rev2609_t5c07__s43__o0|t5c07|43|0|0|0.0312334|0.0312504|0.189141|52568|YES|pinn
rev2609_t5c07__s44__o0|t5c07|44|0|0|0.039623|0.0396199|0.178065|52747|YES|pinn
rev2609_t5c07__s45__o0|t5c07|45|0|0|0.0469514|0.0469526|0.204593|52500|YES|pinn
rev2609_t5c07__s46__o0|t5c07|46|0|0|0.045627|0.0456427|0.216404|52638|YES|pinn
rev2609_t5c08__s44__o0|t5c08|44|0|0|0.0270102|0.0270071|0.0944152|53046|YES|pinn
rev2609_t5c08__s45__o0|t5c08|45|0|0|0.0272983|0.0272902|0.133189|53417|YES|pinn
rev2609_t5c08__s46__o0|t5c08|46|0|0|0.0256765|0.0256766|0.0897561|53540|YES|pinn
rev2609_t5c09__s42__o0|t5c09|42|0|0|0.028051|0.0280505|0.0821609|54629|YES|pinn
rev2609_t5c09__s43__o0|t5c09|43|0|0|0.0259833|0.0259817|0.101167|54641|YES|pinn
rev2609_t5c09__s44__o0|t5c09|44|0|0|0.0251951|0.0251898|0.0878868|54301|YES|pinn
