x_star,y_star,u_star,v_star,p_star,bc_tag
0,-0.110366,1.24703,1.25147e-32,230.901,1
0,-0.0827746,1.24906,9.68494e-33,230.469,1
0,-0.220732,1.20252,1.97768e-32,233.619,1
0,-0.137958,1.24276,1.50193e-32,231.443,1
0,-0.165549,1.23498,1.7117e-32,232.087,1
0,-0.193141,1.22217,1.87173e-32,232.818,1
0,-0.0551831,1.24981,6.59245e-33,230.156,1
0,4.31753e-17,1.25,-2.71346e-36,229.904,1
0,-0.0275915,1.24999,3.34679e-33,229.966,1
0,0.0275915,1.24999,-3.34255e-33,229.966,1
0,0.0551831,1.24981,-6.59258e-33,230.156,1
0,0.0827746,1.24906,-9.68203e-33,230.471,1
0,0.110366,1.24703,-1.25244e-32,230.9,1
0,-0.248324,1.17395,2.01826e-32,234.485,1
0,-0.275915,1.13409,2.00176e-32,235.364,1
0.019917,-0.103352,1.2497,0.0225354,230.922,0
0.019917,-0.129583,1.24611,0.0272275,231.355,0
0.0196979,-0.0746837,1.25152,0.0166357,230.547,0
0.0192787,-0.240867,1.18284,0.0368559,233.988,0
0.0206143,-0.213359,1.20921,0.0380257,233.233,0
0.0201988,-0.158364,1.23886,0.0319459,231.924,0
0.0201988,-0.184401,1.22796,0.035044,232.513,0
0.0196979,-0.0483018,1.25216,0.0109695,230.308,0
0.0195225,0.0197278,1.25231,-0.00445878,230.153,0
0.0195225,-0.0197279,1.2523,0.00445823,230.151,0
0.0196979,0.0483017,1.25216,-0.0109677,230.307,0
0.0196979,0.0746837,1.25151,-0.0166368,230.546,0
0.019917,0.103352,1.24969,-0.0225428,230.919,0
0.0188522,0.130864,1.24569,-0.0261495,231.375,0
0,0.137958,1.24276,-1.50173e-32,231.445,1
0.0196754,-0.270638,1.14235,0.0371897,234.807,0
0,-0.303507,1.08029,1.88387e-32,236.246,1
0,-0.331098,1.00964,1.73667e-32,237.163,1
0.0394269,-0.26191,1.15496,0.064687,234.218,0
0.0404037,-0.149349,1.24569,0.0535142,231.726,0
0.0398373,-0.0946214,1.25588,0.0365776,230.891,0
0.0422451,-0.122002,1.25291,0.0473661,231.272,0
0.0398373,-0.0694762,1.25766,0.0275389,230.627,0
0.0421001,-0.234431,1.19052,0.0680067,233.516,0
0.0411002,-0.203908,1.21829,0.0645272,232.832,0
0.0411002,-0.179481,1.23353,0.0607701,232.314,0
0.039362,-0.0397759,1.25839,0.0159579,230.409,0
0.039362,0.0397759,1.2584,-0.0159559,230.41,0
0.039362,0.0132586,1.25868,-0.00535051,230.316,0
0.039362,-0.0132587,1.25868,0.00535271,230.318,0
0.0625667,0.0590622,1.26841,-0.0318668,230.646,0
0.0414972,0.0672111,1.25843,-0.0274816,230.622,0
0.0398373,0.0946214,1.25592,-0.0365828,230.898,0
0.0404037,0.124518,1.25187,-0.0466392,231.312,0
0.0201988,0.158364,1.23886,-0.0319563,231.924,0
0.0404037,0.149349,1.24568,-0.0535104,231.728,0
0,0.165549,1.23498,-1.7129e-32,232.081,1
0,-0.441464,0.490351,4.51681e-33,239.586,1
0,-0.469056,0.281881,1.54459e-33,239.675,1
0,-0.413873,0.663189,8.21333e-33,239.223,1
0,-0.386281,0.804708,1.1809e-32,238.698,1
0,-0.35869,0.91894,1.466e-32,237.92,1
0.0403486,-0.294084,1.09721,0.0624928,234.966,0
0.0222025,-0.323166,1.03016,0.0362056,236.171,0
0.0644838,-0.256385,1.16183,0.087987,233.651,0
0.0604674,-0.283884,1.11466,0.0818863,234.291,0
0.0614968,-0.1697,1.24307,0.0763938,232.023,0
0.0614968,-0.14631,1.25289,0.0693996,231.635,0
0.0816947,-0.113485,1.27068,0.0659932,231.154,0
0.0628868,-0.0876329,1.26618,0.046209,230.886,0
0.0596464,-0.0602737,1.26689,0.0315858,230.645,0
0.0627368,-0.224101,1.20259,0.0865463,233.024,0
0.0791222,-0.196394,1.22995,0.093205,232.343,0
0.0638391,-0.0319274,1.27022,0.0177185,230.509,0
0.0632043,0.030006,1.2699,-0.0165534,230.494,0
0.0680318,-0.00358115,1.27298,0.00205468,230.465,0
0.0841713,0.0507063,1.28118,-0.0320041,230.636,0
0.0604594,0.115037,1.26087,-0.0571125,231.188,0
0.08061,0.0814577,1.276,-0.0491195,230.848,0
0.0816947,0.13606,1.26401,-0.0760099,231.419,0
0.0614968,0.14631,1.2529,-0.0694177,231.637,0
0.0614968,0.1697,1.24306,-0.0763898,232.023,0
0.0201988,0.184401,1.22796,-0.03502,232.524,0
0.0411002,0.179481,1.23354,-0.0607598,232.311,0
0,0.193141,1.22217,-1.85649e-32,232.817,1
0,-0.5,-1.16801e-30,-1.62062e-30,239.588,1
0.0239834,-0.438039,0.510152,0.0105335,238.196,0
0.0239979,-0.467873,0.289102,0.00336216,238.242,0
0.0213345,-0.381711,0.822705,0.0238058,237.565,0
0.0448372,-0.425217,0.584863,0.0215763,237.054,0
0.0213345,-0.404808,0.709968,0.0180114,237.945,0
0.0851391,-0.245009,1.17745,0.0999316,233.099,0
0.0419179,-0.35019,0.941794,0.0502771,236.163,0
0.0622675,-0.318942,1.03216,0.0745643,234.94,0
0.0877902,-0.279243,1.11881,0.0969984,233.637,0
0.0824211,-0.306813,1.05767,0.0879028,234.203,0
0.0867797,-0.163356,1.25385,0.0881505,231.767,0
0.103606,-0.136523,1.27321,0.0828112,231.332,0
0.101978,-0.10305,1.28366,0.0659574,231.008,0
0.0984165,-0.0722989,1.28762,0.047516,230.776,0
0.0948552,-0.0415476,1.28853,0.0276342,230.611,0
0.105638,-0.191915,1.23904,0.10162,232.017,0
0.100552,-0.219694,1.21032,0.10452,232.473,0
0.101978,-0.0147215,1.29454,0.01009,230.543,0
0.0877326,0.019955,1.28493,-0.0129876,230.537,0
0.10821,0.0378671,1.29769,-0.0262629,230.594,0
0.101978,0.0736073,1.28964,-0.0488246,230.772,0
0.101978,0.10305,1.2837,-0.065939,231.005,0
0.107717,0.130434,1.27764,-0.0808676,231.243,0
0.0867797,0.163356,1.25385,-0.0881453,231.768,0
0.0791222,0.196394,1.22994,-0.0932036,232.341,0
0.038703,0.206921,1.21575,-0.0621674,232.914,0
0,0.220732,1.20252,-1.96929e-32,233.627,1
0.0405824,-0.5,1.38561e-31,-3.37685e-30,237.07,3
0.0522117,-0.466483,0.292654,0.00619585,236.742,0
0.0707703,-0.435056,0.510113,0.0214071,235.942,0
0.0651631,-0.393479,0.749762,0.0430264,235.925,0
0.108336,-0.266658,1.13952,0.104284,233.045,0
0.122696,-0.243772,1.17768,0.10819,232.497,0
0.0853498,-0.3621,0.877954,0.0648102,234.896,0
0.105472,-0.330887,0.979454,0.0834807,233.956,0
0.112042,-0.303029,1.05739,0.0953658,233.453,0
0.126074,-0.179995,1.25415,0.101467,231.657,0
0.11484,-0.158259,1.26648,0.0935358,231.506,0
0.123789,-0.125091,1.28756,0.0802482,231.11,0
0.128796,-0.0925718,1.30184,0.0628391,230.831,0
0.117557,-0.0599077,1.30163,0.0415987,230.672,0
0.128388,-0.0174511,1.31307,0.0125617,230.514,0
0.128747,-0.21579,1.21739,0.107941,232.061,0
0.149132,-0.184388,1.25589,0.102202,231.482,0
0.126014,0.0214261,1.31116,-0.0153706,230.528,0
0.125129,0.0559656,1.30724,-0.039365,230.637,0
0.131742,0.0894838,1.30447,-0.0610715,230.802,0
0.105638,0.191915,1.23905,-0.10161,232.028,0
0.13582,0.119082,1.29621,-0.0777411,230.995,0
0.130916,0.152584,1.27606,-0.0927257,231.331,0
0.126074,0.179995,1.25415,-0.101472,231.672,0
0.100552,0.219694,1.21034,-0.10453,232.47,0
0.0627368,0.224101,1.20259,-0.0865382,233.029,0
0.0421001,0.234431,1.19054,-0.0679664,233.519,0
0.0206143,0.239132,1.18479,-0.0389711,233.909,0
0,0.248324,1.17395,-2.02021e-32,234.482,1
0.0854746,-0.5,1.36788e-31,-3.53649e-30,234.812,3
0.0993799,-0.472581,0.228393,0.00498357,234.588,0
0.0901288,-0.417379,0.607288,0.0328889,235.116,0
0.107774,-0.445008,0.424519,0.0171997,234.467,0
0.109751,-0.386739,0.756103,0.0525007,234.306,0
0.145581,-0.268654,1.12874,0.104217,232.394,0
0.152586,-0.24042,1.18155,0.106953,232.003,0
0.157228,-0.296803,1.05809,0.0948198,232.445,0
0.12953,-0.356014,0.877295,0.0704387,233.546,0
0.149364,-0.325212,0.977154,0.0844898,232.843,0
0.146359,-0.147898,1.28521,0.0907749,231.162,0
0.143819,0.00498518,1.32458,-0.00361687,230.474,0
0.148664,-0.115989,1.30426,0.0759224,230.891,0
0.15097,-0.0840798,1.31777,0.057706,230.68,0
0.153275,-0.0521707,1.32693,0.0369178,230.529,0
0.15558,-0.0202615,1.33243,0.0145637,230.445,0
0.17281,-0.226262,1.20449,0.103833,231.577,0
0.192979,-0.195008,1.25191,0.0967031,231.067,0
0.169412,-0.171193,1.27409,0.096324,231.147,0
0.148882,0.0378655,1.32603,-0.0271098,230.502,0
0.162496,0.0754659,1.32752,-0.0518225,230.578,0
