sample_id,case_id,family,sampling_tag,noise_tag,x_star,y_star,u_obs,v_obs,p_obs,region_id,wall_distance_star,segment_id_raw,xi_section_star,eta_section_star,section_width_star,u_obs_mask,v_obs_mask,p_obs_mask
1160,B-base,bend,section_bands_4,clean,1.83233,0.0909091,,,211.211,0,0.4090909,0,1.83233,0.0909091,0.08,0,0,1
1159,B-base,bend,section_bands_4,clean,1.83646,-1.12722e-08,,,211.161,0,0.4999999887278,0,1.83646,-1.12722e-08,0.08,0,0,1
1181,B-base,bend,section_bands_4,clean,1.83853,-0.0454545,,,211.136,0,0.4545455,0,1.83853,-0.0454545,0.08,0,0,1
1180,B-base,bend,section_bands_4,clean,1.8406,-0.0909091,,,211.111,0,0.4090909,0,1.8406,-0.0909091,0.08,0,0,1
1167,B-base,bend,section_bands_4,clean,1.84473,-0.181818,,,211.062,0,0.3181819999999999,0,1.84473,-0.181818,0.08,0,0,1
1171,B-base,bend,section_bands_4,clean,1.8468,-0.227273,,,211.037,0,0.272727,0,1.8468,-0.227273,0.08,0,0,1
1170,B-base,bend,section_bands_4,clean,1.84887,-0.272727,,,211.012,0,0.227273,0,1.84887,-0.272727,0.08,0,0,1
1169,B-base,bend,section_bands_4,clean,1.853,-0.363636,,,210.963,2,0.1363639999999999,0,1.853,-0.363636,0.08,0,0,1
1165,B-base,bend,section_bands_4,clean,1.8592,-0.454545,,,210.888,2,0.045455,0,1.8592,-0.454545,0.08,0,0,1
1168,B-base,bend,section_bands_4,clean,1.8592,-0.409091,,,210.888,2,0.090909,0,1.8592,-0.409091,0.08,0,0,1
1173,B-base,bend,section_bands_4,clean,1.8592,-0.318182,,,210.888,0,0.1818179999999999,0,1.8592,-0.318182,0.08,0,0,1
1174,B-base,bend,section_bands_4,clean,1.8592,-0.136364,,,210.888,0,0.3636359999999999,0,1.8592,-0.136364,0.08,0,0,1
1182,B-base,bend,section_bands_4,clean,1.8592,0.0454545,,,210.888,0,0.4545455,0,1.8592,0.0454545,0.08,0,0,1
1184,B-base,bend,section_bands_4,clean,1.8592,0.136364,,,210.888,0,0.3636359999999999,0,1.8592,0.136364,0.08,0,0,1
1187,B-base,bend,section_bands_4,clean,1.8592,0.181818,,,210.888,0,0.3181819999999999,0,1.8592,0.181818,0.08,0,0,1
1186,B-base,bend,section_bands_4,clean,1.8592,0.227273,,,210.888,0,0.272727,0,1.8592,0.227273,0.08,0,0,1
1176,B-base,bend,section_bands_4,clean,1.8592,0.318182,,,210.888,0,0.1818179999999999,0,1.8592,0.318182,0.08,0,0,1
1178,B-base,bend,section_bands_4,clean,1.8592,0.363636,,,210.888,2,0.1363639999999999,0,1.8592,0.363636,0.08,0,0,1
1177,B-base,bend,section_bands_4,clean,1.8592,0.409091,,,210.888,2,0.090909,0,1.8592,0.409091,0.08,0,0,1
1179,B-base,bend,section_bands_4,clean,1.86127,0.454545,,,210.863,2,0.045455,0,1.86127,0.454545,0.08,0,0,1
1188,B-base,bend,section_bands_4,clean,1.86954,0.272727,,,210.764,0,0.227273,0,1.86954,0.272727,0.08,0,0,1
1183,B-base,bend,section_bands_4,clean,1.87057,-1.12722e-08,,,210.752,0,0.4999999887278,0,1.87057,-1.12722e-08,0.08,0,0,1
1172,B-base,bend,section_bands_4,clean,1.87574,-0.204545,,,210.69,0,0.295455,0,1.87574,-0.204545,0.08,0,0,1
1185,B-base,bend,section_bands_4,clean,1.87781,0.0909091,,,210.665,0,0.4090909,0,1.87781,0.0909091,0.08,0,0,1
1204,B-base,bend,section_bands_4,clean,1.88401,-0.0454545,,,210.59,0,0.4545455,0,1.88401,-0.0454545,0.08,0,0,1
1197,B-base,bend,section_bands_4,clean,1.88608,-0.0909091,,,210.566,0,0.4090909,0,1.88608,-0.0909091,0.08,0,0,1
1194,B-base,bend,section_bands_4,clean,1.89435,-0.272727,,,210.466,0,0.227273,0,1.89435,-0.272727,0.08,0,0,1
1189,B-base,bend,section_bands_4,clean,1.90055,-0.409091,,,210.392,2,0.090909,0,1.90055,-0.409091,0.08,0,0,1
1190,B-base,bend,section_bands_4,clean,1.90262,-0.454545,,,210.367,2,0.045455,0,1.90262,-0.454545,0.08,0,0,1
1193,B-base,bend,section_bands_4,clean,1.90468,-0.363636,,,210.342,2,0.1363639999999999,0,1.90468,-0.363636,0.08,0,0,1
1196,B-base,bend,section_bands_4,clean,1.90468,-0.318182,,,210.342,0,0.1818179999999999,0,1.90468,-0.318182,0.08,0,0,1
1195,B-base,bend,section_bands_4,clean,1.90468,-0.227273,,,210.342,0,0.272727,0,1.90468,-0.227273,0.08,0,0,1
1192,B-base,bend,section_bands_4,clean,1.90468,-0.181818,,,210.342,0,0.3181819999999999,0,1.90468,-0.181818,0.08,0,0,1
1198,B-base,bend,section_bands_4,clean,1.90468,-0.136364,,,210.342,0,0.3636359999999999,0,1.90468,-0.136364,0.08,0,0,1
1205,B-base,bend,section_bands_4,clean,1.90468,-1.12722e-08,,,210.342,0,0.4999999887278,0,1.90468,-1.12722e-08,0.08,0,0,1
1206,B-base,bend,section_bands_4,clean,1.90468,0.0454545,,,210.342,0,0.4545455,0,1.90468,0.0454545,0.08,0,0,1
1207,B-base,bend,section_bands_4,clean,1.90468,0.136364,,,210.342,0,0.3636359999999999,0,1.90468,0.136364,0.08,0,0,1
1209,B-base,bend,section_bands_4,clean,1.90468,0.227273,,,210.342,0,0.272727,0,1.90468,0.227273,0.08,0,0,1
1200,B-base,bend,section_bands_4,clean,1.90468,0.318182,,,210.342,0,0.1818179999999999,0,1.90468,0.318182,0.08,0,0,1
1202,B-base,bend,section_bands_4,clean,1.90468,0.363636,,,210.342,2,0.1363639999999999,0,1.90468,0.363636,0.08,0,0,1
1201,B-base,bend,section_bands_4,clean,1.90468,0.409091,,,210.342,2,0.090909,0,1.90468,0.409091,0.08,0,0,1
1203,B-base,bend,section_bands_4,clean,1.90675,0.454545,,,210.318,2,0.045455,0,1.90675,0.454545,0.08,0,0,1
1211,B-base,bend,section_bands_4,clean,1.91502,0.272727,,,210.218,0,0.227273,0,1.91502,0.272727,0.08,0,0,1
1210,B-base,bend,section_bands_4,clean,1.91916,0.181818,,,210.169,0,0.3181819999999999,0,1.91916,0.181818,0.08,0,0,1
1208,B-base,bend,section_bands_4,clean,1.92329,0.0909091,,,210.119,0,0.4090909,0,1.92329,0.0909091,0.08,0,0,1
1220,B-base,bend,section_bands_4,clean,1.93156,-0.0909091,,,210.02,0,0.4090909,0,1.93156,-0.0909091,0.08,0,0,1
1214,B-base,bend,section_bands_4,clean,1.95016,-0.454545,,,209.797,2,0.045455,0,1.95016,-0.454545,0.08,0,0,1
1212,B-base,bend,section_bands_4,clean,1.95016,-0.409091,,,209.797,2,0.090909,0,1.95016,-0.409091,0.08,0,0,1
1217,B-base,bend,section_bands_4,clean,1.95016,-0.363636,,,209.797,2,0.1363639999999999,0,1.95016,-0.363636,0.08,0,0,1
1219,B-base,bend,section_bands_4,clean,1.95016,-0.318182,,,209.797,0,0.1818179999999999,0,1.95016,-0.318182,0.08,0,0,1
1218,B-base,bend,section_bands_4,clean,1.95016,-0.272727,,,209.797,0,0.227273,0,1.95016,-0.272727,0.08,0,0,1
1215,B-base,bend,section_bands_4,clean,1.95016,-0.227273,,,209.797,0,0.272727,0,1.95016,-0.227273,0.08,0,0,1
1216,B-base,bend,section_bands_4,clean,1.95016,-0.181818,,,209.797,0,0.3181819999999999,0,1.95016,-0.181818,0.08,0,0,1
1221,B-base,bend,section_bands_4,clean,1.95016,-0.136364,,,209.797,0,0.3636359999999999,0,1.95016,-0.136364,0.08,0,0,1
1227,B-base,bend,section_bands_4,clean,1.95016,-0.0454545,,,209.797,0,0.4545455,0,1.95016,-0.0454545,0.08,0,0,1
1229,B-base,bend,section_bands_4,clean,1.95016,-1.12722e-08,,,209.797,0,0.4999999887278,0,1.95016,-1.12722e-08,0.08,0,0,1
1228,B-base,bend,section_bands_4,clean,1.95016,0.0454545,,,209.797,0,0.4545455,0,1.95016,0.0454545,0.08,0,0,1
1233,B-base,bend,section_bands_4,clean,1.95016,0.136364,,,209.797,0,0.3636359999999999,0,1.95016,0.136364,0.08,0,0,1
1234,B-base,bend,section_bands_4,clean,1.95016,0.227273,,,209.797,0,0.272727,0,1.95016,0.227273,0.08,0,0,1
1223,B-base,bend,section_bands_4,clean,1.95016,0.318182,,,209.797,0,0.1818179999999999,0,1.95016,0.318182,0.08,0,0,1
1224,B-base,bend,section_bands_4,clean,1.95016,0.409091,,,209.797,2,0.090909,0,1.95016,0.409091,0.08,0,0,1
1226,B-base,bend,section_bands_4,clean,1.95223,0.454545,,,209.772,2,0.045455,0,1.95223,0.454545,0.08,0,0,1
