sample_id,case_id,family,sampling_tag,noise_tag,x_star,y_star,u_obs,v_obs,p_obs,region_id,wall_distance_star
10467,B-base,bend,region_aware_5pct,noise_3pct,9.83664,11.9132,0.002121137940143453,1.326087445454778,1.031559070450465,1,0.33663999999999883
9884,B-base,bend,region_aware_5pct,noise_3pct,10.1364,11.2034,-0.006302672951049787,1.3992291298229205,8.370512994821283,1,0.36360000000000026
4125,B-base,bend,region_aware_5pct,noise_3pct,7.43888,0.911761,1.1356949245288424,0.7684985894846128,136.42254729555108,1,0.35865879668610123
9319,B-base,bend,region_aware_5pct,noise_3pct,9.90909,10.0767,-0.015440813793908277,1.4600206031376266,20.149802375899903,1,0.4090900000000006
2791,B-base,bend,region_aware_5pct,noise_3pct,4.91523,-0.00227922,1.4412107863576218,0.24701476081465157,173.13331922537427,1,0.42834439483399134
4637,B-base,bend,region_aware_5pct,noise_3pct,8.08087,1.62946,1.0751875762211622,1.0136994345839576,133.25901016019046,1,0.4795584994629838
10077,B-base,bend,region_aware_5pct,noise_3pct,10.2965,11.7065,0.003167263149640665,0.9791613254730723,4.5488634780566946,1,0.20350000000000035
6128,B-base,bend,region_aware_5pct,noise_3pct,9.67758,3.98319,0.4712642977393794,1.4129373301044226,94.4750894352119,1,0.4748496091383734
5175,B-base,bend,region_aware_5pct,noise_3pct,8.62607,2.5741,0.7015919343077025,0.9391750791719461,117.97880064712398,1,0.256501928680299
4786,B-base,bend,region_aware_5pct,noise_3pct,8.3752,1.65708,0.9312148504432335,0.9347231604407608,127.34675886869674,1,0.3353159718928014
5948,B-base,bend,region_aware_5pct,noise_3pct,9.77739,3.59493,0.37473844085159563,0.9834702637823362,98.28001054272802,1,0.24199737000694377
9248,B-base,bend,region_aware_5pct,noise_3pct,9.95455,9.95888,0.00269891256000166,1.451803018598902,24.6962043209407,1,0.4545499999999991
3231,B-base,bend,region_aware_5pct,noise_3pct,5.693,0.5878,0.8369357922220185,0.25066210064048344,165.11634994374873,1,0.1708163292422018
3080,B-base,bend,region_aware_5pct,noise_3pct,5.41987,0.329389,1.3461075057611946,0.3068309648421771,169.41032763536208,1,0.34567018657578696
3184,B-base,bend,region_aware_5pct,noise_3pct,5.69309,0.120771,1.341161995046,0.3696059410509102,164.39460591528365,1,0.3818395425960759
5107,B-base,bend,region_aware_5pct,noise_3pct,8.72118,2.21943,0.9227945429979104,1.1801857999818666,120.69795098399115,1,0.4516737755557525
5372,B-base,bend,region_aware_5pct,noise_3pct,8.78369,2.87586,0.5846197076645354,0.8840899579920481,111.50241421500819,1,0.2134876175327447
2202,B-base,bend,region_aware_5pct,noise_3pct,3.85207,-0.318182,0.9101230621004313,7.077446973685966e-05,189.32797331854565,1,0.18181799999999998
4985,B-base,bend,region_aware_5pct,noise_3pct,8.46663,2.16009,0.9655799622195885,1.0853201655392226,119.67747513595506,1,0.39030494668994287
3798,B-base,bend,region_aware_5pct,noise_3pct,6.77054,0.649586,1.3189226795842597,0.6909011439298071,154.38736869570513,1,0.47481769047641187
5573,B-base,bend,region_aware_5pct,noise_3pct,9.00089,3.14894,0.5713628900474981,0.9955850426531734,108.21160800880577,1,0.2565131734149624
2364,B-base,bend,region_aware_5pct,noise_3pct,4.13399,-0.0236623,1.508959541825652,0.05661712595212946,183.69117148609402,1,0.47484765134181117
2156,B-base,bend,region_aware_5pct,noise_3pct,3.77971,0.272727,1.0726520118949388,-0.012458680421552409,186.48259753943606,1,0.227273
6608,B-base,bend,region_aware_5pct,noise_3pct,9.9663,4.87407,0.28804379273921993,1.4668849383642775,85.01386490324462,1,0.42838950072552784
2765,B-base,bend,region_aware_5pct,noise_3pct,4.92231,-0.0951298,1.3026222325567631,0.18763753991370474,174.21170049840148,1,0.3354835538423586
5684,B-base,bend,region_aware_5pct,noise_3pct,9.5774,3.05666,0.42509887943324787,0.7951814981491989,109.4452695344737,1,0.1936031590455709
6757,B-base,bend,region_aware_5pct,noise_3pct,10.1551,5.16788,0.17997763984495907,1.170073679454695,81.19247272308992,1,0.28890672229115566
4659,B-base,bend,region_aware_5pct,noise_3pct,7.99211,1.8526,0.8535797387259597,0.8336696113937986,130.55258476029854,1,0.2565500963771701
4979,B-base,bend,region_aware_5pct,noise_3pct,8.34863,2.2941,0.6673354800121063,0.7761074929763822,122.41468813012665,1,0.21351710305482552
4322,B-base,bend,region_aware_5pct,noise_3pct,7.47698,1.52018,0.7049172582751352,0.541918811084453,138.57646917608326,1,0.17081803206556767
6197,B-base,bend,region_aware_5pct,noise_3pct,9.76621,4.09846,0.4464186524582797,1.396587692673065,95.42572575355491,1,0.4283418956845084
4032,B-base,bend,region_aware_5pct,noise_3pct,7.0216,0.995773,1.185532068838691,0.7135571216720817,144.98005861050035,1,0.34571248245489716
9215,B-base,bend,region_aware_5pct,noise_3pct,10.1818,9.91339,-0.003948952586074028,1.3030293200133245,23.262646400859147,1,0.31819999999999937
9724,B-base,bend,region_aware_5pct,noise_3pct,10.2727,10.9594,0.01025112009265619,1.0629183162533522,13.197286409926756,1,0.2272999999999999
6172,B-base,bend,region_aware_5pct,noise_3pct,9.99165,4.03263,0.28939427166661913,0.8851929884866159,91.55719278269677,1,0.1936211309975988
6830,B-base,bend,region_aware_5pct,noise_3pct,10.2701,5.32506,0.10280695665811004,0.8936551820930146,80.79371023546817,1,0.1936779329311138
9977,B-base,bend,region_aware_5pct,noise_3pct,9.90909,11.2592,-0.004807608591424775,1.4618734104411832,9.73312131832758,1,0.4090900000000005
9541,B-base,bend,region_aware_5pct,noise_3pct,10.0909,10.5046,0.027965216083734663,1.4645450396297977,18.936258262099294,1,0.40910000000000074
5723,B-base,bend,region_aware_5pct,noise_3pct,9.20304,3.33529,0.6305859619037815,1.2199096497799022,107.05454880739875,1,0.3457082227647996
5462,B-base,bend,region_aware_5pct,noise_3pct,9.20334,2.7817,0.7338204243363972,1.2166720790675294,112.92793717238422,1,0.38181382715432477
6625,B-base,bend,region_aware_5pct,noise_3pct,9.8809,4.91846,0.2803156898158677,1.477367831726962,87.96796792163738,1,0.4795245280540499
2499,B-base,bend,region_aware_5pct,noise_3pct,4.41915,-0.292417,0.9019540466526419,0.049222397310849354,179.5640370807067,1,0.1936382577282325
9497,B-base,bend,region_aware_5pct,noise_3pct,9.81818,10.3992,-0.02653743458926748,1.3207920865951925,15.294358976913813,1,0.31817999999999963
5814,B-base,bend,region_aware_5pct,noise_3pct,9.16892,3.56641,0.44110138936080323,0.9497512412294767,103.87862885674048,1,0.2131509917470238
2329,B-base,bend,region_aware_5pct,noise_3pct,4.0409,0.198435,1.2791666749984774,0.04049718729521612,185.78011140093653,1,0.3017091670666332
5007,B-base,bend,region_aware_5pct,noise_3pct,8.56515,2.13814,0.9930302028810275,1.1422143605101165,122.95382685827303,1,0.47951145011864593
9117,B-base,bend,region_aware_5pct,noise_3pct,10.0909,9.74078,-0.011461910876184589,1.458702057948272,26.91417460441888,1,0.4091000000000007
2139,B-base,bend,region_aware_5pct,noise_3pct,3.69909,0.0454545,1.493405180177824,0.0127876542262907,191.21968334405142,1,0.4545455
2661,B-base,bend,region_aware_5pct,noise_3pct,4.69161,0.0377371,1.493088152630091,0.18407693154074148,178.04204235618522,1,0.497758478633469
2205,B-base,bend,region_aware_5pct,noise_3pct,3.81485,0.227273,1.1927185398762623,0.037333621084737284,181.918329952697,1,0.272727
7144,B-base,bend,region_aware_5pct,noise_3pct,9.71315,5.92577,0.03591556246526715,1.0324483031175162,71.10350290057013,1,0.21363220862176302
4916,B-base,bend,region_aware_5pct,noise_3pct,8.52323,1.88028,0.9614189533842143,1.0471774755302146,126.87894126997968,1,0.38185465101555405
9277,B-base,bend,region_aware_5pct,noise_3pct,9.77273,9.99195,-0.005295859343451176,1.1946044383985293,20.572346105507375,1,0.27272999999999903
2657,B-base,bend,region_aware_5pct,noise_3pct,4.66898,-0.0346743,1.4073705883302148,0.15456983185195403,178.118914187078,1,0.42835869410251703
10336,B-base,bend,region_aware_5pct,noise_3pct,9.653,11.7443,-0.0114169092204081,0.7898108454240491,2.553796591945435,1,0.15300000000000014
5762,B-base,bend,region_aware_5pct,noise_3pct,9.44089,3.30528,0.6474315194129904,1.2886562842510423,104.0564174084707,1,0.4283610227138839
10011,B-base,bend,region_aware_5pct,noise_3pct,9.81818,11.3233,-0.004990729120352428,1.2881790120709267,9.816198238548335,1,0.3181799999999996
5500,B-base,bend,region_aware_5pct,noise_3pct,9.02288,2.92325,0.7273012795686048,1.2269929198595872,109.52415016034611,1,0.39030678801197993
5579,B-base,bend,region_aware_5pct,noise_3pct,9.40263,2.93563,0.5782288235546046,1.035668015937389,105.60174246422459,1,0.2888185975774302
3209,B-base,bend,region_aware_5pct,noise_3pct,5.75088,0.0892065,1.2630675786242382,0.37621431602099487,166.9189829034276,1,0.33533775669402566
10075,B-base,bend,region_aware_5pct,noise_3pct,10.3138,11.585,0.007871476532956672,0.9038835725240736,6.643871583909794,1,0.1861999999999998
2894,B-base,bend,region_aware_5pct,noise_3pct,5.07237,0.162734,1.464363619845609,0.2992948824107627,170.23080291108295,1,0.4349517076094216
6676,B-base,bend,region_aware_5pct,noise_3pct,9.89664,5.00789,0.23409871754650072,1.488048358507229,82.3793067098913,1,0.47951883864412626
9338,B-base,bend,region_aware_5pct,noise_3pct,10.1364,10.1408,-0.014475049483401255,1.3780656939121652,22.14340884696647,1,0.36360000000000015
10053,B-base,bend,region_aware_5pct,noise_3pct,9.90909,11.3502,-0.011025458140722413,1.4426305493021596,5.33196488705792,1,0.4090900000000005
4085,B-base,bend,region_aware_5pct,noise_3pct,7.11422,1.21025,0.873950835837401,0.6004223661239648,144.62200613906484,1,0.2131489802822406
2809,B-base,bend,region_aware_5pct,noise_3pct,4.90693,0.179967,1.4185790464511578,0.2114497692741072,176.3300360038877,1,0.3902721623019261
5551,B-base,bend,region_aware_5pct,noise_3pct,9.15576,2.97127,0.7237975434851037,1.2739001737290825,110.79846654161868,1,0.4795540461225043
4829,B-base,bend,region_aware_5pct,noise_3pct,8.17535,2.09991,0.6923450044609044,0.7758942923740629,124.58787488325383,1,0.2135146477977985
5192,B-base,bend,region_aware_5pct,noise_3pct,8.97047,2.27537,0.7229577873792516,0.954011819501466,118.61020052026548,1,0.2888454649880101
9646,B-base,bend,region_aware_5pct,noise_3pct,10.0,10.7093,0.003529085563513435,1.512912422089826,16.476670709064308,1,0.4999999999999997
4075,B-base,bend,region_aware_5pct,noise_3pct,7.37205,0.839392,1.0992425555531284,0.6748275789538207,145.3306986396353,1,0.3353754265029254
9467,B-base,bend,region_aware_5pct,noise_3pct,10.0455,10.3889,-0.008504420238056067,1.512041613320321,22.65393513340547,1,0.45449999999999974
5321,B-base,bend,region_aware_5pct,noise_3pct,8.86327,2.67663,0.8138304982894564,1.201904258698652,116.18625731592155,1,0.3903466154208619
2406,B-base,bend,region_aware_5pct,noise_3pct,4.17437,0.156892,1.396667130569015,0.028429984138075994,182.80023890886602,1,0.3457091953469602
6104,B-base,bend,region_aware_5pct,noise_3pct,9.66213,3.94013,0.5156978166013855,1.366064519876238,94.40685960439771,1,0.4748211185227049
4931,B-base,bend,region_aware_5pct,noise_3pct,8.34783,2.15952,0.8526303202300268,0.9481040958269997,126.75794171321635,1,0.3011130259028745
2943,B-base,bend,region_aware_5pct,noise_3pct,5.18162,0.399206,1.0553050380786597,0.23714560645803592,171.10148235940045,1,0.22408239413410236
10412,B-base,bend,region_aware_5pct,noise_3pct,9.86195,11.8201,0.004264314079379704,1.360449251066178,5.681074162780236,1,0.3619499999999999
2914,B-base,bend,region_aware_5pct,noise_3pct,5.25169,-0.0362739,1.2645964802313887,0.2583280637413348,168.0304277399019,1,0.3353158676278296
2611,B-base,bend,region_aware_5pct,noise_3pct,4.59963,-0.0887039,1.3884994821792624,0.12465512726682519,177.69094302268928,1,0.3818408553899806
6241,B-base,bend,region_aware_5pct,noise_3pct,10.0326,4.16187,0.27218136308041524,0.8437531135963758,95.55799915454641,1,0.19357592157806103
3144,B-base,bend,region_aware_5pct,noise_3pct,5.52787,0.538886,0.8456671214341536,0.2524643207141419,170.19925363640445,1,0.1708158899664518
9914,B-base,bend,region_aware_5pct,noise_3pct,10.0455,11.2323,-0.029411586928040915,1.5087039879428639,7.718904285702601,1,0.4544999999999998
3282,B-base,bend,region_aware_5pct,noise_3pct,5.77499,0.614132,0.8145021779198536,0.28351043912829993,161.91550214729108,1,0.17081683829798955
10286,B-base,bend,region_aware_5pct,noise_3pct,10.1114,11.8105,-0.00864267519028676,1.4333383430362587,-0.03553876277051593,1,0.3886000000000006
6246,B-base,bend,region_aware_5pct,noise_3pct,9.70649,4.21376,0.4025896464006515,1.4430924788683517,87.730578976671,1,0.4795218418950533
9239,B-base,bend,region_aware_5pct,noise_3pct,10.1364,9.95888,0.006528432775680882,1.3894509412836846,23.494105704089858,1,0.36360000000000015
5052,B-base,bend,region_aware_5pct,noise_3pct,8.46525,2.36698,0.7527455784479764,0.8923694713743368,122.36775764832697,1,0.256499968114305
3913,B-base,bend,region_aware_5pct,noise_3pct,7.13354,0.691182,1.1358573134506573,0.6941430032255254,146.47657856234443,1,0.3353733698849206
3644,B-base,bend,region_aware_5pct,noise_3pct,6.52721,0.479336,1.339979661412397,0.5911136166124071,156.15159960991787,1,0.4283839560627678
6838,B-base,bend,region_aware_5pct,noise_3pct,9.67789,5.36315,0.0866593401725039,1.0124741618957764,78.94107914155398,1,0.21349392006327417
5301,B-base,bend,region_aware_5pct,noise_3pct,8.81673,2.68776,0.7767078490095622,1.1604887937233257,113.36815279948374,1,0.34566691751249223
6906,B-base,bend,region_aware_5pct,noise_3pct,10.2364,5.48012,0.0954058893364375,1.0774857631922907,79.30426369158283,1,0.24196834664445
4342,B-base,bend,region_aware_5pct,noise_3pct,7.52952,1.4525,0.9298192678066951,0.7198803277757119,140.3231164531173,1,0.2564978659250796
10159,B-base,bend,region_aware_5pct,noise_3pct,10.0421,11.5787,-0.0024121608873395317,1.484256520588611,3.1366034666152878,1,0.45790000000000075
9564,B-base,bend,region_aware_5pct,noise_3pct,10.1818,10.5646,0.004695430386753169,1.2998304049014966,18.927231877295537,1,0.3181999999999994
2430,B-base,bend,region_aware_5pct,noise_3pct,4.23722,0.248526,1.170199943512205,0.04226703816797607,183.97465624322865,1,0.25636400005037885
3564,B-base,bend,region_aware_5pct,noise_3pct,6.31923,0.658463,1.2009162043759514,0.5271545151919201,155.9526407443007,1,0.3233019254774181
3138,B-base,bend,region_aware_5pct,noise_3pct,5.51331,0.399874,1.2567854802736,0.3253396601658446,165.23857988291374,1,0.3009928781180209
5895,B-base,bend,region_aware_5pct,noise_3pct,9.3771,3.59539,0.5696023262701224,1.3113914812163483,101.03179211217721,1,0.39027619573989103
3287,B-base,bend,region_aware_5pct,noise_3pct,5.886,0.179804,1.31978628461293,0.41831554961655837,167.4322722578376,1,0.3818566968061301
9393,B-base,bend,region_aware_5pct,noise_3pct,9.86364,10.2235,0.037338103128935055,1.3904833429307855,17.744700912531272,1,0.36363999999999996
2762,B-base,bend,region_aware_5pct,noise_3pct,4.99026,-0.179137,1.0475448562296465,0.18977881438156088,171.14673260485154,1,0.242017183439299
3690,B-base,bend,region_aware_5pct,noise_3pct,6.48906,0.710679,1.2515588657289443,0.5973240103178327,151.96798656385945,1,0.3457109340644786
3316,B-base,bend,region_aware_5pct,noise_3pct,5.89224,0.327789,1.4470294856165327,0.4774812973301666,163.2107884281196,1,0.4795108366923291
6985,B-base,bend,region_aware_5pct,noise_3pct,10.061,5.64248,0.08777811105891643,1.452970487881096,75.73983493633709,1,0.4284646463682682
9367,B-base,bend,region_aware_5pct,noise_3pct,9.70455,10.2049,0.0001475117094574572,0.9743064825420346,22.50715655486471,1,0.20454999999999907
6368,B-base,bend,region_aware_5pct,noise_3pct,10.0537,4.41428,0.25289088903479556,1.0701779289060327,93.41007542664583,1,0.24206171264049736
5139,B-base,bend,region_aware_5pct,noise_3pct,8.97911,2.16941,0.6135608320781448,0.77230910061776,117.90384707056617,1,0.21788601343464986
4286,B-base,bend,region_aware_5pct,noise_3pct,7.73336,1.03604,0.9941119985459826,0.7424119010779124,136.51616750630436,1,0.2888104383137682
6764,B-base,bend,region_aware_5pct,noise_3pct,9.65446,5.1806,0.13994533557124023,1.0459821464145227,83.94962389051176,1,0.2135220531297506
10212,B-base,bend,region_aware_5pct,noise_3pct,10.2404,11.8474,0.016521863473188826,1.1647621623335793,-1.1850457578168399,1,0.25960000000000105
6979,B-base,bend,region_aware_5pct,noise_3pct,10.2953,5.62745,0.05704778205066158,0.9082007084745807,80.2260815245567,1,0.1936860534461191
5595,B-base,bend,region_aware_5pct,noise_3pct,9.06024,3.16339,0.6221229676995249,1.1432494634694768,106.38027388184989,1,0.301067587065333
5155,B-base,bend,region_aware_5pct,noise_3pct,9.01529,2.17675,0.5658823939377264,0.7582943808836122,117.47924886234493,1,0.1936243097481105
6491,B-base,bend,region_aware_5pct,noise_3pct,9.54943,4.7336,0.23558557533293994,0.9324844132109114,85.67461523186286,1,0.19209471854606353
3818,B-base,bend,region_aware_5pct,noise_3pct,6.64535,0.98497,0.7770916113656088,0.40257948481307787,147.31640647010076,1,0.16995613064157666
4775,B-base,bend,region_aware_5pct,noise_3pct,8.1952,1.89721,1.0081433159875632,0.9900911746841793,126.83523969480194,1,0.36792883597781856
6740,B-base,bend,region_aware_5pct,noise_3pct,9.64807,5.13769,0.16904098308964421,1.0315764637060016,83.20594217634948,1,0.2135167157364659
3893,B-base,bend,region_aware_5pct,noise_3pct,6.99455,0.718144,1.2712802635296692,0.7115081303037363,147.7905197577506,1,0.42831716019059485
9104,B-base,bend,region_aware_5pct,noise_3pct,9.68182,9.67772,-0.02871236955768627,0.8746677966991531,25.528858069620707,1,0.18181999999999987
3165,B-base,bend,region_aware_5pct,noise_3pct,5.54866,0.409423,1.2126153395083028,0.33990758665947435,159.81248080902586,1,0.3011118751950468
5509,B-base,bend,region_aware_5pct,noise_3pct,9.43758,2.80572,0.4490303735853363,0.787058956153457,108.90524588819112,1,0.19359841313606108
6475,B-base,bend,region_aware_5pct,noise_3pct,9.72383,4.60963,0.32429571926162776,1.3993271027079854,90.02015335989974,1,0.3902766153891273
7152,B-base,bend,region_aware_5pct,noise_3pct,10.2153,5.98952,0.049666454230448555,1.1791996504527984,74.581641897349,1,0.2846911645196588
3938,B-base,bend,region_aware_5pct,noise_3pct,7.20963,0.627773,0.9216680851656043,0.5785910341578844,146.28283842074936,1,0.2420013042164193
10346,B-base,bend,region_aware_5pct,noise_3pct,9.86468,11.709,-0.013670738067065329,1.3997748710979745,5.578244338172468,1,0.36467999999999956
9690,B-base,bend,region_aware_5pct,noise_3pct,10.0909,10.7775,-0.012025910780411288,1.4725221824785866,13.640364485793677,1,0.40910000000000074
3053,B-base,bend,region_aware_5pct,noise_3pct,5.38674,0.321197,1.3445431429332173,0.31857712653101444,168.99180452331373,1,0.3456694518599841
3612,B-base,bend,region_aware_5pct,noise_3pct,6.34406,0.836355,0.7995117885614559,0.3648893210657183,150.88057769645533,1,0.17078891950890718
5451,B-base,bend,region_aware_5pct,noise_3pct,9.22551,2.72942,0.6901632431451121,1.1099248827813646,111.18741239759336,1,0.33537119556254247
