sample_id,case_id,family,sampling_tag,noise_tag,x_star,y_star,u_obs,v_obs,p_obs,region_id,wall_distance_star,u_obs_mask,v_obs_mask,p_obs_mask
10467,B-base,bend,region_aware_5pct,noise_3pct,9.83664,11.9132,,,1.031559070450465,1,0.3366399999999988,0,0,1
9884,B-base,bend,region_aware_5pct,noise_3pct,10.1364,11.2034,,,8.370512994821283,1,0.3636000000000002,0,0,1
4125,B-base,bend,region_aware_5pct,noise_3pct,7.43888,0.911761,,,136.42254729555108,1,0.3586587966861012,0,0,1
9319,B-base,bend,region_aware_5pct,noise_3pct,9.90909,10.0767,,,20.149802375899903,1,0.4090900000000006,0,0,1
2791,B-base,bend,region_aware_5pct,noise_3pct,4.91523,-0.00227922,,,173.1333192253743,1,0.4283443948339913,0,0,1
4637,B-base,bend,region_aware_5pct,noise_3pct,8.08087,1.62946,,,133.25901016019046,1,0.4795584994629838,0,0,1
10077,B-base,bend,region_aware_5pct,noise_3pct,10.2965,11.7065,,,4.548863478056695,1,0.2035000000000003,0,0,1
6128,B-base,bend,region_aware_5pct,noise_3pct,9.67758,3.98319,,,94.4750894352119,1,0.4748496091383734,0,0,1
5175,B-base,bend,region_aware_5pct,noise_3pct,8.62607,2.5741,,,117.97880064712398,1,0.256501928680299,0,0,1
4786,B-base,bend,region_aware_5pct,noise_3pct,8.3752,1.65708,,,127.34675886869674,1,0.3353159718928014,0,0,1
5948,B-base,bend,region_aware_5pct,noise_3pct,9.77739,3.59493,,,98.28001054272802,1,0.2419973700069437,0,0,1
9248,B-base,bend,region_aware_5pct,noise_3pct,9.95455,9.95888,,,24.6962043209407,1,0.4545499999999991,0,0,1
3231,B-base,bend,region_aware_5pct,noise_3pct,5.693,0.5878,,,165.11634994374873,1,0.1708163292422018,0,0,1
3080,B-base,bend,region_aware_5pct,noise_3pct,5.41987,0.329389,,,169.41032763536208,1,0.3456701865757869,0,0,1
3184,B-base,bend,region_aware_5pct,noise_3pct,5.69309,0.120771,,,164.39460591528365,1,0.3818395425960759,0,0,1
5107,B-base,bend,region_aware_5pct,noise_3pct,8.72118,2.21943,,,120.69795098399116,1,0.4516737755557525,0,0,1
5372,B-base,bend,region_aware_5pct,noise_3pct,8.78369,2.87586,,,111.5024142150082,1,0.2134876175327447,0,0,1
2202,B-base,bend,region_aware_5pct,noise_3pct,3.85207,-0.318182,,,189.32797331854565,1,0.1818179999999999,0,0,1
4985,B-base,bend,region_aware_5pct,noise_3pct,8.46663,2.16009,,,119.67747513595506,1,0.3903049466899428,0,0,1
3798,B-base,bend,region_aware_5pct,noise_3pct,6.77054,0.649586,,,154.3873686957051,1,0.4748176904764118,0,0,1
5573,B-base,bend,region_aware_5pct,noise_3pct,9.00089,3.14894,,,108.21160800880575,1,0.2565131734149624,0,0,1
2364,B-base,bend,region_aware_5pct,noise_3pct,4.13399,-0.0236623,,,183.691171486094,1,0.4748476513418111,0,0,1
2156,B-base,bend,region_aware_5pct,noise_3pct,3.77971,0.272727,,,186.48259753943609,1,0.227273,0,0,1
6608,B-base,bend,region_aware_5pct,noise_3pct,9.9663,4.87407,,,85.01386490324462,1,0.4283895007255278,0,0,1
2765,B-base,bend,region_aware_5pct,noise_3pct,4.92231,-0.0951298,,,174.21170049840148,1,0.3354835538423586,0,0,1
5684,B-base,bend,region_aware_5pct,noise_3pct,9.5774,3.05666,,,109.4452695344737,1,0.1936031590455709,0,0,1
6757,B-base,bend,region_aware_5pct,noise_3pct,10.1551,5.16788,,,81.19247272308992,1,0.2889067222911556,0,0,1
4659,B-base,bend,region_aware_5pct,noise_3pct,7.99211,1.8526,,,130.55258476029854,1,0.2565500963771701,0,0,1
4979,B-base,bend,region_aware_5pct,noise_3pct,8.34863,2.2941,,,122.41468813012663,1,0.2135171030548255,0,0,1
4322,B-base,bend,region_aware_5pct,noise_3pct,7.47698,1.52018,,,138.57646917608326,1,0.1708180320655676,0,0,1
6197,B-base,bend,region_aware_5pct,noise_3pct,9.76621,4.09846,,,95.42572575355491,1,0.4283418956845084,0,0,1
4032,B-base,bend,region_aware_5pct,noise_3pct,7.0216,0.995773,,,144.98005861050035,1,0.3457124824548971,0,0,1
9215,B-base,bend,region_aware_5pct,noise_3pct,10.1818,9.91339,,,23.262646400859147,1,0.3181999999999993,0,0,1
9724,B-base,bend,region_aware_5pct,noise_3pct,10.2727,10.9594,,,13.197286409926756,1,0.2272999999999999,0,0,1
6172,B-base,bend,region_aware_5pct,noise_3pct,9.99165,4.03263,,,91.55719278269676,1,0.1936211309975988,0,0,1
6830,B-base,bend,region_aware_5pct,noise_3pct,10.2701,5.32506,,,80.79371023546817,1,0.1936779329311138,0,0,1
9977,B-base,bend,region_aware_5pct,noise_3pct,9.90909,11.2592,,,9.73312131832758,1,0.4090900000000005,0,0,1
9541,B-base,bend,region_aware_5pct,noise_3pct,10.0909,10.5046,,,18.93625826209929,1,0.4091000000000007,0,0,1
5723,B-base,bend,region_aware_5pct,noise_3pct,9.20304,3.33529,,,107.05454880739876,1,0.3457082227647996,0,0,1
5462,B-base,bend,region_aware_5pct,noise_3pct,9.20334,2.7817,,,112.92793717238422,1,0.3818138271543247,0,0,1
6625,B-base,bend,region_aware_5pct,noise_3pct,9.8809,4.91846,,,87.96796792163738,1,0.4795245280540499,0,0,1
2499,B-base,bend,region_aware_5pct,noise_3pct,4.41915,-0.292417,,,179.5640370807067,1,0.1936382577282325,0,0,1
9497,B-base,bend,region_aware_5pct,noise_3pct,9.81818,10.3992,,,15.294358976913813,1,0.3181799999999996,0,0,1
5814,B-base,bend,region_aware_5pct,noise_3pct,9.16892,3.56641,,,103.87862885674048,1,0.2131509917470238,0,0,1
2329,B-base,bend,region_aware_5pct,noise_3pct,4.0409,0.198435,,,185.78011140093653,1,0.3017091670666332,0,0,1
5007,B-base,bend,region_aware_5pct,noise_3pct,8.56515,2.13814,,,122.95382685827305,1,0.4795114501186459,0,0,1
9117,B-base,bend,region_aware_5pct,noise_3pct,10.0909,9.74078,,,26.91417460441888,1,0.4091000000000007,0,0,1
2139,B-base,bend,region_aware_5pct,noise_3pct,3.69909,0.0454545,,,191.21968334405145,1,0.4545455,0,0,1
2661,B-base,bend,region_aware_5pct,noise_3pct,4.69161,0.0377371,,,178.04204235618522,1,0.497758478633469,0,0,1
2205,B-base,bend,region_aware_5pct,noise_3pct,3.81485,0.227273,,,181.918329952697,1,0.272727,0,0,1
7144,B-base,bend,region_aware_5pct,noise_3pct,9.71315,5.92577,,,71.10350290057013,1,0.213632208621763,0,0,1
4916,B-base,bend,region_aware_5pct,noise_3pct,8.52323,1.88028,,,126.87894126997968,1,0.381854651015554,0,0,1
9277,B-base,bend,region_aware_5pct,noise_3pct,9.77273,9.99195,,,20.57234610550737,1,0.272729999999999,0,0,1
2657,B-base,bend,region_aware_5pct,noise_3pct,4.66898,-0.0346743,,,178.118914187078,1,0.428358694102517,0,0,1
10336,B-base,bend,region_aware_5pct,noise_3pct,9.653,11.7443,,,2.553796591945435,1,0.1530000000000001,0,0,1
5762,B-base,bend,region_aware_5pct,noise_3pct,9.44089,3.30528,,,104.0564174084707,1,0.4283610227138839,0,0,1
10011,B-base,bend,region_aware_5pct,noise_3pct,9.81818,11.3233,,,9.816198238548337,1,0.3181799999999996,0,0,1
5500,B-base,bend,region_aware_5pct,noise_3pct,9.02288,2.92325,,,109.52415016034612,1,0.3903067880119799,0,0,1
5579,B-base,bend,region_aware_5pct,noise_3pct,9.40263,2.93563,,,105.6017424642246,1,0.2888185975774302,0,0,1
3209,B-base,bend,region_aware_5pct,noise_3pct,5.75088,0.0892065,,,166.9189829034276,1,0.3353377566940256,0,0,1
10075,B-base,bend,region_aware_5pct,noise_3pct,10.3138,11.585,,,6.643871583909794,1,0.1861999999999998,0,0,1
2894,B-base,bend,region_aware_5pct,noise_3pct,5.07237,0.162734,,,170.23080291108295,1,0.4349517076094216,0,0,1
6676,B-base,bend,region_aware_5pct,noise_3pct,9.89664,5.00789,,,82.3793067098913,1,0.4795188386441262,0,0,1
9338,B-base,bend,region_aware_5pct,noise_3pct,10.1364,10.1408,,,22.14340884696647,1,0.3636000000000001,0,0,1
10053,B-base,bend,region_aware_5pct,noise_3pct,9.90909,11.3502,,,5.33196488705792,1,0.4090900000000005,0,0,1
4085,B-base,bend,region_aware_5pct,noise_3pct,7.11422,1.21025,,,144.62200613906484,1,0.2131489802822406,0,0,1
2809,B-base,bend,region_aware_5pct,noise_3pct,4.90693,0.179967,,,176.3300360038877,1,0.3902721623019261,0,0,1
5551,B-base,bend,region_aware_5pct,noise_3pct,9.15576,2.97127,,,110.79846654161868,1,0.4795540461225043,0,0,1
4829,B-base,bend,region_aware_5pct,noise_3pct,8.17535,2.09991,,,124.58787488325385,1,0.2135146477977985,0,0,1
5192,B-base,bend,region_aware_5pct,noise_3pct,8.97047,2.27537,,,118.61020052026548,1,0.2888454649880101,0,0,1
9646,B-base,bend,region_aware_5pct,noise_3pct,10.0,10.7093,,,16.476670709064308,1,0.4999999999999997,0,0,1
4075,B-base,bend,region_aware_5pct,noise_3pct,7.37205,0.839392,,,145.3306986396353,1,0.3353754265029254,0,0,1
9467,B-base,bend,region_aware_5pct,noise_3pct,10.0455,10.3889,,,22.65393513340547,1,0.4544999999999997,0,0,1
5321,B-base,bend,region_aware_5pct,noise_3pct,8.86327,2.67663,,,116.18625731592157,1,0.3903466154208619,0,0,1
2406,B-base,bend,region_aware_5pct,noise_3pct,4.17437,0.156892,,,182.800238908866,1,0.3457091953469602,0,0,1
6104,B-base,bend,region_aware_5pct,noise_3pct,9.66213,3.94013,,,94.40685960439772,1,0.4748211185227049,0,0,1
4931,B-base,bend,region_aware_5pct,noise_3pct,8.34783,2.15952,,,126.75794171321635,1,0.3011130259028745,0,0,1
2943,B-base,bend,region_aware_5pct,noise_3pct,5.18162,0.399206,,,171.10148235940045,1,0.2240823941341023,0,0,1
10412,B-base,bend,region_aware_5pct,noise_3pct,9.86195,11.8201,,,5.681074162780236,1,0.3619499999999999,0,0,1
2914,B-base,bend,region_aware_5pct,noise_3pct,5.25169,-0.0362739,,,168.0304277399019,1,0.3353158676278296,0,0,1
2611,B-base,bend,region_aware_5pct,noise_3pct,4.59963,-0.0887039,,,177.69094302268928,1,0.3818408553899806,0,0,1
