sample_id,case_id,family,sampling_tag,noise_tag,x_star,y_star,u_obs,v_obs,p_obs,region_id,wall_distance_star
4832,B-base__ip_blunted,bend,uniform_15pct,clean,8.30728,1.85243,1.04023,1.08028,127.238,1,0.4795483026145053
1158,B-base__ip_blunted,bend,uniform_15pct,clean,1.81372,0.0454545,1.4876,1.5512e-06,211.434,0,0.4545455
8885,B-base__ip_blunted,bend,uniform_15pct,clean,10.0,9.27667,1.04577e-08,1.5,32.6799,0,0.4999999999999998
3720,B-base__ip_blunted,bend,uniform_15pct,clean,6.58899,0.659561,1.33549,0.647435,152.669,1,0.4349101031794067
3447,B-base__ip_blunted,bend,uniform_15pct,clean,6.09659,0.543247,1.28801,0.494876,158.765,1,0.34566873258389474
10064,B-base__ip_blunted,bend,uniform_15pct,clean,10.3913,11.8089,2.05224e-11,0.581205,2.29342,2,0.10870000000000102
4412,B-base__ip_blunted,bend,uniform_15pct,clean,7.76303,1.41058,1.14768,0.941028,135.706,1,0.43491118023681974
5997,B-base__ip_blunted,bend,uniform_15pct,clean,9.81324,3.68294,0.395914,0.993293,99.3317,1,0.24200300885339132
3025,B-base__ip_blunted,bend,uniform_15pct,clean,5.30035,0.300795,1.34531,0.30685,169.034,1,0.3456691451471148
3519,B-base__ip_blunted,bend,uniform_15pct,clean,6.25503,0.461959,1.38896,0.565567,157.334,1,0.4795533628006865
3150,B-base__ip_blunted,bend,uniform_15pct,clean,5.77584,-0.152005,0.48223,0.139203,164.949,2,0.09681538407449963
2785,B-base__ip_blunted,bend,uniform_15pct,clean,4.87129,0.129394,1.46827,0.217474,174.584,1,0.434910367590736
6051,B-base__ip_blunted,bend,uniform_15pct,clean,9.95731,3.78785,0.249325,0.671442,97.6212,2,0.14522619925775881
3517,B-base__ip_blunted,bend,uniform_15pct,clean,6.18618,0.767556,0.813581,0.339927,156.679,1,0.17078946933634587
3345,B-base__ip_blunted,bend,uniform_15pct,clean,5.91382,0.476451,1.30383,0.451756,161.164,1,0.34570787397052527
3454,B-base__ip_blunted,bend,uniform_15pct,clean,6.2248,0.250839,1.22396,0.473647,158.591,1,0.33537614741004695
5788,B-base__ip_blunted,bend,uniform_15pct,clean,9.15029,3.52724,0.449701,0.936632,104.256,1,0.21314528974189528
5066,B-base__ip_blunted,bend,uniform_15pct,clean,8.38556,2.54115,0.304296,0.385824,120.125,2,0.08540775916136667
394,B-base__ip_blunted,bend,uniform_15pct,clean,0.420509,0.0479983,1.45308,-0.0117489,228.12,0,0.4520017
7770,B-base__ip_blunted,bend,uniform_15pct,clean,10.3636,7.1453,-5.06557e-05,0.706751,58.2567,2,0.13640000000000013
7094,B-base__ip_blunted,bend,uniform_15pct,clean,9.53967,5.83156,0.00805306,0.254674,74.1076,2,0.04223021377675984
6336,B-base__ip_blunted,bend,uniform_15pct,clean,10.2389,4.35709,0.0669792,0.254353,90.5535,2,0.04840899637151619
1315,B-base__ip_blunted,bend,uniform_15pct,clean,2.13209,-0.136364,1.38843,-3.42185e-06,207.614,0,0.36363599999999996
4054,B-base__ip_blunted,bend,uniform_15pct,clean,7.42343,0.646162,0.603316,0.385781,144.201,2,0.14520226166528616
4383,B-base__ip_blunted,bend,uniform_15pct,clean,7.78787,1.1954,1.09688,0.86476,137.088,1,0.3818188734804533
3925,B-base__ip_blunted,bend,uniform_15pct,clean,6.83913,0.992285,1.02265,0.579794,148.031,1,0.2565500673689103
4212,B-base__ip_blunted,bend,uniform_15pct,clean,7.31879,1.29644,0.960542,0.677746,140.918,1,0.25654790110357695
5325,B-base__ip_blunted,bend,uniform_15pct,clean,8.80582,2.75123,0.722405,1.06864,114.838,1,0.30089754997448726
99,B-base__ip_blunted,bend,uniform_15pct,clean,0.0877326,0.019955,1.28493,-0.0129876,230.537,0,0.480045
322,B-base__ip_blunted,bend,uniform_15pct,clean,0.323432,0.0698294,1.41234,-0.0282746,229.203,0,0.4301706
2973,B-base__ip_blunted,bend,uniform_15pct,clean,5.18693,0.276017,1.35133,0.280053,170.466,1,0.34574924275656915
4289,B-base__ip_blunted,bend,uniform_15pct,clean,7.49058,1.28317,1.1375,0.841783,139.288,1,0.36793268411456825
10380,B-base__ip_blunted,bend,uniform_15pct,clean,10.0876,11.9371,1.38867e-11,1.45392,0.754641,1,0.4124000000000002
2280,B-base__ip_blunted,bend,uniform_15pct,clean,3.99629,0.277042,1.05544,0.017166,185.249,1,0.222958
9853,B-base__ip_blunted,bend,uniform_15pct,clean,9.70455,11.1145,-9.33398e-11,0.976239,10.6262,1,0.204549999999999
789,B-base__ip_blunted,bend,uniform_15pct,clean,1.15013,-0.295455,0.976219,-1.32162e-05,219.396,0,0.20454499999999998
1120,B-base__ip_blunted,bend,uniform_15pct,clean,1.76618,-0.454545,0.26033,-3.7618e-08,212.004,2,0.04545500000000002
8777,B-base__ip_blunted,bend,uniform_15pct,clean,10.4091,9.09889,3.43151e-09,0.495868,34.8134,2,0.0908999999999997
5140,B-base__ip_blunted,bend,uniform_15pct,clean,8.90596,2.19078,0.738021,0.950505,119.577,1,0.2888325952362223
5916,B-base__ip_blunted,bend,uniform_15pct,clean,9.16243,3.75836,0.278407,0.641171,101.52,2,0.12811099699535067
5595,B-base__ip_blunted,bend,uniform_15pct,clean,9.06024,3.16339,0.630922,1.12551,108.818,1,0.301067587065333
9934,B-base__ip_blunted,bend,uniform_15pct,clean,10.3182,11.3316,8.2019e-11,0.892562,8.02138,1,0.18180000000000118
8511,B-base__ip_blunted,bend,uniform_15pct,clean,9.59091,8.54899,6.5953e-08,0.495868,41.4121,2,0.09090999999999899
8246,B-base__ip_blunted,bend,uniform_15pct,clean,10.1364,8.0487,4.17165e-07,1.38843,47.4155,0,0.36360000000000003
8603,B-base__ip_blunted,bend,uniform_15pct,clean,10.0,8.75365,3.02486e-07,1.5,38.9562,0,0.49999999999999983
9860,B-base__ip_blunted,bend,uniform_15pct,clean,10.1364,11.1579,7.78508e-11,1.38843,10.1052,1,0.36360000000000026
9849,B-base__ip_blunted,bend,uniform_15pct,clean,9.72727,11.0855,-9.50322e-11,1.05372,10.9735,1,0.22727000000000042
1404,B-base__ip_blunted,bend,uniform_15pct,clean,2.31401,-0.409091,0.495869,-1.3113e-06,205.431,2,0.09090900000000002
3836,B-base__ip_blunted,bend,uniform_15pct,clean,7.04502,0.532787,0.934167,0.520294,148.578,1,0.24199993705904443
4080,B-base__ip_blunted,bend,uniform_15pct,clean,7.46905,0.675641,0.600098,0.390993,143.585,2,0.14522961363819142
7025,B-base__ip_blunted,bend,uniform_15pct,clean,10.3967,5.71063,0.0232883,0.501998,75.3019,2,0.09675817363579586
2667,B-base__ip_blunted,bend,uniform_15pct,clean,4.79617,-0.159946,1.1929,0.153883,175.933,1,0.2888148158490722
586,B-base__ip_blunted,bend,uniform_15pct,clean,0.722198,0.409091,0.497136,-0.000674405,224.52,2,0.09090900000000002
257,B-base__ip_blunted,bend,uniform_15pct,clean,0.265256,0.171527,1.29619,-0.0720354,230.082,0,0.328473
397,B-base__ip_blunted,bend,uniform_15pct,clean,0.418351,0.152527,1.34686,-0.0307187,228.215,0,0.34747300000000003
359,B-base__ip_blunted,bend,uniform_15pct,clean,0.379318,0.0979936,1.4081,-0.0283574,228.622,0,0.4020064
10048,B-base__ip_blunted,bend,uniform_15pct,clean,9.81818,11.3615,-5.03421e-11,1.30165,7.66167,1,0.3181799999999996
4690,B-base__ip_blunted,bend,uniform_15pct,clean,8.06001,1.79436,0.992623,0.958249,129.869,1,0.34560424675670287
2535,B-base__ip_blunted,bend,uniform_15pct,clean,4.39903,0.123218,1.44063,0.10041,180.321,1,0.3903133716657221
2136,B-base__ip_blunted,bend,uniform_15pct,clean,3.67841,0.136364,1.38955,0.00444174,189.068,1,0.36363599999999996
4917,B-base__ip_blunted,bend,uniform_15pct,clean,8.49341,1.91674,0.979554,1.07795,125.155,1,0.4284478380153889
6567,B-base__ip_blunted,bend,uniform_15pct,clean,9.47731,4.90645,0.0962039,0.481965,86.1993,2,0.08540745502062652
6016,B-base__ip_blunted,bend,uniform_15pct,clean,9.42697,3.82772,0.512695,1.28085,99.4371,1,0.3455798497069571
8846,B-base__ip_blunted,bend,uniform_15pct,clean,9.81818,9.18571,1.63311e-08,1.30165,33.7715,0,0.3181799999999997
2362,B-base__ip_blunted,bend,uniform_15pct,clean,4.08693,0.0656844,1.48076,0.0415643,184.143,1,0.43495227152698845
9310,B-base__ip_blunted,bend,uniform_15pct,clean,9.54545,10.0953,-1.14738e-10,0.26033,22.8562,2,0.04545000000000038
6506,B-base__ip_blunted,bend,uniform_15pct,clean,10.1748,4.71837,0.183924,0.886439,86.7462,1,0.1935960724910748
1674,B-base__ip_blunted,bend,uniform_15pct,clean,2.85977,0.454545,0.260273,-6.68522e-06,198.881,2,0.04545500000000002
1247,B-base__ip_blunted,bend,uniform_15pct,clean,1.99564,0.318182,0.892564,3.19899e-07,209.251,0,0.18181799999999998
1886,B-base__ip_blunted,bend,uniform_15pct,clean,3.22361,-0.136364,1.38882,-0.000372423,194.512,0,0.36363599999999996
3518,B-base__ip_blunted,bend,uniform_15pct,clean,6.223,0.690085,1.08417,0.45389,156.628,1,0.2564682147324504
6288,B-base__ip_blunted,bend,uniform_15pct,clean,10.1528,4.22688,0.138977,0.482255,92.2179,2,0.09680529935251858
6873,B-base__ip_blunted,bend,uniform_15pct,clean,9.5157,5.45363,0.0255108,0.257644,79.0981,2,0.04269489209896982
5137,B-base__ip_blunted,bend,uniform_15pct,clean,8.7784,2.25411,0.89855,1.14622,119.912,1,0.42836113951924837
5967,B-base__ip_blunted,bend,uniform_15pct,clean,9.31445,3.78765,0.451795,1.0853,100.426,1,0.25655029727005907
2652,B-base__ip_blunted,bend,uniform_15pct,clean,4.66369,0.28192,1.16819,0.135359,176.881,1,0.2564679537455943
5099,B-base__ip_blunted,bend,uniform_15pct,clean,9.02516,2.03156,0.311072,0.393902,120.17,2,0.09681727113773508
1371,B-base__ip_blunted,bend,uniform_15pct,clean,2.22305,0.227273,1.19008,-5.19583e-06,206.522,0,0.272727
9099,B-base__ip_blunted,bend,uniform_15pct,clean,10.0,9.73147,-3.19523e-09,1.5,27.2223,1,0.4999999999999998
806,B-base__ip_blunted,bend,uniform_15pct,clean,1.14186,0.272727,1.05371,8.5415e-06,219.496,0,0.227273
759,B-base__ip_blunted,bend,uniform_15pct,clean,1.06847,0.25,1.12502,-4.4822e-05,220.377,0,0.25
7109,B-base__ip_blunted,bend,uniform_15pct,clean,9.84254,5.80748,0.0550768,1.3753,74.3618,1,0.3457110433205637
8356,B-base__ip_blunted,bend,uniform_15pct,clean,9.72727,8.26577,6.53054e-07,1.05372,44.8108,0,0.22727000000000064
8122,B-base__ip_blunted,bend,uniform_15pct,clean,10.4091,7.8213,-3.36132e-07,0.495866,50.1443,2,0.09089999999999965
894,B-base__ip_blunted,bend,uniform_15pct,clean,1.32998,0.136364,1.38845,1.61983e-05,217.239,0,0.36363599999999996
7344,B-base__ip_blunted,bend,uniform_15pct,clean,10.1364,6.32046,0.00442251,1.3873,68.1659,0,0.3635999999999999
6985,B-base__ip_blunted,bend,uniform_15pct,clean,10.061,5.64248,0.089712,1.45436,76.251,1,0.4284646463682682
8963,B-base__ip_blunted,bend,uniform_15pct,clean,9.63636,9.40691,-8.09367e-10,0.706611,31.1171,2,0.1363599999999996
558,B-base__ip_blunted,bend,uniform_15pct,clean,0.676718,-0.136364,1.38651,0.00458781,225.09,0,0.36363599999999996
8039,B-base__ip_blunted,bend,uniform_15pct,clean,10.1364,7.65592,-1.8677e-05,1.38844,52.1289,0,0.36360000000000003
8504,B-base__ip_blunted,bend,uniform_15pct,clean,10.0455,8.54899,6.54627e-07,1.4876,41.4121,0,0.4544999999999996
5835,B-base__ip_blunted,bend,uniform_15pct,clean,9.49109,3.46422,0.619178,1.34079,103.176,1,0.45167381860898637
3971,B-base__ip_blunted,bend,uniform_15pct,clean,7.32574,0.528218,0.428854,0.260654,145.843,2,0.09680198626311398
792,B-base__ip_blunted,bend,uniform_15pct,clean,1.13152,-0.0454545,1.48764,7.28639e-06,219.621,0,0.4545455
209,B-base__ip_blunted,bend,uniform_15pct,clean,0.210414,-0.27816,1.09139,0.0872404,231.364,0,0.22183999999999998
3587,B-base__ip_blunted,bend,uniform_15pct,clean,6.31424,0.776557,0.949937,0.420867,155.144,1,0.21314830473085067
9482,B-base__ip_blunted,bend,uniform_15pct,clean,9.54545,10.4137,-7.79188e-11,0.26033,19.0359,2,0.04545000000000038
1730,B-base__ip_blunted,bend,uniform_15pct,clean,2.95073,-0.363636,0.706825,-7.02111e-05,197.789,2,0.13636399999999999
8515,B-base__ip_blunted,bend,uniform_15pct,clean,10.0,8.57173,6.16941e-07,1.5,41.1393,0,0.49999999999999983
3880,B-base__ip_blunted,bend,uniform_15pct,clean,6.75426,1.14197,0.423317,0.239997,148.031,2,0.08447881440157357
3302,B-base__ip_blunted,bend,uniform_15pct,clean,6.01934,0.0256571,0.857756,0.289925,161.711,1,0.19361378265012963
9162,B-base__ip_blunted,bend,uniform_15pct,clean,10.1364,9.8307,-2.05745e-09,1.38843,26.0316,1,0.36360000000000015
7809,B-base__ip_blunted,bend,uniform_15pct,clean,9.81818,7.18458,-0.000158426,1.30152,57.7847,0,0.3181799999999998
10413,B-base__ip_blunted,bend,uniform_15pct,clean,9.83162,11.8204,-1.00976e-11,1.32988,2.15462,1,0.3316199999999988
1298,B-base__ip_blunted,bend,uniform_15pct,clean,2.09074,0.409091,0.495869,-2.85185e-08,208.11,2,0.09090900000000002
2529,B-base__ip_blunted,bend,uniform_15pct,clean,4.47498,-0.288487,0.902369,0.0685724,179.748,1,0.19360049239116162
7607,B-base__ip_blunted,bend,uniform_15pct,clean,10.25,6.84865,-0.000268115,1.12549,61.8194,0,0.25000000000000006
386,B-base__ip_blunted,bend,uniform_15pct,clean,0.421997,-0.267381,1.08569,0.0301246,228.26,0,0.23261900000000002
649,B-base__ip_blunted,bend,uniform_15pct,clean,0.846235,-0.227273,1.19035,0.00107007,223.046,0,0.272727
2593,B-base__ip_blunted,bend,uniform_15pct,clean,4.72426,-0.362101,0.498142,0.0566507,177.023,2,0.09680691515545448
1415,B-base__ip_blunted,bend,uniform_15pct,clean,2.32021,0.363636,0.706609,-3.09838e-06,205.356,2,0.13636399999999999
1819,B-base__ip_blunted,bend,uniform_15pct,clean,3.10164,0.181818,1.30129,-0.000335153,195.981,0,0.31818199999999996
7976,B-base__ip_blunted,bend,uniform_15pct,clean,9.72727,7.50294,-2.38291e-05,1.05369,53.9648,0,0.22727000000000064
8715,B-base__ip_blunted,bend,uniform_15pct,clean,9.95455,8.95831,1.07807e-07,1.4876,36.5003,0,0.4545499999999992
7771,B-base__ip_blunted,bend,uniform_15pct,clean,10.1364,7.14737,-0.000206223,1.38855,58.2319,0,0.36360000000000003
5523,B-base__ip_blunted,bend,uniform_15pct,clean,9.00193,3.06163,0.653641,1.11268,110.276,1,0.30114833302855626
414,B-base__ip_blunted,bend,uniform_15pct,clean,0.341916,0.440257,0.364461,-0.00663322,229.28,2,0.05974299999999999
9140,B-base__ip_blunted,bend,uniform_15pct,clean,10.2727,9.83277,-1.01475e-09,1.05372,26.0067,1,0.22729999999999984
5414,B-base__ip_blunted,bend,uniform_15pct,clean,9.09941,2.70441,0.790532,1.22322,113.346,1,0.42835312322925034
8517,B-base__ip_blunted,bend,uniform_15pct,clean,9.90909,8.54899,6.20228e-07,1.45041,41.4121,0,0.4090900000000007
10398,B-base__ip_blunted,bend,uniform_15pct,clean,9.67396,11.9798,-6.46128e-12,0.862176,0.242826,1,0.17395999999999884
