sample_id,case_id,family,sampling_tag,noise_tag,x_star,y_star,u_obs,v_obs,p_obs,region_id,wall_distance_star
6487,B-base__ip_skewed_bottom,bend,region_aware_10pct,clean,10.1095,4.64518,0.23145,1.04401,87.724,1,0.24208281595225944
5350,B-base__ip_skewed_bottom,bend,region_aware_10pct,clean,8.87114,2.76843,0.76272,1.14969,114.211,1,0.3456008728359148
9172,B-base__ip_skewed_bottom,bend,region_aware_10pct,clean,10.0,9.8338,-2.57553e-09,1.5,25.9943,1,0.4999999999999998
3768,B-base__ip_skewed_bottom,bend,region_aware_10pct,clean,6.6288,0.728792,1.29257,0.644616,151.861,1,0.3903500082137734
5900,B-base__ip_skewed_bottom,bend,region_aware_10pct,clean,9.60207,3.48348,0.556372,1.23855,102.424,1,0.3586596580795174
2757,B-base__ip_skewed_bottom,bend,region_aware_10pct,clean,4.81845,0.166867,1.43061,0.2003,175.157,1,0.3902717253271941
3053,B-base__ip_skewed_bottom,bend,region_aware_10pct,clean,5.38674,0.321197,1.34047,0.327268,167.94,1,0.3456694518599841
9079,B-base__ip_skewed_bottom,bend,region_aware_10pct,clean,9.72727,9.63018,-2.1507e-09,1.05372,28.4379,1,0.22727000000000053
2097,B-base__ip_skewed_bottom,bend,region_aware_10pct,clean,3.62363,-0.0909091,1.45001,0.00326822,189.708,1,0.4090909
3864,B-base__ip_skewed_bottom,bend,region_aware_10pct,clean,6.97699,0.654935,1.22026,0.679637,148.578,1,0.38181486759962446
3877,B-base__ip_skewed_bottom,bend,region_aware_10pct,clean,6.89049,0.765572,1.31282,0.724954,148.841,1,0.47947898460091576
4133,B-base__ip_skewed_bottom,bend,region_aware_10pct,clean,7.51076,0.761211,0.75219,0.504079,142.652,1,0.19362656004887402
9612,B-base__ip_skewed_bottom,bend,region_aware_10pct,clean,9.68182,10.6328,-1.60725e-10,0.892562,16.4063,1,0.18181999999999982
5284,B-base__ip_skewed_bottom,bend,region_aware_10pct,clean,8.88512,2.55172,0.864841,1.22521,116.294,1,0.47955118489673954
3701,B-base__ip_skewed_bottom,bend,region_aware_10pct,clean,6.67975,0.44826,1.18189,0.57048,152.792,1,0.33535263862562825
4362,B-base__ip_skewed_bottom,bend,region_aware_10pct,clean,7.829,1.05016,0.845845,0.654311,137.751,1,0.24203251641557344
9223,B-base__ip_skewed_bottom,bend,region_aware_10pct,clean,9.95455,9.91339,-2.07311e-09,1.4876,25.0393,1,0.4545499999999991
2743,B-base__ip_skewed_bottom,bend,region_aware_10pct,clean,4.84334,0.0342033,1.47614,0.208222,175.08,1,0.4748898249632907
