sample_id,case_id,family,sampling_tag,noise_tag,x_star,y_star,u_obs,v_obs,p_obs,region_id,wall_distance_star
2615,B-base__ip_skewed_bottom,bend,uniform_5pct,clean,4.62693,0.492866,0.257232,0.0292653,177.042,2,0.04270386353591871
6622,B-base__ip_skewed_bottom,bend,uniform_5pct,clean,9.82459,4.86118,0.284562,1.45665,85.9127,1,0.43487654972704615
8532,B-base__ip_skewed_bottom,bend,uniform_5pct,clean,10.1818,8.59447,4.20881e-07,1.30165,40.8664,0,0.3181999999999993
6304,B-base__ip_skewed_bottom,bend,uniform_5pct,clean,9.35301,4.4089,0.138623,0.466374,92.8191,2,0.08447090332647278
10052,B-base__ip_skewed_bottom,bend,uniform_5pct,clean,10.1364,11.4308,5.29271e-11,1.38843,6.83063,1,0.36360000000000026
1205,B-base__ip_skewed_bottom,bend,uniform_5pct,clean,1.90468,-1.12722e-08,1.5,-0.000229064,210.342,0,0.4999999887278
3442,B-base__ip_skewed_bottom,bend,uniform_5pct,clean,6.18742,0.336105,1.35867,0.52472,158.64,1,0.4283846607821902
9482,B-base__ip_skewed_bottom,bend,uniform_5pct,clean,9.54545,10.4137,-7.79188e-11,0.26033,19.0359,2,0.04545000000000038
9499,B-base__ip_skewed_bottom,bend,uniform_5pct,clean,10.3409,10.5305,1.44204e-10,0.802686,17.6342,1,0.15910000000000074
2221,B-base__ip_skewed_bottom,bend,uniform_5pct,clean,3.85103,-0.0909091,1.44701,0.013798,186.98,1,0.4090909
50,B-base__ip_skewed_bottom,bend,uniform_5pct,clean,0.0404037,0.149349,1.20527,0.0476638,231.085,0,0.350651
3915,B-base__ip_skewed_bottom,bend,uniform_5pct,clean,7.24227,0.478349,0.432765,0.254111,146.937,2,0.09680200847256248
9368,B-base__ip_skewed_bottom,bend,uniform_5pct,clean,9.90909,10.1863,-7.52713e-10,1.45041,21.7647,1,0.4090900000000006
6366,B-base__ip_skewed_bottom,bend,uniform_5pct,clean,10.1,4.39998,0.229728,0.875876,90.484,1,0.19364891554553587
299,B-base__ip_skewed_bottom,bend,uniform_5pct,clean,0.109751,0.372794,0.488605,0.0252259,229.679,2,0.12720599999999999
7318,B-base__ip_skewed_bottom,bend,uniform_5pct,clean,10.3636,6.28118,0.00120449,0.705525,68.6658,2,0.13640000000000008
