sample_id,case_id,family,sampling_tag,noise_tag,x_star,y_star,u_obs,v_obs,p_obs,region_id,wall_distance_star
7030,B-train-1__ip_blunted,bend,uniform_1pct,clean,10.2053,5.73136,0.0568868,1.2046,75.1367,1,0.28888773732111694
6855,B-train-1__ip_blunted,bend,uniform_1pct,clean,10.3247,5.38202,0.0695388,0.712138,79.0305,2,0.1451806185856075
7423,B-train-1__ip_blunted,bend,uniform_1pct,clean,9.81818,6.44966,0.00127237,1.30162,66.592,0,0.3181799999999999
5914,B-train-1__ip_blunted,bend,uniform_1pct,clean,9.08449,3.79448,0.101822,0.234738,101.493,2,0.04223393862980185
5885,B-train-1__ip_blunted,bend,uniform_1pct,clean,9.56768,3.46373,0.579052,1.27115,102.803,1,0.3818527236343847
9417,B-train-1__ip_blunted,bend,uniform_1pct,clean,9.72727,10.2772,-3.97294e-10,1.05372,20.6732,1,0.22727000000000047
3882,B-train-1__ip_blunted,bend,uniform_1pct,clean,6.76815,1.19857,0.22167,0.127797,147.511,2,0.04223641388564392
1180,B-train-1__ip_blunted,bend,uniform_1pct,clean,1.8406,-0.0909091,1.45041,5.3356e-07,211.111,0,0.4090909
1440,B-train-1__ip_blunted,bend,uniform_1pct,clean,2.35949,0.227273,1.19007,-1.41003e-05,204.885,0,0.272727
10298,B-train-1__ip_blunted,bend,uniform_1pct,clean,9.80642,11.6627,-2.57767e-11,1.27517,4.04735,1,0.3064199999999989
3261,B-train-1__ip_blunted,bend,uniform_1pct,clean,5.74825,0.695248,0.466689,0.153808,162.258,2,0.085407043717046
8324,B-train-1__ip_blunted,bend,uniform_1pct,clean,9.68182,8.18515,5.09408e-07,0.892563,45.7783,0,0.18181999999999998
1475,B-train-1__ip_blunted,bend,uniform_1pct,clean,2.43598,-0.181818,1.30167,-2.77654e-05,203.967,0,0.31818199999999996
5374,B-train-1__ip_blunted,bend,uniform_1pct,clean,8.95038,2.72625,0.81868,1.23797,114.106,1,0.43495587236333133
4390,B-train-1__ip_blunted,bend,uniform_1pct,clean,7.68181,1.40216,1.12742,0.902803,136.54,1,0.39031896773850416
5020,B-train-1__ip_blunted,bend,uniform_1pct,clean,8.36566,2.44801,0.441153,0.542213,121.219,2,0.1281098244170753
9734,B-train-1__ip_blunted,bend,uniform_1pct,clean,9.68182,10.8685,-1.20872e-10,0.892562,13.5782,1,0.18181999999999982
8748,B-train-1__ip_blunted,bend,uniform_1pct,clean,9.68182,9.00379,2.41723e-08,0.892562,35.9545,0,0.18181999999999993
8789,B-train-1__ip_blunted,bend,uniform_1pct,clean,10.0455,9.09475,4.69719e-08,1.4876,34.863,0,0.4544999999999996
9605,B-train-1__ip_blunted,bend,uniform_1pct,clean,10.3636,10.7837,1.29636e-10,0.706611,14.5953,2,0.13640000000000035
2405,B-train-1__ip_blunted,bend,uniform_1pct,clean,4.17304,0.201476,1.28472,0.0478151,183.065,1,0.3011053619268118
7664,B-train-1__ip_blunted,bend,uniform_1pct,clean,9.59091,6.90756,-5.10532e-05,0.495587,61.1069,2,0.0909099999999991
2608,B-train-1__ip_blunted,bend,uniform_1pct,clean,4.57078,0.00198703,1.48403,0.141597,178.361,1,0.47489009256360326
4760,B-train-1__ip_blunted,bend,uniform_1pct,clean,8.47578,1.55724,0.637827,0.642566,128.332,1,0.19359666481757642
4170,B-train-1__ip_blunted,bend,uniform_1pct,clean,7.21959,1.43703,0.397604,0.280545,140.918,2,0.0844834129040084
1557,B-train-1__ip_blunted,bend,uniform_1pct,clean,2.59516,0.318182,0.89252,-2.72996e-05,202.057,0,0.18181799999999998
5154,B-train-1__ip_blunted,bend,uniform_1pct,clean,9.08731,2.11152,0.304763,0.398719,119.03,2,0.09679769595712351
9625,B-train-1__ip_blunted,bend,uniform_1pct,clean,10.2273,10.7444,1.37931e-10,1.19008,15.0667,1,0.27270000000000066
5840,B-train-1__ip_blunted,bend,uniform_1pct,clean,9.11142,3.64762,0.289617,0.629305,103.082,2,0.12674915744428805
7624,B-train-1__ip_blunted,bend,uniform_1pct,clean,9.63636,6.81454,-0.000118465,0.706124,62.2212,2,0.13635999999999976
5574,B-train-1__ip_blunted,bend,uniform_1pct,clean,9.13995,3.03282,0.742011,1.28536,109.728,1,0.43491728290293885
6437,B-train-1__ip_blunted,bend,uniform_1pct,clean,9.94275,4.54565,0.331982,1.35681,89.2943,1,0.3818784349279225
1110,B-train-1__ip_blunted,bend,uniform_1pct,clean,1.72276,-1.12722e-08,1.5,1.22828e-06,212.525,0,0.4999999887278
750,B-train-1__ip_blunted,bend,uniform_1pct,clean,1.04056,0.0909091,1.45042,-7.99226e-05,220.713,0,0.4090909
7490,B-train-1__ip_blunted,bend,uniform_1pct,clean,10.1364,6.59334,0.000119502,1.38882,64.8858,0,0.3635999999999999
3118,B-train-1__ip_blunted,bend,uniform_1pct,clean,5.46398,0.609865,0.474208,0.128793,166.088,2,0.0854089159724909
7977,B-train-1__ip_blunted,bend,uniform_1pct,clean,9.77273,7.49054,-3.36702e-05,1.19006,54.1136,0,0.27272999999999914
9833,B-train-1__ip_blunted,bend,uniform_1pct,clean,9.95455,11.0297,-9.36332e-12,1.4876,11.6433,1,0.454549999999999
8693,B-train-1__ip_blunted,bend,uniform_1pct,clean,10.0,8.91283,1.40728e-07,1.5,37.046,0,0.49999999999999983
8860,B-train-1__ip_blunted,bend,uniform_1pct,clean,10.0,9.23119,1.65386e-08,1.5,33.2257,0,0.4999999999999998
3006,B-train-1__ip_blunted,bend,uniform_1pct,clean,5.26766,0.51789,0.67508,0.156081,168.824,2,0.12676567200909883
5597,B-train-1__ip_blunted,bend,uniform_1pct,clean,9.0556,3.20095,0.598656,1.08128,108.438,1,0.27873448624350594
9039,B-train-1__ip_blunted,bend,uniform_1pct,clean,10.2727,9.60537,-1.62534e-09,1.05372,28.7356,1,0.22729999999999984
4073,B-train-1__ip_blunted,bend,uniform_1pct,clean,7.48697,0.629546,0.420995,0.273343,143.699,2,0.0968182950180152
2920,B-train-1__ip_blunted,bend,uniform_1pct,clean,5.13772,0.175198,1.4567,0.284288,171.3,1,0.4348736412499967
5542,B-train-1__ip_blunted,bend,uniform_1pct,clean,8.80027,3.22891,0.129271,0.223935,109.728,2,0.04270077317908161
3286,B-train-1__ip_blunted,bend,uniform_1pct,clean,5.79579,0.667514,0.65652,0.22109,161.791,2,0.12674583256574756
4087,B-train-1__ip_blunted,bend,uniform_1pct,clean,7.10807,1.30957,0.577473,0.382657,143.026,2,0.1267426376012617
8398,B-train-1__ip_blunted,bend,uniform_1pct,clean,10.0,8.34433,1.12954e-06,1.5,43.8681,0,0.49999999999999983
2358,B-train-1__ip_blunted,bend,uniform_1pct,clean,4.12516,0.37328,0.693202,0.0190392,183.65,2,0.12811184892411287
6445,B-train-1__ip_blunted,bend,uniform_1pct,clean,9.43186,4.69935,0.11442,0.4779,88.9355,2,0.08540898073722136
837,B-train-1__ip_blunted,bend,uniform_1pct,clean,1.22248,-0.409091,0.495834,-9.42661e-06,218.528,2,0.09090900000000002
6301,B-train-1__ip_blunted,bend,uniform_1pct,clean,9.64192,4.30751,0.414997,1.38344,93.0009,1,0.3903126985330756
289,B-train-1__ip_blunted,bend,uniform_1pct,clean,0.296826,0.19047,1.27137,-0.0650348,229.763,0,0.30952999999999997
3589,B-train-1__ip_blunted,bend,uniform_1pct,clean,6.34507,0.596584,1.32499,0.57504,155.692,1,0.3903529413742266
9034,B-train-1__ip_blunted,bend,uniform_1pct,clean,9.63636,9.54955,-1.18309e-09,0.706611,29.4054,2,0.1363599999999996
7959,B-train-1__ip_blunted,bend,uniform_1pct,clean,10.4091,7.50294,-4.48926e-06,0.495879,53.9645,2,0.09089999999999965
6835,B-train-1__ip_blunted,bend,uniform_1pct,clean,10.1016,5.30307,0.15381,1.34867,80.1978,1,0.35872700615743724
2054,B-train-1__ip_blunted,bend,uniform_1pct,clean,3.54197,-0.136364,1.38846,0.0014072,190.686,1,0.36363599999999996
1558,B-train-1__ip_blunted,bend,uniform_1pct,clean,2.59102,0.409091,0.495844,-7.50733e-06,202.106,2,0.09090900000000002
2635,B-train-1__ip_blunted,bend,uniform_1pct,clean,4.62039,0.0528556,1.49163,0.155622,177.71,1,0.4794155455655833
9542,B-train-1__ip_blunted,bend,uniform_1pct,clean,9.77273,10.5046,-2.23084e-10,1.19008,17.9443,1,0.272729999999999
8626,B-train-1__ip_blunted,bend,uniform_1pct,clean,10.0455,8.77639,2.68388e-07,1.4876,38.6833,0,0.4544999999999996
10186,B-train-1__ip_blunted,bend,uniform_1pct,clean,10.126,11.5811,3.80271e-11,1.40472,5.02691,1,0.3740000000000009
