sample_id,case_id,family,sampling_tag,noise_tag,x_star,y_star,u_obs,v_obs,p_obs,region_id,wall_distance_star
10467,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,9.83664,11.9132,-4.50402e-12,1.33989,1.04136,1,0.33663999999999883
9884,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,10.1364,11.2034,7.36881e-11,1.38843,9.55944,1,0.36360000000000026
4125,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,7.43888,0.911761,1.12495,0.760294,142.369,1,0.35865879668610123
9319,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,9.90909,10.0767,-1.16013e-09,1.45041,23.0795,1,0.4090900000000006
2791,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,4.91523,-0.00227922,1.43967,0.219112,174.295,1,0.42834439483399134
4637,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,8.08087,1.62946,1.09615,1.0235,131.068,1,0.4795584994629838
10077,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,10.2965,11.7065,3.88013e-11,0.972395,3.52141,1,0.20350000000000035
6128,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,9.67758,3.98319,0.499027,1.40483,96.5955,1,0.4748496091383734
5175,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,8.62607,2.5741,0.69955,0.944615,117.936,1,0.256501928680299
4786,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,8.3752,1.65708,0.924483,0.931354,128.332,1,0.3353159718928014
5948,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,9.77739,3.59493,0.410951,0.987166,100.426,1,0.24199737000694377
9248,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,9.95455,9.95888,-1.79337e-09,1.4876,24.4935,1,0.4545499999999991
3231,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,5.693,0.5878,0.841629,0.263268,163.353,1,0.1708163292422018
3080,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,5.41987,0.329389,1.33852,0.335098,167.52,1,0.34567018657578696
3184,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,5.69309,0.120771,1.34225,0.386522,164.994,1,0.3818395425960759
5107,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,8.72118,2.21943,0.923125,1.1528,120.658,1,0.4516737755557525
5372,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,8.78369,2.87586,0.56876,0.870893,113.692,1,0.2134876175327447
2202,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,3.85207,-0.318182,0.886777,0.00510295,186.936,1,0.18181799999999998
4985,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,8.46663,2.16009,0.941569,1.09525,123.172,1,0.39030494668994287
3798,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,6.77054,0.649586,1.32385,0.685517,150.767,1,0.47481769047641187
5573,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,9.00089,3.14894,0.582189,1.02118,109.34,1,0.2565131734149624
2364,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,4.13399,-0.0236623,1.4916,0.0491196,183.593,1,0.47484765134181117
2156,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,3.77971,0.272727,1.0573,0.00475509,187.871,1,0.227273
6608,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,9.9663,4.87407,0.26983,1.43116,85.4398,1,0.42838950072552784
2765,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,4.92231,-0.0951298,1.29757,0.196011,174.376,1,0.3354835538423586
5684,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,9.5774,3.05666,0.422562,0.800721,106.993,1,0.1936031590455709
6757,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,10.1551,5.16788,0.160861,1.19216,81.6855,1,0.28890672229115566
4659,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,7.99211,1.8526,0.846963,0.815252,129.974,1,0.2565500963771701
4979,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,8.34863,2.2941,0.674734,0.791762,122.861,1,0.21351710305482552
4322,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,7.47698,1.52018,0.696635,0.54069,137.635,1,0.17081803206556767
6197,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,9.76621,4.09846,0.456126,1.38316,94.9543,1,0.4283418956845084
4032,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,7.0216,0.995773,1.18125,0.713247,146.053,1,0.34571248245489716
9215,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,10.1818,9.91339,-1.32864e-09,1.30165,25.0393,1,0.31819999999999937
9724,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,10.2727,10.9594,1.3004e-10,1.05372,12.4867,1,0.2272999999999999
6172,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,9.99165,4.03263,0.282473,0.860288,94.8618,1,0.1936211309975988
6830,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,10.2701,5.32506,0.096714,0.899609,79.7352,1,0.1936779329311138
9977,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,9.90909,11.2592,-2.56927e-11,1.45041,8.88964,1,0.4090900000000005
9541,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,10.0909,10.5046,-2.54957e-11,1.45041,17.9443,1,0.40910000000000074
5723,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,9.20304,3.33529,0.629002,1.22818,106.108,1,0.3457082227647996
5462,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,9.20334,2.7817,0.734728,1.18791,111.917,1,0.38181382715432477
6625,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,9.8809,4.91846,0.270969,1.47502,85.1048,1,0.4795245280540499
2499,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,4.41915,-0.292417,0.903407,0.0609391,180.384,1,0.1936382577282325
9497,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,9.81818,10.3992,-3.13317e-10,1.30165,19.2095,1,0.31817999999999963
5814,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,9.16892,3.56641,0.442576,0.940018,103.709,1,0.2131509917470238
2329,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,4.0409,0.198435,1.28045,0.0284391,184.694,1,0.3017091670666332
5007,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,8.56515,2.13814,0.968575,1.14496,122.599,1,0.47951145011864593
9117,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,10.0909,9.74078,-2.83409e-09,1.45041,27.1107,1,0.4091000000000007
2139,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,3.69909,0.0454545,1.48813,0.00601317,188.813,1,0.4545455
2661,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,4.69161,0.0377371,1.4884,0.172383,176.878,1,0.497758478633469
2205,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,3.81485,0.227273,1.19492,0.00773275,187.441,1,0.272727
7144,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,9.71315,5.92577,0.0244237,1.02998,72.913,1,0.21363220862176302
4916,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,8.52323,1.88028,0.940571,1.03269,125.237,1,0.38185465101555405
9277,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,9.77273,9.99195,-1.17656e-09,1.19008,24.0966,1,0.27272999999999903
2657,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,4.66898,-0.0346743,1.44734,0.160271,177.242,1,0.42835869410251703
10336,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,9.653,11.7443,-2.34673e-11,0.777547,3.06895,1,0.15300000000000014
5762,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,9.44089,3.30528,0.646401,1.30514,105.138,1,0.4283610227138839
10011,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,9.81818,11.3233,-5.34874e-11,1.30165,8.12061,1,0.3181799999999996
5500,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,9.02288,2.92325,0.754435,1.23164,111.606,1,0.39030678801197993
5579,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,9.40263,2.93563,0.593684,1.04669,109.181,1,0.2888185975774302
3209,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,5.75088,0.0892065,1.25829,0.372715,164.447,1,0.33533775669402566
10075,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,10.3138,11.585,5.21488e-11,0.909172,4.97997,1,0.1861999999999998
2894,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,5.07237,0.162734,1.45987,0.267903,172.108,1,0.4349517076094216
6676,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,9.89664,5.00789,0.248463,1.47898,84.0104,1,0.47951883864412626
9338,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,10.1364,10.1408,-5.90624e-10,1.38843,22.3104,1,0.36360000000000015
10053,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,9.90909,11.3502,-2.23882e-11,1.45041,7.79811,1,0.4090900000000005
4085,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,7.11422,1.21025,0.871067,0.566353,143.654,1,0.2131489802822406
2809,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,4.90693,0.179967,1.42734,0.222023,174.062,1,0.3902721623019261
5551,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,9.15576,2.97127,0.759616,1.29308,110.276,1,0.4795540461225043
4829,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,8.17535,2.09991,0.710095,0.760208,126.144,1,0.2135146477977985
5192,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,8.97047,2.27537,0.721656,0.963035,118.343,1,0.2888454649880101
9646,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,10.0,10.7093,-1.12864e-11,1.5,15.4884,1,0.4999999999999997
4075,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,7.37205,0.839392,1.09866,0.717886,143.49,1,0.3353754265029254
9467,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,10.0455,10.3889,-1.96701e-10,1.4876,19.3336,1,0.45449999999999974
5321,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,8.86327,2.67663,0.814935,1.19253,115.2,1,0.3903466154208619
2406,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,4.17437,0.156892,1.37492,0.0518731,183.06,1,0.3457091953469602
6104,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,9.66213,3.94013,0.509677,1.40098,97.143,1,0.4748211185227049
4931,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,8.34783,2.15952,0.854268,0.967123,124.14,1,0.3011130259028745
2943,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,5.18162,0.399206,1.05268,0.222001,170.217,1,0.22408239413410236
10412,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,9.86195,11.8201,-7.33921e-12,1.38566,2.15841,1,0.3619499999999999
2914,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,5.25169,-0.0362739,1.28488,0.266294,170.465,1,0.3353158676278296
2611,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,4.59963,-0.0887039,1.38972,0.137005,178.121,1,0.3818408553899806
6241,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,10.0326,4.16187,0.263901,0.866115,93.312,1,0.19357592157806103
3144,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,5.52787,0.538886,0.849241,0.237588,165.541,1,0.1708158899664518
9914,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,10.0455,11.2323,3.50786e-11,1.4876,9.21214,1,0.4544999999999998
3282,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,5.77499,0.614132,0.837528,0.276022,162.258,1,0.17081683829798955
10286,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,10.1114,11.8105,2.03797e-11,1.42549,2.27456,1,0.3886000000000006
6246,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,9.70649,4.21376,0.447989,1.43121,93.8601,1,0.4795218418950533
9239,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,10.1364,9.95888,-1.34666e-09,1.38843,24.4935,1,0.36360000000000015
5052,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,8.46525,2.36698,0.741841,0.911775,121.219,1,0.256499968114305
3913,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,7.13354,0.691182,1.13021,0.667109,146.773,1,0.3353733698849206
3644,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,6.52721,0.479336,1.32431,0.60623,154.262,1,0.4283839560627678
6838,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,9.67789,5.36315,0.115852,1.03442,80.0391,1,0.21349392006327417
5301,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,8.81673,2.68776,0.781817,1.13694,115.41,1,0.34566691751249223
6906,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,10.2364,5.48012,0.0891511,1.06512,78.0063,1,0.24196834664445
4342,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,7.52952,1.4525,0.928573,0.720709,137.635,1,0.2564978659250796
10159,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,10.0421,11.5787,1.97916e-11,1.48937,5.05603,1,0.45790000000000075
9564,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,10.1818,10.5646,8.88587e-11,1.30165,17.2249,1,0.3181999999999994
2430,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,4.23722,0.248526,1.1709,0.0534143,182.252,1,0.25636400005037885
3564,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,6.31923,0.658463,1.22736,0.532906,155.68,1,0.3233019254774181
3138,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,5.51331,0.399874,1.24546,0.336534,166.181,1,0.3009928781180209
5895,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,9.3771,3.59539,0.589611,1.31846,102.303,1,0.39027619573989103
3287,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,5.886,0.179804,1.3288,0.430588,162.617,1,0.3818566968061301
9393,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,9.86364,10.2235,-6.32099e-10,1.38843,21.3181,1,0.36363999999999996
2762,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,4.99026,-0.179137,1.05554,0.168956,173.747,1,0.242017183439299
3690,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,6.48906,0.710679,1.24854,0.587543,153.503,1,0.3457109340644786
3316,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,5.89224,0.327789,1.42262,0.474577,161.996,1,0.4795108366923291
6985,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,10.061,5.64248,0.089712,1.45436,76.251,1,0.4284646463682682
9367,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,9.70455,10.2049,-4.51851e-10,0.976239,21.5414,1,0.20454999999999907
6368,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,10.0537,4.41428,0.270962,1.03452,90.4598,1,0.24206171264049736
5139,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,8.97911,2.16941,0.604156,0.785298,119.256,1,0.21788601343464986
4286,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,7.73336,1.03604,0.961703,0.723287,138.729,1,0.2888104383137682
6764,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,9.65446,5.1806,0.149025,1.03004,82.3654,1,0.2135220531297506
10212,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,10.2404,11.8474,2.47095e-11,1.15319,1.83104,1,0.25960000000000105
6979,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,10.2953,5.62745,0.0546627,0.904255,76.2842,1,0.1936860534461191
5595,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,9.06024,3.16339,0.630922,1.12551,108.818,1,0.301067587065333
5155,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,9.01529,2.17675,0.548946,0.720098,118.938,1,0.1936243097481105
6491,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,9.54943,4.7336,0.214403,0.939733,88.1668,1,0.19209471854606353
3818,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,6.64535,0.98497,0.776943,0.409828,150.22,1,0.16995613064157666
4775,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,8.1952,1.89721,0.989423,1.01171,127.797,1,0.36792883597781856
6740,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,9.64807,5.13769,0.156846,1.02881,82.9138,1,0.2135167157364659
3893,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,6.99455,0.718144,1.26695,0.718294,148.031,1,0.42831716019059485
9104,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,9.68182,9.67772,-1.56374e-09,0.892562,27.8673,1,0.18181999999999987
3165,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,5.54866,0.409423,1.24357,0.344464,165.726,1,0.3011118751950468
5509,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,9.43758,2.80572,0.458591,0.780649,110.275,1,0.19359841313606108
6475,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,9.72383,4.60963,0.340851,1.40353,89.1708,1,0.3902766153891273
7152,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,10.2153,5.98952,0.0218164,1.20646,72.1243,1,0.2846911645196588
3938,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,7.20963,0.627773,0.917939,0.548419,146.39,1,0.2420013042164193
10346,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,9.86468,11.709,-1.40321e-11,1.39013,3.49229,1,0.36467999999999956
9690,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,10.0909,10.7775,6.76463e-11,1.45041,14.6698,1,0.40910000000000074
3053,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,5.38674,0.321197,1.34047,0.327268,167.94,1,0.3456694518599841
3612,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,6.34406,0.836355,0.802883,0.364477,154.49,1,0.17078891950890718
5451,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,9.22551,2.72942,0.696284,1.11248,112.3,1,0.33537119556254247
6539,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,10.1369,4.77477,0.209231,1.04852,86.1988,1,0.241986723975411
3866,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,7.0282,0.630399,1.14315,0.644685,148.195,1,0.3353742904211128
2464,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,4.35693,-0.154284,1.31093,0.0791476,181.011,1,0.3353742548670482
3979,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,6.93019,1.0955,0.891932,0.532886,146.39,1,0.2131544426962586
10068,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,10.3289,11.7349,3.39857e-11,0.850903,3.18082,1,0.17109999999999947
6689,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,10.089,5.03719,0.204617,1.29605,83.3011,1,0.33534882608107264
4946,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,8.5422,1.97095,0.966473,1.08956,124.29,1,0.4283589745028573
4078,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,7.42514,0.818568,1.00383,0.663575,143.107,1,0.28881479987724124
5652,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,9.20623,3.15064,0.712552,1.30194,108.086,1,0.4349543572381416
2325,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,4.09166,-0.257328,1.07844,0.0265281,184.122,1,0.24200069869099394
5366,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,9.10748,2.63192,0.769076,1.16625,114.012,1,0.38196805853385474
2547,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,4.47843,0.349427,0.879211,0.0746351,179.132,1,0.17079099361182593
9151,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,9.72727,9.77695,-1.72191e-09,1.05372,26.6765,1,0.22727000000000053
3702,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,6.70003,0.484061,1.21956,0.596969,152.395,1,0.35868539703256985
10321,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,10.1365,11.8964,1.79493e-11,1.38817,1.24328,1,0.3635000000000005
4005,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,7.06682,0.866808,1.28742,0.76917,146.39,1,0.4795522425399037
2440,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,4.31019,-0.156817,1.31209,0.0704563,181.557,1,0.33537402532894944
2078,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,3.58022,-0.181818,1.30149,0.0016995,190.223,1,0.31818199999999996
10119,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,10.1225,11.51,4.29567e-11,1.4099,5.8801,1,0.37749999999999984
4147,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,7.37277,1.06244,1.23836,0.845901,142.012,1,0.47955485186815494
5210,B-train-1__ip_skewed_bottom,bend,region_aware_5pct,clean,8.72407,2.55675,0.81281,1.11516,117.389,1,0.34575127142782147
