sample_id,case_id,family,x_star,y_star,u_star,v_star,p_star,speed_star,region_id,wall_distance_star,is_boundary,boundary_type
0,B-train-1__ip_skewed_top,bend,0.0,-0.110366,1.30093,-1.38354e-32,231.758,1.30093,0,0.389634,1,inlet
1,B-train-1__ip_skewed_top,bend,0.0,-0.0827746,1.36228,-1.4366999999999998e-32,232.107,1.36228,0,0.41722539999999997,1,inlet
2,B-train-1__ip_skewed_top,bend,0.0,-0.220732,0.994407,-1.0359100000000001e-32,230.52,0.994407,0,0.27926799999999996,1,inlet
3,B-train-1__ip_skewed_top,bend,0.0,-0.137958,1.23286,-1.31644e-32,231.421,1.23286,0,0.362042,1,inlet
4,B-train-1__ip_skewed_top,bend,0.0,-0.165549,1.15868,-1.23551e-32,231.101,1.15868,0,0.334451,1,inlet
5,B-train-1__ip_skewed_top,bend,0.0,-0.193141,1.07899,-1.1414e-32,230.799,1.07899,0,0.306859,1,inlet
6,B-train-1__ip_skewed_top,bend,0.0,-0.0551831,1.41632,-1.47473e-32,232.465,1.41632,0,0.4448169,1,inlet
7,B-train-1__ip_skewed_top,bend,0.0,4.31753e-17,1.5,-1.50579e-32,233.197,1.5,0,0.49999999999999994,1,inlet
8,B-train-1__ip_skewed_top,bend,0.0,-0.0275915,1.46242,-1.4978900000000002e-32,232.829,1.46242,0,0.4724085,1,inlet
9,B-train-1__ip_skewed_top,bend,0.0,0.0275915,1.52844,-1.49791e-32,233.568,1.52844,0,0.4724085,1,inlet
10,B-train-1__ip_skewed_top,bend,0.0,0.0551831,1.54714,-1.47476e-32,233.932,1.54714,0,0.4448169,1,inlet
11,B-train-1__ip_skewed_top,bend,0.0,0.0827746,1.5555,-1.43646e-32,234.29,1.5555,0,0.41722539999999997,1,inlet
12,B-train-1__ip_skewed_top,bend,0.0,0.110366,1.5529,-1.38381e-32,234.64,1.5529,0,0.389634,1,inlet
13,B-train-1__ip_skewed_top,bend,0.0,-0.248324,0.905525,-9.19571e-33,230.268,0.905525,0,0.251676,1,inlet
