sample_id,case_id,family,sampling_tag,noise_tag,x_star,y_star,u_obs,v_obs,p_obs,region_id,wall_distance_star,u_obs_mask,v_obs_mask,p_obs_mask
5033,B-train-2,bend,region_aware_5pct,clean,7.90461,1.84385,,,112.839,1,0.4793165729554305,0,0,1
6800,B-train-2,bend,region_aware_5pct,clean,5.17917,-0.0235197,,,152.519,1,0.3399426296611691,0,0,1
6517,B-train-2,bend,region_aware_5pct,clean,5.62488,0.297691,,,146.383,1,0.4751326561088795,0,0,1
6764,B-train-2,bend,region_aware_5pct,clean,5.32684,-0.0845757,,,151.036,1,0.2451532434684171,0,0,1
288,B-train-2,bend,region_aware_5pct,clean,9.07977,10.6931,,,3.6825,1,0.4202300000000004,0,0,1
4819,B-train-2,bend,region_aware_5pct,clean,8.18728,2.22972,,,107.113,1,0.4792664802043127,0,0,1
321,B-train-2,bend,region_aware_5pct,clean,9.0648,10.6578,,,4.10584,1,0.4352000000000003,0,0,1
6028,B-train-2,bend,region_aware_5pct,clean,6.49389,0.695069,,,134.825,1,0.4751299728611107,0,0,1
92,B-train-2,bend,region_aware_5pct,clean,8.89695,10.898,,,1.2238,1,0.39695,0,0,1
6670,B-train-2,bend,region_aware_5pct,clean,5.3563,0.165933,,,149.937,1,0.4792676380343676,0,0,1
6270,B-train-2,bend,region_aware_5pct,clean,6.13348,0.353483,,,140.51,1,0.3870891713536597,0,0,1
4742,B-train-2,bend,region_aware_5pct,clean,8.23431,2.38799,,,105.205,1,0.47513591936944,0,0,1
319,B-train-2,bend,region_aware_5pct,clean,9.10591,10.6616,,,4.06055,1,0.3940900000000006,0,0,1
5622,B-train-2,bend,region_aware_5pct,clean,7.01612,1.3264,,,125.07,1,0.2531375757913849,0,0,1
255,B-train-2,bend,region_aware_5pct,clean,9.05942,10.7305,,,3.23429,1,0.4405800000000009,0,0,1
6892,B-train-2,bend,region_aware_5pct,clean,4.98686,0.0653725,,,154.513,1,0.4676604622346625,0,0,1
6446,B-train-2,bend,region_aware_5pct,clean,5.90276,0.152663,,,143.898,1,0.2925849398027624,0,0,1
4898,B-train-2,bend,region_aware_5pct,clean,8.00958,2.13126,,,109.309,1,0.4301522252360525,0,0,1
542,B-train-2,bend,region_aware_5pct,clean,8.81818,10.3232,,,8.12102,1,0.3181799999999996,0,0,1
230,B-train-2,bend,region_aware_5pct,clean,9.28907,10.8676,,,1.58831,1,0.2109299999999997,0,0,1
454,B-train-2,bend,region_aware_5pct,clean,9.13636,10.5052,,,5.93786,1,0.3636400000000005,0,0,1
6605,B-train-2,bend,region_aware_5pct,clean,5.35229,0.397734,,,149.201,1,0.2968260942894316,0,0,1
5243,B-train-2,bend,region_aware_5pct,clean,7.66365,1.56709,,,117.231,1,0.4793225167712682,0,0,1
4590,B-train-2,bend,region_aware_5pct,clean,8.64664,2.54607,,,101.189,1,0.2451892770053083,0,0,1
3470,B-train-2,bend,region_aware_5pct,clean,8.78737,4.69508,,,75.799,1,0.2970707440374474,0,0,1
6934,B-train-2,bend,region_aware_5pct,clean,4.84875,0.143459,,,155.978,1,0.430148785501407,0,0,1
4418,B-train-2,bend,region_aware_5pct,clean,8.39063,2.96116,,,98.1157,1,0.3409193695516146,0,0,1
5056,B-train-2,bend,region_aware_5pct,clean,7.8316,1.89762,,,112.888,1,0.430103469948679,0,0,1
3441,B-train-2,bend,region_aware_5pct,clean,8.70273,4.73301,,,75.3697,1,0.2103028685000723,0,0,1
4913,B-train-2,bend,region_aware_5pct,clean,8.34107,1.95367,,,108.76,1,0.1966977067302675,0,0,1
346,B-train-2,bend,region_aware_5pct,clean,8.6558,10.623,,,4.52387,1,0.1557999999999989,0,0,1
4552,B-train-2,bend,region_aware_5pct,clean,8.15416,2.77965,,,101.488,1,0.2103077848586494,0,0,1
6538,B-train-2,bend,region_aware_5pct,clean,5.43733,0.514313,,,147.741,1,0.2103402627484358,0,0,1
1462,B-train-2,bend,region_aware_5pct,clean,9.09091,8.59491,,,28.8611,1,0.409090000000001,0,0,1
1090,B-train-2,bend,region_aware_5pct,clean,8.72727,9.27715,,,20.6742,1,0.2272700000000004,0,0,1
5735,B-train-2,bend,region_aware_5pct,clean,6.98468,1.0196,,,127.715,1,0.4751280247245892,0,0,1
909,B-train-2,bend,region_aware_5pct,clean,9.31818,9.63274,,,16.4071,1,0.1818200000000003,0,0,1
4575,B-train-2,bend,region_aware_5pct,clean,8.07047,2.71578,,,102.72,1,0.1675889953272449,0,0,1
3842,B-train-2,bend,region_aware_5pct,clean,9.14939,3.95252,,,84.0551,1,0.2451515985235115,0,0,1
35,B-train-2,bend,region_aware_5pct,clean,8.99889,10.9391,,,0.731348,1,0.498889999999999,0,0,1
3351,B-train-2,bend,region_aware_5pct,clean,8.84121,4.95751,,,72.5267,1,0.3413964580686848,0,0,1
7117,B-train-2,bend,region_aware_5pct,clean,4.56675,-0.176484,,,159.807,1,0.2925829661188066,0,0,1
756,B-train-2,bend,region_aware_5pct,clean,8.77273,9.92631,,,12.8843,1,0.2727299999999989,0,0,1
4656,B-train-2,bend,region_aware_5pct,clean,8.08627,2.5721,,,104.207,1,0.2531359041058358,0,0,1
226,B-train-2,bend,region_aware_5pct,clean,9.10834,10.7604,,,2.87493,1,0.3916600000000002,0,0,1
4367,B-train-2,bend,region_aware_5pct,clean,8.5104,3.00948,,,96.9669,1,0.4300991907262883,0,0,1
4606,B-train-2,bend,region_aware_5pct,clean,8.32131,2.62668,,,102.171,1,0.4301488758961431,0,0,1
93,B-train-2,bend,region_aware_5pct,clean,8.92788,10.8981,,,1.22332,1,0.4278799999999997,0,0,1
5252,B-train-2,bend,region_aware_5pct,clean,7.76965,1.47638,,,117.159,1,0.3399458310110734,0,0,1
4691,B-train-2,bend,region_aware_5pct,clean,8.20289,2.51011,,,104.13,1,0.3850625957299662,0,0,1
4094,B-train-2,bend,region_aware_5pct,clean,8.9869,3.50065,,,89.5437,1,0.2925800983116406,0,0,1
3521,B-train-2,bend,region_aware_5pct,clean,9.05213,4.61397,,,76.5864,1,0.4331433118944439,0,0,1
5834,B-train-2,bend,region_aware_5pct,clean,6.60293,1.12561,,,130.83,1,0.1675627962567354,0,0,1
6616,B-train-2,bend,region_aware_5pct,clean,5.269,0.508259,,,149.829,1,0.1675580565303098,0,0,1
993,B-train-2,bend,region_aware_5pct,clean,8.75,9.44151,,,18.7019,1,0.2499999999999997,0,0,1
4121,B-train-2,bend,region_aware_5pct,clean,9.01828,3.44107,,,90.0935,1,0.2451549115792186,0,0,1
4230,B-train-2,bend,region_aware_5pct,clean,8.85274,3.2457,,,92.8387,1,0.3398978694603327,0,0,1
4213,B-train-2,bend,region_aware_5pct,clean,8.43977,3.30262,,,93.9361,1,0.253173310252845,0,0,1
4233,B-train-2,bend,region_aware_5pct,clean,8.48077,3.28694,,,93.9361,1,0.2970693508120137,0,0,1
1123,B-train-2,bend,region_aware_5pct,clean,9.31818,9.23167,,,21.22,1,0.1818200000000003,0,0,1
4745,B-train-2,bend,region_aware_5pct,clean,8.14908,2.33711,,,106.278,1,0.4300961449549847,0,0,1
4845,B-train-2,bend,region_aware_5pct,clean,8.20006,2.16575,,,107.662,1,0.4330998563125394,0,0,1
979,B-train-2,bend,region_aware_5pct,clean,9.27273,9.50456,,,17.9452,1,0.227270000000001,0,0,1
6653,B-train-2,bend,region_aware_5pct,clean,5.45566,0.0987787,,,149.027,1,0.3871811818553858,0,0,1
681,B-train-2,bend,region_aware_5pct,clean,8.95455,10.0504,,,11.3958,1,0.454549999999999,0,0,1
1338,B-train-2,bend,region_aware_5pct,clean,9.27273,8.81199,,,26.2561,1,0.2272700000000009,0,0,1
6319,B-train-2,bend,region_aware_5pct,clean,6.1029,0.287838,,,141.152,1,0.3398973727023602,0,0,1
3360,B-train-2,bend,region_aware_5pct,clean,9.25378,4.89578,,,73.2171,1,0.2451863880057549,0,0,1
5410,B-train-2,bend,region_aware_5pct,clean,7.67452,1.17605,,,120.381,1,0.1967282897347226,0,0,1
4817,B-train-2,bend,region_aware_5pct,clean,7.89855,2.35646,,,107.797,1,0.2103074033549017,0,0,1
3661,B-train-2,bend,region_aware_5pct,clean,8.66033,4.31543,,,80.7523,1,0.2103409424159519,0,0,1
5099,B-train-2,bend,region_aware_5pct,clean,7.96607,1.69895,,,113.701,1,0.3398989983334628,0,0,1
6836,B-train-2,bend,region_aware_5pct,clean,4.92928,0.425854,,,154.331,1,0.1675874868839901,0,0,1
6168,B-train-2,bend,region_aware_5pct,clean,6.32323,0.497279,,,137.753,1,0.4332560715247311,0,0,1
5204,B-train-2,bend,region_aware_5pct,clean,7.87803,1.52464,,,115.897,1,0.292578007257334,0,0,1
7208,B-train-2,bend,region_aware_5pct,clean,4.36367,-0.00754227,,,162.012,1,0.479269430178836,0,0,1
1345,B-train-2,bend,region_aware_5pct,clean,8.95455,8.79752,,,26.4298,1,0.4545499999999991,0,0,1
3484,B-train-2,bend,region_aware_5pct,clean,9.14645,4.62496,,,76.3842,1,0.3399028493544813,0,0,1
6554,B-train-2,bend,region_aware_5pct,clean,5.51471,0.3557,,,147.43,1,0.3850659027386722,0,0,1
5027,B-train-2,bend,region_aware_5pct,clean,7.86091,1.93419,,,112.317,1,0.4300929995487914,0,0,1
5958,B-train-2,bend,region_aware_5pct,clean,6.46413,0.935476,,,133.628,1,0.2531349658384414,0,0,1
5956,B-train-2,bend,region_aware_5pct,clean,6.5584,0.890312,,,132.917,1,0.340965401378531,0,0,1
637,B-train-2,bend,region_aware_5pct,clean,8.77273,10.1413,,,10.3042,1,0.2727299999999989,0,0,1
5502,B-train-2,bend,region_aware_5pct,clean,7.30331,1.27977,,,122.746,1,0.4751349940478997,0,0,1
4866,B-train-2,bend,region_aware_5pct,clean,7.82551,2.32576,,,108.652,1,0.1675567846251215,0,0,1
1051,B-train-2,bend,region_aware_5pct,clean,9.31818,9.36811,,,19.5826,1,0.1818200000000003,0,0,1
3818,B-train-2,bend,region_aware_5pct,clean,9.16062,4.00953,,,83.3914,1,0.2451898602042721,0,0,1
5831,B-train-2,bend,region_aware_5pct,clean,6.70622,1.03922,,,130.359,1,0.2970204186348839,0,0,1
4408,B-train-2,bend,region_aware_5pct,clean,8.56548,2.91096,,,97.7787,1,0.4792733840608285,0,0,1
4345,B-train-2,bend,region_aware_5pct,clean,8.34522,3.0735,,,97.0693,1,0.2531399199266158,0,0,1
7111,B-train-2,bend,region_aware_5pct,clean,4.52683,0.00703752,,,160.053,1,0.4793203472450313,0,0,1
7369,B-train-2,bend,region_aware_5pct,clean,4.02322,0.124962,,,166.078,1,0.3750932985783972,0,0,1
4595,B-train-2,bend,region_aware_5pct,clean,8.54191,2.55135,,,101.704,1,0.3400742960193703,0,0,1
4925,B-train-2,bend,region_aware_5pct,clean,7.98319,2.09474,,,109.858,1,0.4301458643431637,0,0,1
