sample_id,case_id,family,sampling_tag,noise_tag,x_star,y_star,u_obs,v_obs,p_obs,region_id,wall_distance_star,u_obs_mask,v_obs_mask,p_obs_mask
5033,B-train-2,bend,region_aware_5pct,clean,7.90461,1.84385,0.937651,1.16001,,1,0.4793165729554305,1,1,0
6800,B-train-2,bend,region_aware_5pct,clean,5.17917,-0.0235197,1.28183,0.300662,,1,0.3399426296611691,1,1,0
6517,B-train-2,bend,region_aware_5pct,clean,5.62488,0.297691,1.4173,0.489721,,1,0.4751326561088795,1,1,0
6764,B-train-2,bend,region_aware_5pct,clean,5.32684,-0.0845757,1.03805,0.270792,,1,0.2451532434684171,1,1,0
288,B-train-2,bend,region_aware_5pct,clean,9.07977,10.6931,2.27778e-11,1.46182,,1,0.4202300000000004,1,1,0
4819,B-train-2,bend,region_aware_5pct,clean,8.18728,2.22972,0.822991,1.24396,,1,0.4792664802043127,1,1,0
321,B-train-2,bend,region_aware_5pct,clean,9.0648,10.6578,2.18559e-11,1.47481,,1,0.4352000000000003,1,1,0
6028,B-train-2,bend,region_aware_5pct,clean,6.49389,0.695069,1.29752,0.751676,,1,0.4751299728611107,1,1,0
92,B-train-2,bend,region_aware_5pct,clean,8.89695,10.898,-7.07708e-13,1.43628,,1,0.39695,1,1,0
6670,B-train-2,bend,region_aware_5pct,clean,5.3563,0.165933,1.43612,0.402803,,1,0.4792676380343676,1,1,0
6270,B-train-2,bend,region_aware_5pct,clean,6.13348,0.353483,1.27306,0.584539,,1,0.3870891713536597,1,1,0
4742,B-train-2,bend,region_aware_5pct,clean,8.23431,2.38799,0.787274,1.27624,,1,0.47513591936944,1,1,0
319,B-train-2,bend,region_aware_5pct,clean,9.10591,10.6616,2.8901e-11,1.4327,,1,0.3940900000000006,1,1,0
5622,B-train-2,bend,region_aware_5pct,clean,7.01612,1.3264,0.905845,0.743724,,1,0.2531375757913849,1,1,0
255,B-train-2,bend,region_aware_5pct,clean,9.05942,10.7305,1.79432e-11,1.47881,,1,0.4405800000000009,1,1,0
6892,B-train-2,bend,region_aware_5pct,clean,4.98686,0.0653725,1.45673,0.290873,,1,0.4676604622346625,1,1,0
6446,B-train-2,bend,region_aware_5pct,clean,5.90276,0.152663,1.12381,0.441133,,1,0.2925849398027624,1,1,0
4898,B-train-2,bend,region_aware_5pct,clean,8.00958,2.13126,0.862849,1.20598,,1,0.4301522252360525,1,1,0
542,B-train-2,bend,region_aware_5pct,clean,8.81818,10.3232,-5.26678e-11,1.30165,,1,0.3181799999999996,1,1,0
230,B-train-2,bend,region_aware_5pct,clean,9.28907,10.8676,2.26842e-11,0.998622,,1,0.2109299999999997,1,1,0
454,B-train-2,bend,region_aware_5pct,clean,9.13636,10.5052,4.68901e-11,1.38843,,1,0.3636400000000005,1,1,0
6605,B-train-2,bend,region_aware_5pct,clean,5.35229,0.397734,1.23393,0.362494,,1,0.2968260942894316,1,1,0
5243,B-train-2,bend,region_aware_5pct,clean,7.66365,1.56709,1.01988,1.08842,,1,0.4793225167712682,1,1,0
4590,B-train-2,bend,region_aware_5pct,clean,8.64664,2.54607,0.501086,0.948825,,1,0.2451892770053083,1,1,0
3470,B-train-2,bend,region_aware_5pct,clean,8.78737,4.69508,0.0863562,1.28205,,1,0.2970707440374474,1,1,0
6934,B-train-2,bend,region_aware_5pct,clean,4.84875,0.143459,1.46099,0.254793,,1,0.430148785501407,1,1,0
4418,B-train-2,bend,region_aware_5pct,clean,8.39063,2.96116,0.579518,1.24799,,1,0.3409193695516146,1,1,0
5056,B-train-2,bend,region_aware_5pct,clean,7.8316,1.89762,0.933108,1.15244,,1,0.430103469948679,1,1,0
3441,B-train-2,bend,region_aware_5pct,clean,8.70273,4.73301,0.062223,1.03168,,1,0.2103028685000723,1,1,0
