sample_id,case_id,family,sampling_tag,noise_tag,x_star,y_star,u_obs,v_obs,p_obs,region_id,wall_distance_star
5479,B-train-2,bend,uniform_5pct,clean,7.03017,1.61706,0.189985,0.170174,122.486,2,0.04160910608784185
1049,B-train-2,bend,uniform_5pct,clean,9.45455,9.36605,7.17579e-11,0.260331,19.6074,2,0.045450000000000934
3410,B-train-2,bend,uniform_5pct,clean,9.29983,4.8081,0.0382854,0.915015,74.2156,1,0.19669691240449616
6411,B-train-2,bend,uniform_5pct,clean,5.65061,0.588372,0.970172,0.362987,144.861,1,0.21030518995149716
9632,B-train-2,bend,uniform_5pct,clean,0.0393431,0.00998357,1.4994,-1.09174e-09,213.896,0,0.49001643
2414,B-train-2,bend,uniform_5pct,clean,8.63636,6.73633,-2.36368e-06,0.706611,51.1641,2,0.1363599999999997
6204,B-train-2,bend,uniform_5pct,clean,6.23573,0.504586,1.33553,0.664207,138.643,1,0.4793192031064155
5418,B-train-2,bend,uniform_5pct,clean,7.3718,1.52647,0.987314,0.958399,120.077,1,0.3409137464842322
8315,B-train-2,bend,uniform_5pct,clean,2.20869,0.181818,1.30165,-7.03224e-06,187.864,0,0.31818199999999996
419,B-train-2,bend,uniform_5pct,clean,9.02161,10.5463,1.59974e-11,1.4972,5.44496,1,0.47838999999999954
5592,B-train-2,bend,uniform_5pct,clean,7.01243,1.37887,0.796417,0.662546,124.682,1,0.21034149311915584
1630,B-train-2,bend,uniform_5pct,clean,8.72727,8.23105,6.86896e-09,1.05372,33.2274,0,0.22727000000000053
7513,B-train-2,bend,uniform_5pct,clean,3.79024,-0.0454546,1.48615,0.0125507,168.88,1,0.4545454
422,B-train-2,bend,uniform_5pct,clean,9.10549,10.5475,3.67272e-11,1.43323,5.43043,1,0.3945100000000007
8050,B-train-2,bend,uniform_5pct,clean,2.7152,0.136364,1.38835,-0.000148956,181.786,0,0.36363599999999996
2302,B-train-2,bend,uniform_5pct,clean,9.45455,6.95754,3.06381e-08,0.260329,48.5095,2,0.04545000000000077
7341,B-train-2,bend,uniform_5pct,clean,4.0879,0.0255922,1.49802,0.0506972,165.306,1,0.4751843554486337
5861,B-train-2,bend,uniform_5pct,clean,6.48937,1.15177,0.406985,0.26327,131.874,2,0.08321253378020899
9020,B-train-2,bend,uniform_5pct,clean,0.848345,0.272727,1.05372,1.70112e-08,204.188,0,0.227273
2215,B-train-2,bend,uniform_5pct,clean,9.09091,7.12086,1.12534e-06,1.45041,46.5496,0,0.40909000000000095
176,B-train-2,bend,uniform_5pct,clean,8.71868,10.8228,-1.60757e-11,1.02516,2.1263,1,0.21868000000000054
