sample_id,case_id,family,x_star,y_star,u_star,v_star,p_star,speed_star,region_id,wall_distance_star,is_boundary,boundary_type
0,B-train-2__ip_blunted,bend,8.94482,11.0,4.10078e-12,1.48173,1.03345e-44,1.48173,1,0.4448199999999996,1,outlet
1,B-train-2__ip_blunted,bend,8.97241,11.0,6.03028e-12,1.49543,1.13871e-44,1.49543,1,0.4724099999999996,1,outlet
2,B-train-2__ip_blunted,bend,9.08277,11.0,1.31077e-11,1.45889,9.507429999999999e-45,1.45889,1,0.4172300000000003,1,outlet
3,B-train-2__ip_blunted,bend,9.0,11.0,7.93372e-12,1.5,1.1826e-44,1.5,1,0.4999999999999996,1,outlet
4,B-train-2__ip_blunted,bend,9.05518,11.0,1.15106e-11,1.48173,1.0315300000000001e-44,1.48173,1,0.4448200000000004,1,outlet
5,B-train-2__ip_blunted,bend,9.02759,11.0,9.75985e-12,1.49543,1.0582900000000001e-44,1.49543,1,0.4724100000000004,1,outlet
6,B-train-2__ip_blunted,bend,9.11037,11.0,1.45272e-11,1.42692,8.389649999999999e-45,1.42692,1,0.3896300000000007,1,outlet
7,B-train-2__ip_blunted,bend,8.91723,11.0,2.28638e-12,1.45889,9.756069999999999e-45,1.45889,1,0.41722999999999966,1,outlet
8,B-train-2__ip_blunted,bend,8.92532,10.9803,2.77012e-12,1.46653,0.236387,1.46653,1,0.4253199999999989,0,interior
9,B-train-2__ip_blunted,bend,8.86204,11.0,-1.09969e-12,1.38581,5.0311299999999995e-45,1.38581,1,0.36204000000000003,1,outlet
10,B-train-2__ip_blunted,bend,8.88963,11.0,4.70709e-13,1.42692,8.726419999999999e-45,1.42692,1,0.38963000000000003,1,outlet
11,B-train-2__ip_blunted,bend,8.93052,10.9602,2.9973e-12,1.47104,0.478072,1.47104,1,0.43051999999999924,0,interior
12,B-train-2__ip_blunted,bend,8.95279,10.9794,4.64e-12,1.48663,0.246613,1.48663,1,0.45278999999999986,0,interior
13,B-train-2__ip_blunted,bend,8.98027,10.9805,6.55942e-12,1.49766,0.234283,1.49766,1,0.4802700000000005,0,interior
14,B-train-2__ip_blunted,bend,9.10335,10.9801,1.42513e-11,1.43591,0.239017,1.43591,1,0.3966499999999996,0,interior
15,B-train-2__ip_blunted,bend,9.07468,10.9803,1.27003e-11,1.46653,0.236387,1.46653,1,0.4253199999999996,0,interior
