sample_id,case_id,family,sampling_tag,noise_tag,x_star,y_star,u_obs,v_obs,p_obs,region_id,wall_distance_star
7202,B-train-2__ip_blunted,bend,region_aware_10pct,clean,4.30096,0.25636,1.16789,0.0779151,162.59,1,0.2531776077903922
6656,B-train-2__ip_blunted,bend,region_aware_10pct,clean,5.33183,0.253147,1.42779,0.400466,149.938,1,0.43015056083574343
6827,B-train-2__ip_blunted,bend,region_aware_10pct,clean,5.04856,0.1827,1.44908,0.31504,153.495,1,0.4300970947436733
591,B-train-2__ip_blunted,bend,region_aware_10pct,clean,8.68182,10.2323,-7.97876e-11,0.892562,9.2126,1,0.18181999999999976
3865,B-train-2__ip_blunted,bend,region_aware_10pct,clean,8.81244,3.92912,0.321778,1.44762,85.1509,1,0.4301483474637964
409,B-train-2__ip_blunted,bend,region_aware_10pct,clean,8.88506,10.5447,-2.00022e-11,1.42073,5.46307,1,0.38505999999999896
4754,B-train-2__ip_blunted,bend,region_aware_10pct,clean,8.38728,2.28375,0.693156,1.11958,105.303,1,0.3399379983473061
6565,B-train-2__ip_blunted,bend,region_aware_10pct,clean,5.38818,0.454224,1.12064,0.342175,148.564,1,0.25301200867155416
3974,B-train-2__ip_blunted,bend,region_aware_10pct,clean,9.00082,3.72799,0.324427,1.27608,86.9616,1,0.3399408809103752
5364,B-train-2__ip_blunted,bend,region_aware_10pct,clean,7.44173,1.59575,0.967625,0.978276,118.855,1,0.3409114281713519
3517,B-train-2__ip_blunted,bend,region_aware_10pct,clean,8.82607,4.62113,0.110778,1.37104,76.691,1,0.3409187270393206
3525,B-train-2__ip_blunted,bend,region_aware_10pct,clean,9.14161,4.56402,0.113256,1.31211,77.0939,1,0.3399387646559848
3543,B-train-2__ip_blunted,bend,region_aware_10pct,clean,8.64419,4.53328,0.0878668,0.871782,77.9921,1,0.16758270569467282
172,B-train-2__ip_blunted,bend,region_aware_10pct,clean,8.86068,10.8286,-6.86918e-12,1.38353,2.05725,1,0.36068
3765,B-train-2__ip_blunted,bend,region_aware_10pct,clean,8.67196,4.1253,0.215453,1.15256,83.1135,1,0.25313689384179217
1273,B-train-2__ip_blunted,bend,region_aware_10pct,clean,9.04545,8.9381,-2.18294e-09,1.4876,24.7428,1,0.45454999999999957
1410,B-train-2__ip_blunted,bend,region_aware_10pct,clean,9.18182,8.68588,-2.92599e-09,1.30165,27.7695,1,0.31818000000000013
3654,B-train-2__ip_blunted,bend,region_aware_10pct,clean,9.07153,4.34947,0.178021,1.38878,79.6674,1,0.38691816789521827
527,B-train-2__ip_blunted,bend,region_aware_10pct,clean,9.13636,10.3687,5.92963e-11,1.38843,7.57523,1,0.3636400000000005
4301,B-train-2__ip_blunted,bend,region_aware_10pct,clean,8.65614,3.12167,0.558015,1.38325,95.0336,1,0.4792666582958214
5467,B-train-2__ip_blunted,bend,region_aware_10pct,clean,7.36925,1.27772,1.10584,1.00096,122.173,1,0.47932136450658724
985,B-train-2__ip_blunted,bend,region_aware_10pct,clean,9.13636,9.48802,-1.27392e-11,1.38843,18.1437,1,0.36364000000000046
4682,B-train-2__ip_blunted,bend,region_aware_10pct,clean,8.15514,2.5161,0.70606,1.18112,104.368,1,0.34096556790068444
4553,B-train-2__ip_blunted,bend,region_aware_10pct,clean,8.33576,2.74944,0.664006,1.27922,100.762,1,0.385062444964241
5205,B-train-2__ip_blunted,bend,region_aware_10pct,clean,7.638,1.73974,0.961935,1.07339,115.897,1,0.3851140485765523
1008,B-train-2__ip_blunted,bend,region_aware_10pct,clean,9.04545,9.45908,-1.44588e-10,1.4876,18.491,1,0.4545499999999996
4685,B-train-2__ip_blunted,bend,region_aware_10pct,clean,8.0948,2.5011,0.670213,1.09824,104.916,1,0.29707079893553345
4276,B-train-2__ip_blunted,bend,region_aware_10pct,clean,8.77595,3.17409,0.500153,1.30825,93.9362,1,0.3869142652797226
6973,B-train-2__ip_blunted,bend,region_aware_10pct,clean,4.82857,0.0130895,1.44913,0.240252,156.479,1,0.4447250737561026
4032,B-train-2__ip_blunted,bend,region_aware_10pct,clean,8.50778,3.63366,0.300451,0.991362,89.6786,1,0.21030418593109523
7649,B-train-2__ip_blunted,bend,region_aware_10pct,clean,3.54215,-3.67002e-09,1.50001,0.002119,171.862,1,0.49999999632998
4009,B-train-2__ip_blunted,bend,region_aware_10pct,clean,8.49795,3.67564,0.270692,0.919489,89.2008,1,0.18886805232350312
4403,B-train-2__ip_blunted,bend,region_aware_10pct,clean,8.66871,2.91511,0.5711,1.27887,97.2302,1,0.38691684243254176
5017,B-train-2__ip_blunted,bend,region_aware_10pct,clean,8.05534,1.84759,0.835876,1.07529,111.697,1,0.3635156650000386
1327,B-train-2__ip_blunted,bend,region_aware_10pct,clean,8.77273,8.82232,-2.23643e-09,1.19008,26.1321,1,0.27272999999999903
7445,B-train-2__ip_blunted,bend,region_aware_10pct,clean,3.92462,-0.0909091,1.44402,0.0238389,167.268,1,0.4090909
5319,B-train-2__ip_blunted,bend,region_aware_10pct,clean,7.5325,1.56092,1.03438,1.06248,118.379,1,0.4300940656746093
3415,B-train-2__ip_blunted,bend,region_aware_10pct,clean,8.70593,4.79711,0.0502026,1.03009,74.5494,1,0.21030163758118636
210,B-train-2__ip_blunted,bend,region_aware_10pct,clean,8.72483,10.7778,-2.03137e-11,1.04568,2.66672,1,0.22483000000000042
1319,B-train-2__ip_blunted,bend,region_aware_10pct,clean,9.04545,8.86781,-2.71838e-09,1.4876,25.5863,1,0.45454999999999957
626,B-train-2__ip_blunted,bend,region_aware_10pct,clean,9.13636,10.1868,7.6589e-11,1.38843,9.75839,1,0.3636400000000005
142,B-train-2__ip_blunted,bend,region_aware_10pct,clean,8.88559,10.8445,-3.70531e-12,1.42146,1.86577,1,0.3855900000000002
5144,B-train-2__ip_blunted,bend,region_aware_10pct,clean,7.81583,1.66647,0.959561,1.09839,115.137,1,0.43314882300654123
1440,B-train-2__ip_blunted,bend,region_aware_10pct,clean,9.13636,8.62385,-3.49145e-09,1.38843,28.5137,1,0.3636400000000004
6703,B-train-2__ip_blunted,bend,region_aware_10pct,clean,5.32413,0.109171,1.40776,0.380983,150.487,1,0.43309477450574363
1436,B-train-2__ip_blunted,bend,region_aware_10pct,clean,8.95455,8.61559,-4.16563e-09,1.4876,28.613,1,0.4545499999999991
3320,B-train-2__ip_blunted,bend,region_aware_10pct,clean,9.18057,4.98786,0.0292033,1.28741,72.1423,1,0.31941577575463054
7191,B-train-2__ip_blunted,bend,region_aware_10pct,clean,4.48879,-0.280698,0.906152,0.0843216,160.803,1,0.19672864815461288
352,B-train-2__ip_blunted,bend,region_aware_10pct,clean,8.99355,10.6393,7.8536e-12,1.49975,4.32867,1,0.4935500000000005
7544,B-train-2__ip_blunted,bend,region_aware_10pct,clean,3.73235,-0.318182,0.890342,0.00271959,169.539,1,0.18181799999999998
7608,B-train-2__ip_blunted,bend,region_aware_10pct,clean,3.58763,-0.0454546,1.48748,0.00313079,171.313,1,0.4545454
7422,B-train-2__ip_blunted,bend,region_aware_10pct,clean,3.96908,-0.104282,1.42565,0.0286096,166.737,1,0.395718
4719,B-train-2__ip_blunted,bend,region_aware_10pct,clean,8.25919,2.42876,0.774981,1.28374,104.629,1,0.4751356357088401
7268,B-train-2__ip_blunted,bend,region_aware_10pct,clean,4.21049,0.119572,1.43655,0.0735458,163.789,1,0.3849650462704446
3846,B-train-2__ip_blunted,bend,region_aware_10pct,clean,9.19687,3.94286,0.181277,0.89192,84.0546,1,0.19669887932996932
4801,B-train-2__ip_blunted,bend,region_aware_10pct,clean,8.2899,2.21785,0.762094,1.1751,106.564,1,0.3869186753484941
1230,B-train-2__ip_blunted,bend,region_aware_10pct,clean,8.95455,9.00425,-1.83304e-09,1.4876,23.9489,1,0.4545499999999991
3663,B-train-2__ip_blunted,bend,region_aware_10pct,clean,8.79805,4.35723,0.182555,1.36439,79.9917,1,0.3409128349310322
7100,B-train-2__ip_blunted,bend,region_aware_10pct,clean,4.46144,0.269316,1.16687,0.114614,160.547,1,0.2531355946844185
6054,B-train-2__ip_blunted,bend,region_aware_10pct,clean,6.4731,0.630675,1.29807,0.734726,135.427,1,0.4793203084019595
16,B-train-2__ip_blunted,bend,region_aware_10pct,clean,9.01973,10.9805,9.26633e-12,1.49766,0.234283,1,0.48027000000000125
7384,B-train-2__ip_blunted,bend,region_aware_10pct,clean,4.03065,-0.0354856,1.48731,0.04001,166.001,1,0.46442112063495067
1149,B-train-2__ip_blunted,bend,region_aware_10pct,clean,9.31818,9.18618,-5.90171e-11,0.892562,21.7658,1,0.18182000000000037
6693,B-train-2__ip_blunted,bend,region_aware_10pct,clean,5.47923,-0.0928279,0.874332,0.253918,149.388,1,0.19669749948973703
6503,B-train-2__ip_blunted,bend,region_aware_10pct,clean,5.53289,0.454484,1.21905,0.411078,146.83,1,0.29702693950701153
7385,B-train-2__ip_blunted,bend,region_aware_10pct,clean,4.04488,-0.255262,1.08565,0.0259585,165.838,1,0.2445463656270359
6532,B-train-2__ip_blunted,bend,region_aware_10pct,clean,5.58996,0.333266,1.40365,0.478193,146.643,1,0.43015000059389674
6596,B-train-2__ip_blunted,bend,region_aware_10pct,clean,5.61812,0.0255865,1.0875,0.353727,147.477,1,0.2690247559960435
7167,B-train-2__ip_blunted,bend,region_aware_10pct,clean,4.52898,-0.276854,0.905226,0.090994,160.348,1,0.19669838895466984
1298,B-train-2__ip_blunted,bend,region_aware_10pct,clean,9.13636,8.91329,-1.94122e-09,1.38843,25.0405,1,0.3636400000000004
4510,B-train-2__ip_blunted,bend,region_aware_10pct,clean,8.44539,2.76596,0.673343,1.33985,99.9755,1,0.4751810995882346
7175,B-train-2__ip_blunted,bend,region_aware_10pct,clean,4.37315,0.129207,1.43634,0.113839,161.786,1,0.3850655442224111
5946,B-train-2__ip_blunted,bend,region_aware_10pct,clean,6.72706,0.619385,1.11779,0.69586,132.917,1,0.33989883608615745
7541,B-train-2__ip_blunted,bend,region_aware_10pct,clean,3.73649,-0.227273,1.18715,0.00542187,169.504,1,0.272727
5941,B-train-2__ip_blunted,bend,region_aware_10pct,clean,6.64955,0.789082,1.26919,0.798586,132.629,1,0.4751327223727406
1010,B-train-2__ip_blunted,bend,region_aware_10pct,clean,9.13636,9.44254,-5.61131e-11,1.38843,18.6895,1,0.36364000000000046
3499,B-train-2__ip_blunted,bend,region_aware_10pct,clean,9.19364,4.62152,0.09044,1.20469,76.389,1,0.292587632998516
4659,B-train-2__ip_blunted,bend,region_aware_10pct,clean,8.12507,2.55148,0.656655,1.10628,104.181,1,0.29702540073533434
173,B-train-2__ip_blunted,bend,region_aware_10pct,clean,8.83849,10.8092,-1.0143e-11,1.34348,2.28961,1,0.33848999999999985
5255,B-train-2__ip_blunted,bend,region_aware_10pct,clean,7.57782,1.6738,0.98139,1.05563,116.996,1,0.3851205095063932
52,B-train-2__ip_blunted,bend,region_aware_10pct,clean,8.70422,10.9803,-6.49784e-12,0.975074,0.236118,1,0.204219999999999
7293,B-train-2__ip_blunted,bend,region_aware_10pct,clean,4.17556,0.11804,1.4363,0.0658222,164.218,1,0.3851156337593489
3826,B-train-2__ip_blunted,bend,region_aware_10pct,clean,9.01957,4.02661,0.266172,1.37478,83.506,1,0.3869215655341254
940,B-train-2__ip_blunted,bend,region_aware_10pct,clean,9.0,9.55004,-9.78248e-11,1.5,17.3995,1,0.4999999999999997
309,B-train-2__ip_blunted,bend,region_aware_10pct,clean,8.75738,10.6616,-3.0781e-11,1.14681,4.06064,1,0.25737999999999917
795,B-train-2__ip_blunted,bend,region_aware_10pct,clean,9.04545,9.84775,4.26806e-11,1.4876,13.827,1,0.4545499999999996
3484,B-train-2__ip_blunted,bend,region_aware_10pct,clean,9.14645,4.62496,0.0990631,1.31382,76.3841,1,0.33990284935448134
4914,B-train-2__ip_blunted,bend,region_aware_10pct,clean,8.29558,1.97328,0.61804,0.87714,108.875,1,0.24518872890757404
1223,B-train-2__ip_blunted,bend,region_aware_10pct,clean,9.27273,9.04974,-4.82925e-10,1.05372,23.4032,1,0.22727000000000097
