sample_id,case_id,family,sampling_tag,noise_tag,x_star,y_star,u_obs,v_obs,p_obs,region_id,wall_distance_star
1835,B-train-2__ip_skewed_bottom,bend,uniform_10pct,clean,9.04545,7.86719,2.09395e-07,1.4876,37.5937,0,0.4545499999999995
5303,B-train-2__ip_skewed_bottom,bend,uniform_10pct,clean,7.99043,1.28742,0.181621,0.195211,117.018,2,0.049607184679254956
7955,B-train-2__ip_skewed_bottom,bend,uniform_10pct,clean,2.9054,0.0454545,1.48754,-0.000336968,179.504,0,0.4545455
1595,B-train-2__ip_skewed_bottom,bend,uniform_10pct,clean,9.36364,8.32202,5.74672e-10,0.706611,32.1358,2,0.13636000000000004
5689,B-train-2__ip_skewed_bottom,bend,uniform_10pct,clean,7.33568,0.752438,0.400073,0.314187,126.375,2,0.09920894625204024
8786,B-train-2__ip_skewed_bottom,bend,uniform_10pct,clean,1.32591,-0.227273,1.18962,0.000224941,198.447,0,0.272727
6276,B-train-2__ip_skewed_bottom,bend,uniform_10pct,clean,6.30994,0.0633047,0.241508,0.113003,140.077,2,0.04960705190514769
1534,B-train-2__ip_skewed_bottom,bend,uniform_10pct,clean,8.95455,8.41298,1.03083e-10,1.4876,31.0442,0,0.4545499999999991
4266,B-train-2__ip_skewed_bottom,bend,uniform_10pct,clean,8.21997,3.21181,0.189114,0.446297,96.0774,2,0.08320524054945633
2103,B-train-2__ip_skewed_bottom,bend,uniform_10pct,clean,8.81818,7.33587,1.05117e-06,1.30165,43.9695,0,0.3181799999999998
747,B-train-2__ip_skewed_bottom,bend,uniform_10pct,clean,9.13636,9.95112,9.58095e-11,1.38843,12.5866,1,0.3636400000000005
679,B-train-2__ip_skewed_bottom,bend,uniform_10pct,clean,9.0,10.0731,1.88292e-11,1.5,11.1229,1,0.49999999999999967
5349,B-train-2__ip_skewed_bottom,bend,uniform_10pct,clean,7.53116,1.43095,1.06032,1.04906,119.505,1,0.47932187368080736
243,B-train-2__ip_skewed_bottom,bend,uniform_10pct,clean,8.62329,10.755,-2.05161e-11,0.648542,2.9397,2,0.12329000000000045
11,B-train-2__ip_skewed_bottom,bend,uniform_10pct,clean,8.93052,10.9602,2.99878e-12,1.47104,0.478072,1,0.43051999999999924
3975,B-train-2__ip_skewed_bottom,bend,uniform_10pct,clean,8.92491,3.71472,0.361617,1.3863,87.334,1,0.41013917808158507
7936,B-train-2__ip_skewed_bottom,bend,uniform_10pct,clean,2.99636,-0.272727,1.05409,-0.000214758,178.41,0,0.227273
8674,B-train-2__ip_skewed_bottom,bend,uniform_10pct,clean,1.53265,0.318182,0.89311,-0.000154344,195.982,0,0.18181799999999998
5584,B-train-2__ip_skewed_bottom,bend,uniform_10pct,clean,7.52387,0.841963,0.203378,0.172357,124.132,2,0.049593458257540135
6798,B-train-2__ip_skewed_bottom,bend,uniform_10pct,clean,5.22256,-0.0618711,1.17342,0.283244,152.133,1,0.2925829832233324
2863,B-train-2__ip_skewed_bottom,bend,uniform_10pct,clean,8.54545,5.86596,-1.88355e-05,0.26011,61.6054,2,0.0454500000000006
3211,B-train-2__ip_skewed_bottom,bend,uniform_10pct,clean,9.40909,5.18372,0.00136701,0.493157,69.8671,2,0.09090999999999916
7981,B-train-2__ip_skewed_bottom,bend,uniform_10pct,clean,2.84751,0.227273,1.18989,-0.000175886,180.199,0,0.272727
2035,B-train-2__ip_skewed_bottom,bend,uniform_10pct,clean,8.86364,7.47439,8.58454e-07,1.38843,42.3073,0,0.3636400000000001
9261,B-train-2__ip_skewed_bottom,bend,uniform_10pct,clean,0.418924,-0.335155,0.90507,0.0315288,209.682,0,0.16484500000000002
5094,B-train-2__ip_skewed_bottom,bend,uniform_10pct,clean,8.25094,1.5888,0.166876,0.207958,112.626,2,0.04960769085380434
3695,B-train-2__ip_skewed_bottom,bend,uniform_10pct,clean,9.17819,4.25831,0.161731,1.13117,80.5507,1,0.2689622700462184
619,B-train-2__ip_skewed_bottom,bend,uniform_10pct,clean,8.54545,10.1868,-3.69222e-11,0.26033,9.75839,2,0.045450000000000323
8905,B-train-2__ip_skewed_bottom,bend,uniform_10pct,clean,1.08609,-0.227273,1.19155,0.0029957,201.317,0,0.272727
7385,B-train-2__ip_skewed_bottom,bend,uniform_10pct,clean,4.04488,-0.255262,1.08565,0.0259585,165.838,1,0.2445463656270359
4951,B-train-2__ip_skewed_bottom,bend,uniform_10pct,clean,7.9435,2.04117,0.889931,1.1861,110.67,1,0.4300980942472128
7136,B-train-2__ip_skewed_bottom,bend,uniform_10pct,clean,4.49098,0.0034889,1.48434,0.147358,160.484,1,0.4794238843711165
9059,B-train-2__ip_skewed_bottom,bend,uniform_10pct,clean,0.775987,-0.318182,0.907029,0.00925523,205.032,0,0.18181799999999998
70,B-train-2__ip_skewed_bottom,bend,uniform_10pct,clean,9.1697,10.9385,1.77954e-11,1.32721,0.737999,1,0.3302999999999997
923,B-train-2__ip_skewed_bottom,bend,uniform_10pct,clean,8.59091,9.59966,-1.14954e-10,0.495868,16.8041,2,0.09090999999999888
4332,B-train-2__ip_skewed_bottom,bend,uniform_10pct,clean,8.57911,3.0547,0.586318,1.38016,96.1325,1,0.4751824571667722
9024,B-train-2__ip_skewed_bottom,bend,uniform_10pct,clean,0.867986,-0.0909091,1.45543,0.017572,203.95,0,0.4090909
3836,B-train-2__ip_skewed_bottom,bend,uniform_10pct,clean,8.64893,4.01,0.243968,1.14682,84.6011,1,0.2531726399216767
8854,B-train-2__ip_skewed_bottom,bend,uniform_10pct,clean,1.18843,-3.67002e-09,1.5,0.00252311,200.107,0,0.49999999632998
8995,B-train-2__ip_skewed_bottom,bend,uniform_10pct,clean,0.897963,0.363636,0.701457,0.00291868,203.64,2,0.13636399999999999
8542,B-train-2__ip_skewed_bottom,bend,uniform_10pct,clean,1.81382,-0.454545,0.260246,-8.58391e-06,192.602,2,0.04545500000000002
5728,B-train-2__ip_skewed_bottom,bend,uniform_10pct,clean,6.71934,1.25913,0.55796,0.405599,128.606,2,0.1248154982117935
7742,B-train-2__ip_skewed_bottom,bend,uniform_10pct,clean,3.3044,0.272727,1.05289,-0.000247091,174.724,0,0.227273
4263,B-train-2__ip_skewed_bottom,bend,uniform_10pct,clean,8.3722,3.24761,0.38537,0.961495,94.8999,1,0.21030822262195414
7137,B-train-2__ip_skewed_bottom,bend,uniform_10pct,clean,4.47248,0.0473538,1.49263,0.144196,160.658,1,0.4751323331921977
5534,B-train-2__ip_skewed_bottom,bend,uniform_10pct,clean,7.59927,0.907057,0.200194,0.176046,123.035,2,0.049593874384313175
5601,B-train-2__ip_skewed_bottom,bend,uniform_10pct,clean,6.95217,1.38461,0.678105,0.553714,125.231,1,0.16758530302339558
6370,B-train-2__ip_skewed_bottom,bend,uniform_10pct,clean,6.04597,0.211393,1.11029,0.474388,142.112,1,0.2926253984038176
8423,B-train-2__ip_skewed_bottom,bend,uniform_10pct,clean,1.99368,0.454545,0.260367,-4.31813e-06,190.444,2,0.04545500000000002
4080,B-train-2__ip_skewed_bottom,bend,uniform_10pct,clean,8.48851,3.57164,0.314096,0.987108,90.5075,1,0.21030087252396168
2844,B-train-2__ip_skewed_bottom,bend,uniform_10pct,clean,8.77273,5.92385,-0.000327553,1.18962,60.9114,0,0.2727299999999992
8521,B-train-2__ip_skewed_bottom,bend,uniform_10pct,clean,1.81175,0.454545,0.260416,-8.61095e-06,192.628,2,0.04545500000000002
3800,B-train-2__ip_skewed_bottom,bend,uniform_10pct,clean,9.21532,4.03802,0.164886,0.894959,82.9582,1,0.1967021370848876
1840,B-train-2__ip_skewed_bottom,bend,uniform_10pct,clean,9.09091,7.84858,2.16521e-07,1.45041,37.817,0,0.409090000000001
5510,B-train-2__ip_skewed_bottom,bend,uniform_10pct,clean,7.60038,0.974354,0.379174,0.339115,122.532,2,0.09920729321000543
6841,B-train-2__ip_skewed_bottom,bend,uniform_10pct,clean,5.17714,-0.121267,1.04556,0.240171,152.797,1,0.24518941684012852
7840,B-train-2__ip_skewed_bottom,bend,uniform_10pct,clean,3.13281,0.227273,1.18954,-0.00035388,176.778,0,0.272727
4994,B-train-2__ip_skewed_bottom,bend,uniform_10pct,clean,7.66042,2.17326,0.421683,0.546052,111.505,2,0.1248387651895504
4543,B-train-2__ip_skewed_bottom,bend,uniform_10pct,clean,8.78458,2.60233,0.32404,0.646633,99.907,2,0.14826876559556634
6642,B-train-2__ip_skewed_bottom,bend,uniform_10pct,clean,5.24997,0.480802,0.9239,0.255487,150.159,1,0.1888778576653074
1971,B-train-2__ip_skewed_bottom,bend,uniform_10pct,clean,8.54545,7.5943,1.75594e-08,0.260331,40.8684,2,0.04545000000000049
4221,B-train-2__ip_skewed_bottom,bend,uniform_10pct,clean,8.95796,3.25872,0.355513,1.01228,92.2891,1,0.24515239041130688
7754,B-train-2__ip_skewed_bottom,bend,uniform_10pct,clean,3.32714,-0.227273,1.19085,-0.000232057,174.434,0,0.272727
8098,B-train-2__ip_skewed_bottom,bend,uniform_10pct,clean,2.62216,0.272727,1.05365,-5.56866e-05,182.902,0,0.227273
2047,B-train-2__ip_skewed_bottom,bend,uniform_10pct,clean,9.36364,7.45785,2.27069e-07,0.706611,42.5058,2,0.13635999999999998
8929,B-train-2__ip_skewed_bottom,bend,uniform_10pct,clean,1.05922,-0.0909091,1.45164,0.00591154,201.651,0,0.4090909
7389,B-train-2__ip_skewed_bottom,bend,uniform_10pct,clean,3.99688,0.0565274,1.48554,0.0350852,166.4,1,0.4434726
442,B-train-2__ip_skewed_bottom,bend,uniform_10pct,clean,8.77273,10.5052,-4.53789e-11,1.19008,5.93786,1,0.2727299999999989
319,B-train-2__ip_skewed_bottom,bend,uniform_10pct,clean,9.10591,10.6616,2.89002e-11,1.4327,4.06055,1,0.3940900000000006
7208,B-train-2__ip_skewed_bottom,bend,uniform_10pct,clean,4.36367,-0.00754227,1.48761,0.112753,162.012,1,0.47926943017883605
5715,B-train-2__ip_skewed_bottom,bend,uniform_10pct,clean,7.32865,0.684112,0.211138,0.162838,126.901,2,0.04960551418119863
2359,B-train-2__ip_skewed_bottom,bend,uniform_10pct,clean,8.77273,6.8335,-3.69614e-06,1.19008,49.9981,0,0.27272999999999914
6922,B-train-2__ip_skewed_bottom,bend,uniform_10pct,clean,4.92931,-0.0516789,1.33927,0.245937,155.44,1,0.3635540706822189
9182,B-train-2__ip_skewed_bottom,bend,uniform_10pct,clean,0.5279,-0.227273,1.24371,0.0476156,208.19,0,0.272727
5132,B-train-2__ip_skewed_bottom,bend,uniform_10pct,clean,7.5927,1.95372,0.669986,0.790171,114.25,1,0.21034129638182364
4904,B-train-2__ip_skewed_bottom,bend,uniform_10pct,clean,8.0462,2.10505,0.872542,1.21954,109.31,1,0.47518541790152824
2792,B-train-2__ip_skewed_bottom,bend,uniform_10pct,clean,9.0,6.00241,-0.000436446,1.5,59.9711,0,0.49999999999999994
8782,B-train-2__ip_skewed_bottom,bend,uniform_10pct,clean,1.33418,-0.0454546,1.48752,0.000475463,198.356,0,0.4545454
3563,B-train-2__ip_skewed_bottom,bend,uniform_10pct,clean,8.77445,4.53519,0.125733,1.28064,77.8139,1,0.2970221115396159
408,B-train-2__ip_skewed_bottom,bend,uniform_10pct,clean,8.79778,10.541,-3.81582e-11,1.25465,5.50821,1,0.29777999999999916
3520,B-train-2__ip_skewed_bottom,bend,uniform_10pct,clean,8.96203,4.6384,0.113735,1.49521,76.3672,1,0.47518806487754794
6397,B-train-2__ip_skewed_bottom,bend,uniform_10pct,clean,5.95107,0.22317,1.21928,0.498012,143.075,1,0.34007955547762325
9122,B-train-2__ip_skewed_bottom,bend,uniform_10pct,clean,0.676752,-0.136364,1.4085,0.0380321,206.28,0,0.36363599999999996
5701,B-train-2__ip_skewed_bottom,bend,uniform_10pct,clean,6.87986,1.21864,0.932421,0.710126,127.266,1,0.25313339484597286
1658,B-train-2__ip_skewed_bottom,bend,uniform_10pct,clean,8.63636,8.18557,3.7276e-09,0.706611,33.7732,2,0.1363599999999996
6736,B-train-2__ip_skewed_bottom,bend,uniform_10pct,clean,5.11612,0.42384,1.00655,0.245374,151.999,1,0.21030404538815262
7961,B-train-2__ip_skewed_bottom,bend,uniform_10pct,clean,2.88266,-3.67002e-09,1.5,-0.000320028,179.776,0,0.49999999632998
6815,B-train-2__ip_skewed_bottom,bend,uniform_10pct,clean,5.2337,-0.107975,1.04278,0.251726,152.133,1,0.2451523056681273
5982,B-train-2__ip_skewed_bottom,bend,uniform_10pct,clean,6.46035,0.881924,1.10449,0.659878,134.015,1,0.29706911189280216
268,B-train-2__ip_skewed_bottom,bend,uniform_10pct,clean,8.91136,10.7064,-6.64904e-12,1.45285,3.52319,1,0.41135999999999984
8676,B-train-2__ip_skewed_bottom,bend,uniform_10pct,clean,1.53058,0.272727,1.05427,-0.000201604,196.006,0,0.227273
5655,B-train-2__ip_skewed_bottom,bend,uniform_10pct,clean,6.80041,1.37183,0.383779,0.296223,126.878,2,0.08322088896007696
9365,B-train-2__ip_skewed_bottom,bend,uniform_10pct,clean,0.34121,0.0280227,1.47771,0.124472,210.19,0,0.4719773
3678,B-train-2__ip_skewed_bottom,bend,uniform_10pct,clean,9.15883,4.2903,0.164178,1.19533,80.218,1,0.29258211213081164
3350,B-train-2__ip_skewed_bottom,bend,uniform_10pct,clean,8.87472,4.97558,0.0369311,1.41824,72.3048,1,0.37478116583708854
4298,B-train-2__ip_skewed_bottom,bend,uniform_10pct,clean,8.7868,3.13722,0.493921,1.26925,94.2932,1,0.3635222604979589
3292,B-train-2__ip_skewed_bottom,bend,uniform_10pct,clean,8.62896,5.00859,0.0101384,0.690475,71.8536,2,0.1289599999999993
75,B-train-2__ip_skewed_bottom,bend,uniform_10pct,clean,8.8576,10.9358,-2.34071e-12,1.37834,0.770521,1,0.35759999999999936
3818,B-train-2__ip_skewed_bottom,bend,uniform_10pct,clean,9.16062,4.00953,0.201919,1.0534,83.3914,1,0.24518986020427214
5796,B-train-2__ip_skewed_bottom,bend,uniform_10pct,clean,6.9902,0.736677,0.988406,0.693246,129.623,1,0.29258038541841724
5629,B-train-2__ip_skewed_bottom,bend,uniform_10pct,clean,6.80772,1.43028,0.200473,0.157684,126.329,2,0.04160681662338561
9068,B-train-2__ip_skewed_bottom,bend,uniform_10pct,clean,0.767717,0.272727,1.03717,0.0138732,205.164,0,0.227273
6889,B-train-2__ip_skewed_bottom,bend,uniform_10pct,clean,4.83724,0.408147,0.861684,0.156911,155.539,1,0.16755661896125318
3446,B-train-2__ip_skewed_bottom,bend,uniform_10pct,clean,8.7907,4.75375,0.0729588,1.28133,75.0628,1,0.2970246562322352
4427,B-train-2__ip_skewed_bottom,bend,uniform_10pct,clean,8.59999,2.87559,0.611514,1.32411,97.9906,1,0.43314438253861454
1443,B-train-2__ip_skewed_bottom,bend,uniform_10pct,clean,8.81818,8.60938,-3.51528e-09,1.30165,28.6874,1,0.3181799999999997
