sample_id,case_id,boundary_type,x_star,y_star,u_bc,v_bc,p_bc,normal_x,normal_y
0,B-train-2__ip_skewed_top,inlet,0.0,-0.5,0.0,0.0,,-1.0,0.0
1,B-train-2__ip_skewed_top,inlet,0.0,-0.49,0.03611520000000007,0.0,,-1.0,0.0
2,B-train-2__ip_skewed_top,inlet,0.0,-0.48,0.07244160000000002,0.0,,-1.0,0.0
3,B-train-2__ip_skewed_top,inlet,0.0,-0.47,0.10895040000000006,0.0,,-1.0,0.0
4,B-train-2__ip_skewed_top,inlet,0.0,-0.46,0.14561279999999993,0.0,,-1.0,0.0
5,B-train-2__ip_skewed_top,inlet,0.0,-0.45,0.18239999999999992,0.0,,-1.0,0.0
6,B-train-2__ip_skewed_top,inlet,0.0,-0.44,0.21928319999999998,0.0,,-1.0,0.0
7,B-train-2__ip_skewed_top,inlet,0.0,-0.43,0.25623360000000006,0.0,,-1.0,0.0
8,B-train-2__ip_skewed_top,inlet,0.0,-0.42,0.29322240000000005,0.0,,-1.0,0.0
9,B-train-2__ip_skewed_top,inlet,0.0,-0.41000000000000003,0.33022079999999987,0.0,,-1.0,0.0
10,B-train-2__ip_skewed_top,inlet,0.0,-0.4,0.36719999999999986,0.0,,-1.0,0.0
11,B-train-2__ip_skewed_top,inlet,0.0,-0.39,0.4041311999999999,0.0,,-1.0,0.0
12,B-train-2__ip_skewed_top,inlet,0.0,-0.38,0.4409855999999999,0.0,,-1.0,0.0
13,B-train-2__ip_skewed_top,inlet,0.0,-0.37,0.47773440000000006,0.0,,-1.0,0.0
14,B-train-2__ip_skewed_top,inlet,0.0,-0.36,0.5143488,0.0,,-1.0,0.0
15,B-train-2__ip_skewed_top,inlet,0.0,-0.35,0.5508,0.0,,-1.0,0.0
16,B-train-2__ip_skewed_top,inlet,0.0,-0.33999999999999997,0.5870592000000001,0.0,,-1.0,0.0
17,B-train-2__ip_skewed_top,inlet,0.0,-0.32999999999999996,0.6230976000000001,0.0,,-1.0,0.0
18,B-train-2__ip_skewed_top,inlet,0.0,-0.32,0.6588864,0.0,,-1.0,0.0
19,B-train-2__ip_skewed_top,inlet,0.0,-0.31,0.6943967999999999,0.0,,-1.0,0.0
20,B-train-2__ip_skewed_top,inlet,0.0,-0.3,0.7296,0.0,,-1.0,0.0
21,B-train-2__ip_skewed_top,inlet,0.0,-0.29000000000000004,0.7644672,0.0,,-1.0,0.0
22,B-train-2__ip_skewed_top,inlet,0.0,-0.28,0.7989696,0.0,,-1.0,0.0
23,B-train-2__ip_skewed_top,inlet,0.0,-0.27,0.8330783999999999,0.0,,-1.0,0.0
24,B-train-2__ip_skewed_top,inlet,0.0,-0.26,0.8667648000000001,0.0,,-1.0,0.0
25,B-train-2__ip_skewed_top,inlet,0.0,-0.25,0.9,0.0,,-1.0,0.0
26,B-train-2__ip_skewed_top,inlet,0.0,-0.24,0.9327552000000001,0.0,,-1.0,0.0
27,B-train-2__ip_skewed_top,inlet,0.0,-0.22999999999999998,0.9650016,0.0,,-1.0,0.0
28,B-train-2__ip_skewed_top,inlet,0.0,-0.21999999999999997,0.9967104000000001,0.0,,-1.0,0.0
29,B-train-2__ip_skewed_top,inlet,0.0,-0.21000000000000002,1.0278528,0.0,,-1.0,0.0
30,B-train-2__ip_skewed_top,inlet,0.0,-0.2,1.0584,0.0,,-1.0,0.0
31,B-train-2__ip_skewed_top,inlet,0.0,-0.19,1.0883232,0.0,,-1.0,0.0
32,B-train-2__ip_skewed_top,inlet,0.0,-0.18,1.1175936,0.0,,-1.0,0.0
33,B-train-2__ip_skewed_top,inlet,0.0,-0.16999999999999998,1.1461824,0.0,,-1.0,0.0
34,B-train-2__ip_skewed_top,inlet,0.0,-0.15999999999999998,1.1740608000000001,0.0,,-1.0,0.0
35,B-train-2__ip_skewed_top,inlet,0.0,-0.14999999999999997,1.2012,0.0,,-1.0,0.0
36,B-train-2__ip_skewed_top,inlet,0.0,-0.14,1.2275712,0.0,,-1.0,0.0
37,B-train-2__ip_skewed_top,inlet,0.0,-0.13,1.2531456,0.0,,-1.0,0.0
38,B-train-2__ip_skewed_top,inlet,0.0,-0.12,1.2778944,0.0,,-1.0,0.0
39,B-train-2__ip_skewed_top,inlet,0.0,-0.10999999999999999,1.3017888,0.0,,-1.0,0.0
40,B-train-2__ip_skewed_top,inlet,0.0,-0.09999999999999998,1.3248,0.0,,-1.0,0.0
41,B-train-2__ip_skewed_top,inlet,0.0,-0.08999999999999997,1.3468992000000002,0.0,,-1.0,0.0
42,B-train-2__ip_skewed_top,inlet,0.0,-0.08000000000000002,1.3680575999999998,0.0,,-1.0,0.0
43,B-train-2__ip_skewed_top,inlet,0.0,-0.07,1.3882464,0.0,,-1.0,0.0
44,B-train-2__ip_skewed_top,inlet,0.0,-0.06,1.4074368000000002,0.0,,-1.0,0.0
45,B-train-2__ip_skewed_top,inlet,0.0,-0.04999999999999999,1.4255999999999998,0.0,,-1.0,0.0
46,B-train-2__ip_skewed_top,inlet,0.0,-0.03999999999999998,1.4427072,0.0,,-1.0,0.0
47,B-train-2__ip_skewed_top,inlet,0.0,-0.02999999999999997,1.4587295999999998,0.0,,-1.0,0.0
48,B-train-2__ip_skewed_top,inlet,0.0,-0.020000000000000018,1.4736383999999998,0.0,,-1.0,0.0
49,B-train-2__ip_skewed_top,inlet,0.0,-0.010000000000000009,1.4874048,0.0,,-1.0,0.0
50,B-train-2__ip_skewed_top,inlet,0.0,0.0,1.5,0.0,,-1.0,0.0
51,B-train-2__ip_skewed_top,inlet,0.0,0.010000000000000009,1.5113952000000002,0.0,,-1.0,0.0
52,B-train-2__ip_skewed_top,inlet,0.0,0.020000000000000018,1.5215615999999998,0.0,,-1.0,0.0
53,B-train-2__ip_skewed_top,inlet,0.0,0.030000000000000027,1.5304704,0.0,,-1.0,0.0
54,B-train-2__ip_skewed_top,inlet,0.0,0.040000000000000036,1.5380928000000003,0.0,,-1.0,0.0
55,B-train-2__ip_skewed_top,inlet,0.0,0.050000000000000044,1.5444,0.0,,-1.0,0.0
56,B-train-2__ip_skewed_top,inlet,0.0,0.06000000000000005,1.5493632,0.0,,-1.0,0.0
57,B-train-2__ip_skewed_top,inlet,0.0,0.07000000000000006,1.5529536,0.0,,-1.0,0.0
58,B-train-2__ip_skewed_top,inlet,0.0,0.07999999999999996,1.5551424,0.0,,-1.0,0.0
59,B-train-2__ip_skewed_top,inlet,0.0,0.08999999999999997,1.5559008,0.0,,-1.0,0.0
60,B-train-2__ip_skewed_top,inlet,0.0,0.09999999999999998,1.5552000000000001,0.0,,-1.0,0.0
61,B-train-2__ip_skewed_top,inlet,0.0,0.10999999999999999,1.5530112,0.0,,-1.0,0.0
62,B-train-2__ip_skewed_top,inlet,0.0,0.12,1.5493056,0.0,,-1.0,0.0
63,B-train-2__ip_skewed_top,inlet,0.0,0.13,1.5440544000000003,0.0,,-1.0,0.0
64,B-train-2__ip_skewed_top,inlet,0.0,0.14,1.5372288000000003,0.0,,-1.0,0.0
65,B-train-2__ip_skewed_top,inlet,0.0,0.15000000000000002,1.5288,0.0,,-1.0,0.0
66,B-train-2__ip_skewed_top,inlet,0.0,0.16000000000000003,1.5187392000000002,0.0,,-1.0,0.0
67,B-train-2__ip_skewed_top,inlet,0.0,0.17000000000000004,1.5070176000000002,0.0,,-1.0,0.0
68,B-train-2__ip_skewed_top,inlet,0.0,0.18000000000000005,1.4936064,0.0,,-1.0,0.0
69,B-train-2__ip_skewed_top,inlet,0.0,0.19000000000000006,1.4784768,0.0,,-1.0,0.0
70,B-train-2__ip_skewed_top,inlet,0.0,0.20000000000000007,1.4616,0.0,,-1.0,0.0
71,B-train-2__ip_skewed_top,inlet,0.0,0.20999999999999996,1.4429472000000003,0.0,,-1.0,0.0
72,B-train-2__ip_skewed_top,inlet,0.0,0.21999999999999997,1.4224896,0.0,,-1.0,0.0
73,B-train-2__ip_skewed_top,inlet,0.0,0.22999999999999998,1.4001983999999998,0.0,,-1.0,0.0
74,B-train-2__ip_skewed_top,inlet,0.0,0.24,1.3760448,0.0,,-1.0,0.0
75,B-train-2__ip_skewed_top,inlet,0.0,0.25,1.3499999999999999,0.0,,-1.0,0.0
76,B-train-2__ip_skewed_top,inlet,0.0,0.26,1.3220352,0.0,,-1.0,0.0
77,B-train-2__ip_skewed_top,inlet,0.0,0.27,1.2921215999999998,0.0,,-1.0,0.0
78,B-train-2__ip_skewed_top,inlet,0.0,0.28,1.2602303999999998,0.0,,-1.0,0.0
79,B-train-2__ip_skewed_top,inlet,0.0,0.29000000000000004,1.2263328,0.0,,-1.0,0.0
80,B-train-2__ip_skewed_top,inlet,0.0,0.30000000000000004,1.1904,0.0,,-1.0,0.0
81,B-train-2__ip_skewed_top,inlet,0.0,0.31000000000000005,1.1524032,0.0,,-1.0,0.0
