sample_id,case_id,family,sampling_tag,noise_tag,x_star,y_star,u_obs,v_obs,p_obs,region_id,wall_distance_star,segment_id_raw,xi_section_star,eta_section_star,section_width_star,u_obs_mask,v_obs_mask,p_obs_mask
1152,B-train-3,bend,section_bands_4,clean,1.82012,0.363636,,,173.705,2,0.1363639999999999,0,1.82012,0.363636,0.08,0,0,1
1150,B-train-3,bend,section_bands_4,clean,1.82219,0.318182,,,173.681,0,0.1818179999999999,0,1.82219,0.318182,0.08,0,0,1
1154,B-train-3,bend,section_bands_4,clean,1.82426,0.272727,,,173.656,0,0.227273,0,1.82426,0.272727,0.08,0,0,1
1163,B-train-3,bend,section_bands_4,clean,1.8346,0.0454545,,,173.532,0,0.4545455,0,1.8346,0.0454545,0.08,0,0,1
1162,B-train-3,bend,section_bands_4,clean,1.83666,-7.3108e-09,,,173.507,0,0.4999999926892,0,1.83666,-7.3108e-09,0.08,0,0,1
1161,B-train-3,bend,section_bands_4,clean,1.83873,-0.0454546,,,173.482,0,0.4545454,0,1.83873,-0.0454546,0.08,0,0,1
1183,B-train-3,bend,section_bands_4,clean,1.8408,-0.0909091,,,173.457,0,0.4090909,0,1.8408,-0.0909091,0.08,0,0,1
1156,B-train-3,bend,section_bands_4,clean,1.8439,0.159091,,,173.42,0,0.340909,0,1.8439,0.159091,0.08,0,0,1
1158,B-train-3,bend,section_bands_4,clean,1.84493,0.113636,,,173.408,0,0.386364,0,1.84493,0.113636,0.08,0,0,1
1189,B-train-3,bend,section_bands_4,clean,1.85114,-0.318182,,,173.333,0,0.1818179999999999,0,1.85114,-0.318182,0.08,0,0,1
1194,B-train-3,bend,section_bands_4,clean,1.85527,-0.409091,,,173.284,2,0.090909,0,1.85527,-0.409091,0.08,0,0,1
1192,B-train-3,bend,section_bands_4,clean,1.85734,-0.454545,,,173.259,2,0.045455,0,1.85734,-0.454545,0.08,0,0,1
1193,B-train-3,bend,section_bands_4,clean,1.85941,-0.363636,,,173.234,2,0.1363639999999999,0,1.85941,-0.363636,0.08,0,0,1
1190,B-train-3,bend,section_bands_4,clean,1.85941,-0.272727,,,173.234,0,0.227273,0,1.85941,-0.272727,0.08,0,0,1
1188,B-train-3,bend,section_bands_4,clean,1.85941,-0.227273,,,173.234,0,0.272727,0,1.85941,-0.227273,0.08,0,0,1
1187,B-train-3,bend,section_bands_4,clean,1.85941,-0.181818,,,173.234,0,0.3181819999999999,0,1.85941,-0.181818,0.08,0,0,1
1182,B-train-3,bend,section_bands_4,clean,1.85941,-0.136364,,,173.234,0,0.3636359999999999,0,1.85941,-0.136364,0.08,0,0,1
1177,B-train-3,bend,section_bands_4,clean,1.85941,0.227273,,,173.234,0,0.272727,0,1.85941,0.227273,0.08,0,0,1
1178,B-train-3,bend,section_bands_4,clean,1.85941,0.272727,,,173.234,0,0.227273,0,1.85941,0.272727,0.08,0,0,1
1175,B-train-3,bend,section_bands_4,clean,1.85941,0.318182,,,173.234,0,0.1818179999999999,0,1.85941,0.318182,0.08,0,0,1
1176,B-train-3,bend,section_bands_4,clean,1.85941,0.363636,,,173.234,2,0.1363639999999999,0,1.85941,0.363636,0.08,0,0,1
1173,B-train-3,bend,section_bands_4,clean,1.86147,0.454545,,,173.209,2,0.045455,0,1.86147,0.454545,0.08,0,0,1
1174,B-train-3,bend,section_bands_4,clean,1.86354,0.409091,,,173.184,2,0.090909,0,1.86354,0.409091,0.08,0,0,1
1184,B-train-3,bend,section_bands_4,clean,1.87285,-0.0681818,,,173.073,0,0.4318182,0,1.87285,-0.0681818,0.08,0,0,1
1179,B-train-3,bend,section_bands_4,clean,1.87388,0.181818,,,173.06,0,0.3181819999999999,0,1.87388,0.181818,0.08,0,0,1
1180,B-train-3,bend,section_bands_4,clean,1.87595,0.136364,,,173.036,0,0.3636359999999999,0,1.87595,0.136364,0.08,0,0,1
1181,B-train-3,bend,section_bands_4,clean,1.87801,0.0909091,,,173.011,0,0.4090909,0,1.87801,0.0909091,0.08,0,0,1
1186,B-train-3,bend,section_bands_4,clean,1.88008,0.0454545,,,172.986,0,0.4545455,0,1.88008,0.0454545,0.08,0,0,1
1185,B-train-3,bend,section_bands_4,clean,1.88215,-7.3108e-09,,,172.961,0,0.4999999926892,0,1.88215,-7.3108e-09,0.08,0,0,1
1214,B-train-3,bend,section_bands_4,clean,1.89662,-0.318182,,,172.788,0,0.1818179999999999,0,1.89662,-0.318182,0.08,0,0,1
1215,B-train-3,bend,section_bands_4,clean,1.89869,-0.363636,,,172.763,2,0.1363639999999999,0,1.89869,-0.363636,0.08,0,0,1
1218,B-train-3,bend,section_bands_4,clean,1.90076,-0.409091,,,172.738,2,0.090909,0,1.90076,-0.409091,0.08,0,0,1
1217,B-train-3,bend,section_bands_4,clean,1.90282,-0.454545,,,172.713,2,0.045455,0,1.90282,-0.454545,0.08,0,0,1
1213,B-train-3,bend,section_bands_4,clean,1.90489,-0.272727,,,172.688,0,0.227273,0,1.90489,-0.272727,0.08,0,0,1
1212,B-train-3,bend,section_bands_4,clean,1.90489,-0.227273,,,172.688,0,0.272727,0,1.90489,-0.227273,0.08,0,0,1
1211,B-train-3,bend,section_bands_4,clean,1.90489,-0.181818,,,172.688,0,0.3181819999999999,0,1.90489,-0.181818,0.08,0,0,1
