sample_id,case_id,boundary_type,x_star,y_star,u_bc,v_bc,p_bc,normal_x,normal_y
0,B-train-3__ip_blunted,inlet,0.0,-0.5,0.0,0.0,,-1.0,0.0
1,B-train-3__ip_blunted,inlet,0.0,-0.49,0.09703980000000015,0.0,,-1.0,0.0
2,B-train-3__ip_blunted,inlet,0.0,-0.48,0.18831680000000017,0.0,,-1.0,0.0
3,B-train-3__ip_blunted,inlet,0.0,-0.47,0.2740638000000002,0.0,,-1.0,0.0
4,B-train-3__ip_blunted,inlet,0.0,-0.46,0.3545087999999999,0.0,,-1.0,0.0
5,B-train-3__ip_blunted,inlet,0.0,-0.45,0.429875,0.0,,-1.0,0.0
6,B-train-3__ip_blunted,inlet,0.0,-0.44,0.5003808,0.0,,-1.0,0.0
7,B-train-3__ip_blunted,inlet,0.0,-0.43,0.5662398000000001,0.0,,-1.0,0.0
8,B-train-3__ip_blunted,inlet,0.0,-0.42,0.6276608,0.0,,-1.0,0.0
9,B-train-3__ip_blunted,inlet,0.0,-0.41000000000000003,0.6848477999999998,0.0,,-1.0,0.0
10,B-train-3__ip_blunted,inlet,0.0,-0.4,0.7379999999999999,0.0,,-1.0,0.0
11,B-train-3__ip_blunted,inlet,0.0,-0.39,0.7873117999999999,0.0,,-1.0,0.0
12,B-train-3__ip_blunted,inlet,0.0,-0.38,0.8329728000000001,0.0,,-1.0,0.0
13,B-train-3__ip_blunted,inlet,0.0,-0.37,0.8751678,0.0,,-1.0,0.0
14,B-train-3__ip_blunted,inlet,0.0,-0.36,0.9140768,0.0,,-1.0,0.0
15,B-train-3__ip_blunted,inlet,0.0,-0.35,0.949875,0.0,,-1.0,0.0
16,B-train-3__ip_blunted,inlet,0.0,-0.33999999999999997,0.9827328000000002,0.0,,-1.0,0.0
17,B-train-3__ip_blunted,inlet,0.0,-0.32999999999999996,1.0128158,0.0,,-1.0,0.0
18,B-train-3__ip_blunted,inlet,0.0,-0.32,1.0402848,0.0,,-1.0,0.0
19,B-train-3__ip_blunted,inlet,0.0,-0.31,1.0652958,0.0,,-1.0,0.0
20,B-train-3__ip_blunted,inlet,0.0,-0.3,1.088,0.0,,-1.0,0.0
21,B-train-3__ip_blunted,inlet,0.0,-0.29000000000000004,1.1085437999999999,0.0,,-1.0,0.0
22,B-train-3__ip_blunted,inlet,0.0,-0.28,1.1270688,0.0,,-1.0,0.0
23,B-train-3__ip_blunted,inlet,0.0,-0.27,1.1437118,0.0,,-1.0,0.0
24,B-train-3__ip_blunted,inlet,0.0,-0.26,1.1586048,0.0,,-1.0,0.0
25,B-train-3__ip_blunted,inlet,0.0,-0.25,1.171875,0.0,,-1.0,0.0
26,B-train-3__ip_blunted,inlet,0.0,-0.24,1.1836448,0.0,,-1.0,0.0
27,B-train-3__ip_blunted,inlet,0.0,-0.22999999999999998,1.1940317999999999,0.0,,-1.0,0.0
28,B-train-3__ip_blunted,inlet,0.0,-0.21999999999999997,1.2031488,0.0,,-1.0,0.0
29,B-train-3__ip_blunted,inlet,0.0,-0.21000000000000002,1.2111038,0.0,,-1.0,0.0
30,B-train-3__ip_blunted,inlet,0.0,-0.2,1.218,0.0,,-1.0,0.0
31,B-train-3__ip_blunted,inlet,0.0,-0.19,1.2239358,0.0,,-1.0,0.0
32,B-train-3__ip_blunted,inlet,0.0,-0.18,1.2290048,0.0,,-1.0,0.0
33,B-train-3__ip_blunted,inlet,0.0,-0.16999999999999998,1.2332958,0.0,,-1.0,0.0
34,B-train-3__ip_blunted,inlet,0.0,-0.15999999999999998,1.2368928,0.0,,-1.0,0.0
35,B-train-3__ip_blunted,inlet,0.0,-0.14999999999999997,1.239875,0.0,,-1.0,0.0
36,B-train-3__ip_blunted,inlet,0.0,-0.14,1.2423168,0.0,,-1.0,0.0
37,B-train-3__ip_blunted,inlet,0.0,-0.13,1.2442878,0.0,,-1.0,0.0
38,B-train-3__ip_blunted,inlet,0.0,-0.12,1.2458528,0.0,,-1.0,0.0
39,B-train-3__ip_blunted,inlet,0.0,-0.10999999999999999,1.2470718,0.0,,-1.0,0.0
40,B-train-3__ip_blunted,inlet,0.0,-0.09999999999999998,1.248,0.0,,-1.0,0.0
41,B-train-3__ip_blunted,inlet,0.0,-0.08999999999999997,1.2486878,0.0,,-1.0,0.0
42,B-train-3__ip_blunted,inlet,0.0,-0.08000000000000002,1.2491808,0.0,,-1.0,0.0
43,B-train-3__ip_blunted,inlet,0.0,-0.07,1.2495198,0.0,,-1.0,0.0
44,B-train-3__ip_blunted,inlet,0.0,-0.06,1.2497408,0.0,,-1.0,0.0
45,B-train-3__ip_blunted,inlet,0.0,-0.04999999999999999,1.249875,0.0,,-1.0,0.0
46,B-train-3__ip_blunted,inlet,0.0,-0.03999999999999998,1.2499488,0.0,,-1.0,0.0
47,B-train-3__ip_blunted,inlet,0.0,-0.02999999999999997,1.2499838,0.0,,-1.0,0.0
48,B-train-3__ip_blunted,inlet,0.0,-0.020000000000000018,1.2499968,0.0,,-1.0,0.0
49,B-train-3__ip_blunted,inlet,0.0,-0.010000000000000009,1.2499997999999999,0.0,,-1.0,0.0
50,B-train-3__ip_blunted,inlet,0.0,0.0,1.25,0.0,,-1.0,0.0
51,B-train-3__ip_blunted,inlet,0.0,0.010000000000000009,1.2499997999999999,0.0,,-1.0,0.0
52,B-train-3__ip_blunted,inlet,0.0,0.020000000000000018,1.2499968,0.0,,-1.0,0.0
53,B-train-3__ip_blunted,inlet,0.0,0.030000000000000027,1.2499838,0.0,,-1.0,0.0
54,B-train-3__ip_blunted,inlet,0.0,0.040000000000000036,1.2499488,0.0,,-1.0,0.0
55,B-train-3__ip_blunted,inlet,0.0,0.050000000000000044,1.249875,0.0,,-1.0,0.0
56,B-train-3__ip_blunted,inlet,0.0,0.06000000000000005,1.2497408,0.0,,-1.0,0.0
57,B-train-3__ip_blunted,inlet,0.0,0.07000000000000006,1.2495198,0.0,,-1.0,0.0
58,B-train-3__ip_blunted,inlet,0.0,0.07999999999999996,1.2491808,0.0,,-1.0,0.0
59,B-train-3__ip_blunted,inlet,0.0,0.08999999999999997,1.2486878,0.0,,-1.0,0.0
60,B-train-3__ip_blunted,inlet,0.0,0.09999999999999998,1.248,0.0,,-1.0,0.0
61,B-train-3__ip_blunted,inlet,0.0,0.10999999999999999,1.2470718,0.0,,-1.0,0.0
62,B-train-3__ip_blunted,inlet,0.0,0.12,1.2458528,0.0,,-1.0,0.0
63,B-train-3__ip_blunted,inlet,0.0,0.13,1.2442878,0.0,,-1.0,0.0
64,B-train-3__ip_blunted,inlet,0.0,0.14,1.2423168,0.0,,-1.0,0.0
65,B-train-3__ip_blunted,inlet,0.0,0.15000000000000002,1.239875,0.0,,-1.0,0.0
66,B-train-3__ip_blunted,inlet,0.0,0.16000000000000003,1.2368928,0.0,,-1.0,0.0
67,B-train-3__ip_blunted,inlet,0.0,0.17000000000000004,1.2332958,0.0,,-1.0,0.0
68,B-train-3__ip_blunted,inlet,0.0,0.18000000000000005,1.2290048,0.0,,-1.0,0.0
69,B-train-3__ip_blunted,inlet,0.0,0.19000000000000006,1.2239358,0.0,,-1.0,0.0
70,B-train-3__ip_blunted,inlet,0.0,0.20000000000000007,1.218,0.0,,-1.0,0.0
71,B-train-3__ip_blunted,inlet,0.0,0.20999999999999996,1.2111038,0.0,,-1.0,0.0
72,B-train-3__ip_blunted,inlet,0.0,0.21999999999999997,1.2031488,0.0,,-1.0,0.0
73,B-train-3__ip_blunted,inlet,0.0,0.22999999999999998,1.1940317999999999,0.0,,-1.0,0.0
74,B-train-3__ip_blunted,inlet,0.0,0.24,1.1836448,0.0,,-1.0,0.0
75,B-train-3__ip_blunted,inlet,0.0,0.25,1.171875,0.0,,-1.0,0.0
76,B-train-3__ip_blunted,inlet,0.0,0.26,1.1586048,0.0,,-1.0,0.0
77,B-train-3__ip_blunted,inlet,0.0,0.27,1.1437118,0.0,,-1.0,0.0
78,B-train-3__ip_blunted,inlet,0.0,0.28,1.1270688,0.0,,-1.0,0.0
79,B-train-3__ip_blunted,inlet,0.0,0.29000000000000004,1.1085437999999999,0.0,,-1.0,0.0
80,B-train-3__ip_blunted,inlet,0.0,0.30000000000000004,1.0879999999999999,0.0,,-1.0,0.0
81,B-train-3__ip_blunted,inlet,0.0,0.31000000000000005,1.0652958,0.0,,-1.0,0.0
82,B-train-3__ip_blunted,inlet,0.0,0.32000000000000006,1.0402847999999998,0.0,,-1.0,0.0
83,B-train-3__ip_blunted,inlet,0.0,0.33000000000000007,1.0128157999999998,0.0,,-1.0,0.0
84,B-train-3__ip_blunted,inlet,0.0,0.33999999999999997,0.9827328000000002,0.0,,-1.0,0.0
85,B-train-3__ip_blunted,inlet,0.0,0.35,0.949875,0.0,,-1.0,0.0
86,B-train-3__ip_blunted,inlet,0.0,0.36,0.9140768,0.0,,-1.0,0.0
87,B-train-3__ip_blunted,inlet,0.0,0.37,0.8751678,0.0,,-1.0,0.0
88,B-train-3__ip_blunted,inlet,0.0,0.38,0.8329728000000001,0.0,,-1.0,0.0
89,B-train-3__ip_blunted,inlet,0.0,0.39,0.7873117999999999,0.0,,-1.0,0.0
90,B-train-3__ip_blunted,inlet,0.0,0.4,0.7379999999999999,0.0,,-1.0,0.0
91,B-train-3__ip_blunted,inlet,0.0,0.41000000000000003,0.6848477999999998,0.0,,-1.0,0.0
92,B-train-3__ip_blunted,inlet,0.0,0.42000000000000004,0.6276607999999997,0.0,,-1.0,0.0
93,B-train-3__ip_blunted,inlet,0.0,0.43000000000000005,0.5662397999999997,0.0,,-1.0,0.0
94,B-train-3__ip_blunted,inlet,0.0,0.44000000000000006,0.5003807999999996,0.0,,-1.0,0.0
95,B-train-3__ip_blunted,inlet,0.0,0.45000000000000007,0.42987499999999956,0.0,,-1.0,0.0
96,B-train-3__ip_blunted,inlet,0.0,0.45999999999999996,0.3545088000000003,0.0,,-1.0,0.0
97,B-train-3__ip_blunted,inlet,0.0,0.47,0.2740638000000002,0.0,,-1.0,0.0
98,B-train-3__ip_blunted,inlet,0.0,0.48,0.18831680000000017,0.0,,-1.0,0.0
99,B-train-3__ip_blunted,inlet,0.0,0.49,0.09703980000000015,0.0,,-1.0,0.0
100,B-train-3__ip_blunted,inlet,0.0,0.5,0.0,0.0,,-1.0,0.0
101,B-train-3__ip_blunted,wall,0.0,0.5,0.0,0.0,,0.0,1.0
