sample_id,case_id,family,sampling_tag,noise_tag,x_star,y_star,u_obs,v_obs,p_obs,region_id,wall_distance_star,u_obs_mask,v_obs_mask,p_obs_mask
5189,B-train-3__ip_blunted,bend,region_aware_5pct,clean,7.9793,2.98296,,,84.0327,1,0.3927869727027797,0,0,1
4314,B-train-3__ip_blunted,bend,region_aware_5pct,clean,7.36295,1.40113,,,103.642,1,0.2498755336578675,0,0,1
5678,B-train-3__ip_blunted,bend,region_aware_5pct,clean,8.29835,3.90362,,,73.1232,1,0.2005695927367314,0,0,1
3303,B-train-3__ip_blunted,bend,region_aware_5pct,clean,5.60994,0.708552,,,125.67,1,0.1640874362252873,0,0,1
2723,B-train-3__ip_blunted,bend,region_aware_5pct,clean,4.71524,0.0500209,,,138.934,1,0.4857873564001602,0,0,1
5186,B-train-3__ip_blunted,bend,region_aware_5pct,clean,8.07433,2.97092,,,83.8963,1,0.2977184059965712,0,0,1
4710,B-train-3__ip_blunted,bend,region_aware_5pct,clean,7.88644,2.04898,,,94.3736,1,0.1513341225152737,0,0,1
8105,B-train-3__ip_blunted,bend,region_aware_5pct,clean,7.68182,8.45899,,,18.4921,1,0.1818199999999998,0,0,1
4624,B-train-3__ip_blunted,bend,region_aware_5pct,clean,7.73999,1.92986,,,96.3117,1,0.2253064648211333,0,0,1
2548,B-train-3__ip_blunted,bend,region_aware_5pct,clean,4.4034,0.0515658,,,142.655,1,0.4689878044319613,0,0,1
8064,B-train-3__ip_blunted,bend,region_aware_5pct,clean,8.22727,8.36802,,,19.5838,1,0.2727299999999995,0,0,1
2383,B-train-3__ip_blunted,bend,region_aware_5pct,clean,4.09279,-0.201309,,,146.464,1,0.2976664461776712,0,0,1
4377,B-train-3__ip_blunted,bend,region_aware_5pct,clean,6.99592,1.85432,,,101.89,1,0.1850345057814588,0,0,1
2547,B-train-3__ip_blunted,bend,region_aware_5pct,clean,4.40684,0.230309,,,142.401,1,0.2915813351530518,0,0,1
3412,B-train-3__ip_blunted,bend,region_aware_5pct,clean,5.86269,0.546342,,,123.761,1,0.4239479630932923,0,0,1
3859,B-train-3__ip_blunted,bend,region_aware_5pct,clean,6.81513,0.685502,,,113.683,1,0.1513388371932222,0,0,1
7988,B-train-3__ip_blunted,bend,region_aware_5pct,clean,8.27273,8.2419,,,21.0972,1,0.227270000000001,0,0,1
