sample_id,case_id,family,sampling_tag,noise_tag,x_star,y_star,u_obs,v_obs,p_obs,region_id,wall_distance_star
5189,B-train-3__ip_skewed_top,bend,region_aware_5pct,clean,7.9793,2.98296,0.346995,1.35962,84.0327,1,0.39278697270277974
4314,B-train-3__ip_skewed_top,bend,region_aware_5pct,clean,7.36295,1.40113,0.659288,0.85312,103.642,1,0.24987553365786752
5678,B-train-3__ip_skewed_top,bend,region_aware_5pct,clean,8.29835,3.90362,0.0325905,0.928102,73.1232,1,0.20056959273673147
3303,B-train-3__ip_skewed_top,bend,region_aware_5pct,clean,5.60994,0.708552,0.782563,0.38277,125.67,1,0.16408743622528732
2723,B-train-3__ip_skewed_top,bend,region_aware_5pct,clean,4.71524,0.0500209,1.4686,0.265428,138.934,1,0.48578735640016024
5186,B-train-3__ip_skewed_top,bend,region_aware_5pct,clean,8.07433,2.97092,0.296283,1.17453,83.8963,1,0.2977184059965712
4710,B-train-3__ip_skewed_top,bend,region_aware_5pct,clean,7.88644,2.04898,0.326423,0.650246,94.3736,1,0.15133412251527378
8105,B-train-3__ip_skewed_top,bend,region_aware_5pct,clean,7.68182,8.45899,-2.39722e-10,0.892562,18.4921,1,0.18181999999999982
4624,B-train-3__ip_skewed_top,bend,region_aware_5pct,clean,7.73999,1.92986,0.48437,0.875081,96.3117,1,0.22530646482113337
2548,B-train-3__ip_skewed_top,bend,region_aware_5pct,clean,4.4034,0.0515658,1.4911,0.1566,142.655,1,0.4689878044319613
8064,B-train-3__ip_skewed_top,bend,region_aware_5pct,clean,8.22727,8.36802,-6.26722e-11,1.19008,19.5838,1,0.27272999999999953
2383,B-train-3__ip_skewed_top,bend,region_aware_5pct,clean,4.09279,-0.201309,1.22417,0.0473048,146.464,1,0.29766644617767124
4377,B-train-3__ip_skewed_top,bend,region_aware_5pct,clean,6.99592,1.85432,0.555546,0.775683,101.89,1,0.18503450578145886
2547,B-train-3__ip_skewed_top,bend,region_aware_5pct,clean,4.40684,0.230309,1.27437,0.139925,142.401,1,0.29158133515305185
3412,B-train-3__ip_skewed_top,bend,region_aware_5pct,clean,5.86269,0.546342,1.30392,0.703246,123.761,1,0.4239479630932923
3859,B-train-3__ip_skewed_top,bend,region_aware_5pct,clean,6.81513,0.685502,0.554553,0.470998,113.683,1,0.15133883719322228
7988,B-train-3__ip_skewed_top,bend,region_aware_5pct,clean,8.27273,8.2419,-1.61657e-10,1.05372,21.0972,1,0.22727000000000103
4755,B-train-3__ip_skewed_top,bend,region_aware_5pct,clean,7.63869,2.22371,0.645223,1.32175,93.8401,1,0.45089255758753577
4777,B-train-3__ip_skewed_top,bend,region_aware_5pct,clean,7.75778,2.22841,0.563175,1.19459,93.1849,1,0.3455515821591906
2402,B-train-3__ip_skewed_top,bend,region_aware_5pct,clean,4.14036,0.112108,1.44499,0.0739444,145.819,1,0.3904248011321334
3051,B-train-3__ip_skewed_top,bend,region_aware_5pct,clean,5.28104,0.195544,1.41449,0.476064,131.929,1,0.4856570976639283
8156,B-train-3__ip_skewed_top,bend,region_aware_5pct,clean,7.77273,8.58304,-2.01247e-10,1.19008,17.0035,1,0.27272999999999986
4191,B-train-3__ip_skewed_top,bend,region_aware_5pct,clean,7.24019,1.174,0.601599,0.689769,106.494,1,0.20056896367670518
4163,B-train-3__ip_skewed_top,bend,region_aware_5pct,clean,7.07474,1.277,0.93056,1.05076,106.858,1,0.39284099801334715
3332,B-train-3__ip_skewed_top,bend,region_aware_5pct,clean,5.7812,0.402464,1.33752,0.662219,125.439,1,0.4856583713769451
