sample_id,case_id,family,sampling_tag,noise_tag,x_star,y_star,u_obs,v_obs,p_obs,region_id,wall_distance_star
4074,B-train-3__ip_skewed_top,bend,uniform_1pct,clean,6.55961,1.5536,0.1754,0.183521,108.686,2,0.04068867765862727
9063,B-train-3__ip_skewed_top,bend,uniform_1pct,clean,8.36615,9.92924,1.44361e-11,0.695602,0.849079,2,0.13385000000000108
480,B-train-3__ip_skewed_top,bend,uniform_1pct,clean,0.540336,-0.181818,1.25591,-0.0551244,188.932,0,0.31818199999999996
3995,B-train-3__ip_skewed_top,bend,uniform_1pct,clean,6.49998,1.43558,0.345235,0.336556,110.385,2,0.08136146413622969
989,B-train-3__ip_skewed_top,bend,uniform_1pct,clean,1.48312,-0.227273,1.19063,0.000204476,177.755,0,0.272727
6245,B-train-3__ip_skewed_top,bend,uniform_1pct,clean,8.31818,4.95663,-0.000217065,0.893084,60.5232,0,0.18182000000000015
8938,B-train-3__ip_skewed_top,bend,uniform_1pct,clean,8.46833,9.71939,1.05602e-11,0.184029,3.36733,2,0.03167000000000042
446,B-train-3__ip_skewed_top,bend,uniform_1pct,clean,0.494851,0.181818,1.35691,-0.0639206,189.789,0,0.31818199999999996
561,B-train-3__ip_skewed_top,bend,uniform_1pct,clean,0.6954,-0.295455,0.952226,-0.0162933,187.193,0,0.20454499999999998
3695,B-train-3__ip_skewed_top,bend,uniform_1pct,clean,6.32471,0.783076,1.21518,0.878149,117.452,1,0.46898936832488847
5927,B-train-3__ip_skewed_top,bend,uniform_1pct,clean,7.86364,4.40254,0.00355089,1.38892,67.155,0,0.3636400000000002
1761,B-train-3__ip_skewed_top,bend,uniform_1pct,clean,2.95105,-0.136364,1.3887,-0.00041773,160.133,0,0.36363599999999996
138,B-train-3__ip_skewed_top,bend,uniform_1pct,clean,0.134127,-0.207308,1.06269,-0.0887256,192.493,0,0.292692
6719,B-train-3__ip_skewed_top,bend,uniform_1pct,clean,8.04545,5.84152,-8.1622e-06,1.4876,49.9017,0,0.45454999999999945
7742,B-train-3__ip_skewed_top,bend,uniform_1pct,clean,8.0,7.79945,-4.21152e-09,1.5,26.4065,1,0.4999999999999998
5178,B-train-3__ip_skewed_top,bend,uniform_1pct,clean,8.04373,2.9482,0.319118,1.22837,84.2363,1,0.3217185885941092
2810,B-train-3__ip_skewed_top,bend,uniform_1pct,clean,4.91166,-0.0776163,1.23847,0.276394,136.969,1,0.3217134318448567
6769,B-train-3__ip_skewed_top,bend,uniform_1pct,clean,8.09091,5.93043,-2.61555e-06,1.45041,48.8349,0,0.40909000000000095
7506,B-train-3__ip_skewed_top,bend,uniform_1pct,clean,8.13636,7.3384,5.21631e-09,1.38843,31.9392,0,0.3636400000000004
1186,B-train-3__ip_skewed_top,bend,uniform_1pct,clean,1.88008,0.0454545,1.48756,0.000244809,172.986,0,0.4545455
7134,B-train-3__ip_skewed_top,bend,uniform_1pct,clean,8.0,6.61684,7.89371e-07,1.5,40.5979,0,0.49999999999999983
3988,B-train-3__ip_skewed_top,bend,uniform_1pct,clean,6.97534,0.896435,0.660791,0.633485,110.788,1,0.2006089006901215
214,B-train-3__ip_skewed_top,bend,uniform_1pct,clean,0.22224,0.275173,1.20835,-0.071005,194.017,0,0.224827
4599,B-train-3__ip_skewed_top,bend,uniform_1pct,clean,7.81133,1.80423,0.2557,0.443843,97.1361,2,0.10140451259723182
6937,B-train-3__ip_skewed_top,bend,uniform_1pct,clean,7.86364,6.2757,1.61151e-06,1.38843,44.6916,0,0.3636400000000001
301,B-train-3__ip_skewed_top,bend,uniform_1pct,clean,0.19114,-0.380584,0.488118,-0.0269364,191.82,2,0.11941600000000002
