x_star,y_star,u_star,v_star,p_star,bc_tag
0,-0.341299,0.801089,-1.26562e-39,985.253,1
0,-0.417144,0.455948,-1.34153e-39,985.253,1
0,-0.391862,0.578665,-1.31636e-39,985.253,1
0,-0.316018,0.900796,-1.22116e-39,985.253,1
0.0222217,-0.332971,0.834784,-2.95462e-09,984.986,0
0,-0.366581,0.693712,-1.30738e-39,985.253,1
0,-0.290736,0.992834,-1.16405e-39,985.253,1
0.018749,-0.283689,1.01712,-2.35126e-09,985.028,0
0.0222711,-0.38607,0.605702,-3.0012e-09,984.986,0
0,-0.442425,0.325561,-1.26242e-39,985.253,1
0.02228,-0.415322,0.465044,-2.97076e-09,984.986,0
0.0412241,-0.305548,0.939844,-4.8259e-09,984.758,0
0.0496715,-0.333837,0.831315,-5.69221e-09,984.657,0
0.0394412,-0.363612,0.706718,-4.79456e-09,984.78,0
0,-0.265455,1.0772,-1.09593e-39,985.253,1
0.018749,-0.260373,1.09323,-2.22467e-09,985.028,0
0.0679404,-0.273614,1.05081,-6.67343e-09,984.438,0
0.0420404,-0.251229,1.12131,-4.41316e-09,984.749,0
0,-0.5,-5.23363e-30,-1.13747e-29,985.253,1
0,-0.467706,0.187504,-1e-39,985.253,1
0.0528446,-0.412824,0.477459,-5.31636e-09,984.619,0
0.0246673,-0.446649,0.303027,-2.64717e-09,984.957,0
0.0977541,-0.299383,0.962219,-8.58244e-09,984.08,0
0.100481,-0.333682,0.831937,-8.69903e-09,984.047,0
0.0835877,-0.379786,0.634575,-7.38781e-09,984.25,0
0,-0.240174,1.1539,-1.01801e-39,985.253,1
0.0195509,-0.23179,1.17764,-2.12854e-09,985.018,0
0.0977541,-0.263804,1.08244,-8.23421e-09,984.08,0
0.0853321,-0.232422,1.17588,-7.0834e-09,984.229,0
0.0420404,-0.20711,1.24263,-3.84034e-09,984.749,0
0.0692696,-0.5,1.52466e-31,-2.50151e-29,984.422,3
0.0948218,-0.449557,0.28739,-4.44824e-09,984.115,0
0.132113,-0.298768,0.964425,-9.78202e-09,983.668,0
0.140864,-0.337222,0.817687,-9.74697e-09,983.563,0
0.139183,-0.400817,0.536072,-7.72536e-09,983.583,0
0,-0.214892,1.22293,-9.32209e-40,985.253,1
0.0195509,-0.208007,1.2404,-1.95655e-09,985.018,0
0.127768,-0.24923,1.12731,-9.1576e-09,983.72,0
0.0195509,-0.184224,1.29637,-1.76873e-09,985.018,0
0.0425103,-0.175707,1.31476,-3.38707e-09,984.743,0
0.0677186,-0.176255,1.31361,-4.90798e-09,984.44,0
0.0960116,-0.202362,1.2543,-6.92063e-09,984.101,0
0.163445,-0.264588,1.07996,-1.02136e-08,983.292,0
0.207467,-0.257723,1.10147,-1.06215e-08,982.763,0
0.152466,-0.5,1.71895e-31,-2.81742e-29,983.423,3
0.177246,-0.444537,0.314323,-4.95292e-09,983.126,0
0.203425,-0.301479,0.954662,-1.07484e-08,982.812,0
0.18461,-0.341057,0.802081,-1.01255e-08,983.038,0
0.217131,-0.385283,0.609343,-8.60593e-09,982.647,0
0,-0.189611,1.28429,-8.39964e-40,985.253,1
0.145074,-0.214597,1.22369,-8.87547e-09,983.512,0
0,-0.164329,1.33798,-7.40238e-40,985.253,1
0.0200249,-0.156317,1.35339,-1.56634e-09,985.013,0
0.0611406,-0.148596,1.36752,-3.92276e-09,984.519,0
0.113942,-0.150283,1.36449,-6.02934e-09,983.886,0
0.0862093,-0.133094,1.39372,-4.56013e-09,984.219,0
0.143376,-0.168527,1.32959,-7.42414e-09,983.533,0
0.21135,-0.215699,1.22084,-9.85838e-09,982.717,0
0.250192,-0.265828,1.07601,-1.08147e-08,982.251,0
0.241165,-0.5,1.77398e-31,-2.90447e-29,982.359,3
0.269542,-0.447863,0.296512,-4.58021e-09,982.019,0
0.260314,-0.344416,0.788267,-1.00415e-08,982.129,0
0.298634,-0.389335,0.590512,-8.19474e-09,981.669,0
0.175817,-0.18156,1.30222,-8.45916e-09,983.143,0
0,-0.139048,1.38399,-6.35622e-40,985.253,1
0.0200249,-0.132245,1.39507,-1.34329e-09,985.013,0
0.0395564,-0.119502,1.41432,-2.25102e-09,984.778,0
0.0611406,-0.105419,1.43332,-2.86067e-09,984.519,0
0.143376,-0.132256,1.39505,-6.05253e-09,983.533,0
0.113776,-0.121953,1.41076,-5.00341e-09,983.888,0
0.08671,-0.0959487,1.44476,-3.37772e-09,984.213,0
0.226452,-0.174655,1.31697,-8.67482e-09,982.536,0
0.187295,-0.132752,1.39426,-6.69598e-09,983.005,0
0.292755,-0.3046,0.943313,-1.06707e-08,981.74,0
0.271055,-0.199692,1.26074,-9.58497e-09,982,0
0.304043,-0.238708,1.15811,-1.04019e-08,981.605,0
0.329863,-0.5,1.77398e-31,-2.90133e-29,981.295,3
0.360181,-0.442602,0.324621,-4.86423e-09,980.931,0
0.339331,-0.338659,0.811862,-9.89144e-09,981.181,0
0.390329,-0.393483,0.571024,-7.73596e-09,980.569,0
0,-0.113766,1.42234,-5.26837e-40,985.253,1
0.0182799,-0.106457,1.432,-1.00624e-09,985.034,0
0.0394364,-0.0738458,1.46728,-1.41664e-09,984.78,0
0.0740878,-0.0724793,1.46848,-2.30648e-09,984.364,0
0.143376,-0.0918777,1.44935,-4.33388e-09,983.533,0
0.104514,-0.0745633,1.46664,-2.99259e-09,983.999,0
0.236837,-0.133311,1.39337,-7.03899e-09,982.411,0
0.187319,-0.0894018,1.45204,-4.67403e-09,983.005,0
0.292727,-0.133942,1.39236,-7.12571e-09,981.74,0
0.355854,-0.281853,1.02335,-1.05163e-08,980.983,0
0.36425,-0.208387,1.23945,-9.55962e-09,980.882,0
0.349224,-0.157914,1.35038,-8.00467e-09,981.062,0
0.418562,-0.5,1.77398e-31,-2.89818e-29,980.23,3
0.446145,-0.444328,0.315437,-4.66571e-09,979.899,0
0.425193,-0.329106,0.850134,-9.76388e-09,980.151,0
0.157554,-0.062322,1.4767,-3.10933e-09,983.362,0
0,-0.088485,1.45302,-4.12942e-40,985.253,1
0.0182799,-0.0822798,1.45938,-7.84735e-10,985.034,0
0.0182799,-0.0581025,1.47974,-5.5767e-10,985.034,0
0.0394364,-0.0505298,1.48468,-9.73981e-10,984.78,0
0.0620158,-0.0500327,1.48498,-1.40109e-09,984.509,0
0.0911086,-0.0508999,1.48446,-1.88455e-09,984.16,0
0.123413,-0.0518627,1.48386,-2.3089e-09,983.772,0
0.236839,-0.0866116,1.45499,-4.76969e-09,982.411,0
