sample_id,case_id,family,sampling_tag,noise_tag,x_star,y_star,u_obs,v_obs,p_obs,region_id,wall_distance_star
1039,C-base,contraction,region_aware_1pct,clean,6.74379,-0.127819,1.75906,0.0304891,321.243,1,0.24950524647960384
1170,C-base,contraction,region_aware_1pct,clean,5.36802,0.295418,0.959994,-0.0344604,349.796,1,0.1711487457892621
1113,C-base,contraction,region_aware_1pct,clean,6.1822,-0.229033,1.25687,0.0476147,335.311,1,0.18322676646490832
1363,C-base,contraction,region_aware_1pct,clean,4.23139,-0.227152,1.19069,0.00279005,364.286,1,0.27258224686365107
1253,C-base,contraction,region_aware_1pct,clean,4.83598,0.31118,0.910673,-0.0179848,356.958,1,0.17906078798674624
864,C-base,contraction,region_aware_1pct,clean,8.31036,0.0875,2.00893,-3.37824e-06,269.025,1,0.26249999999999996
1213,C-base,contraction,region_aware_1pct,clean,5.11812,0.305097,0.927763,-0.0269587,353.298,1,0.17434169768559515
883,C-base,contraction,region_aware_1pct,clean,8.22168,-0.175,1.60715,2.22416e-05,272.128,1,0.175
827,C-base,contraction,region_aware_1pct,clean,8.93107,-0.2625,0.9375,-7.2256e-09,247.309,2,0.08749999999999997
763,C-base,contraction,region_aware_1pct,clean,9.28576,0.2625,0.9375,1.17492e-09,234.9,2,0.08749999999999997
479,C-base,contraction,region_aware_1pct,clean,12.1344,0.2625,0.9375,7.75596e-10,135.24,2,0.08749999999999997
1188,C-base,contraction,region_aware_1pct,clean,5.65016,-0.35928,0.597504,0.0314353,345.589,2,0.08982097798009087
499,C-base,contraction,region_aware_1pct,clean,11.946,0.2625,0.9375,8.15998e-10,141.832,2,0.08749999999999997
272,C-base,contraction,region_aware_1pct,clean,14.1517,0.2625,0.9375,3.71178e-10,64.6632,2,0.08749999999999997
1976,C-base,contraction,region_aware_1pct,clean,0.292638,-0.0966296,1.44398,-2.23878e-09,411.546,0,0.4033704
1806,C-base,contraction,region_aware_1pct,clean,0.950474,0.227273,1.19008,3.648e-09,403.652,0,0.272727
465,C-base,contraction,region_aware_1pct,clean,12.345,-8.11713e-09,2.14286,2.1359e-13,127.872,0,0.34999999188286995
