sample_id,case_id,family,sampling_tag,noise_tag,x_star,y_star,u_obs,v_obs,p_obs,region_id,wall_distance_star,u_obs_mask,v_obs_mask,p_obs_mask
1269,C-base,contraction,region_aware_5pct,noise_3pct,4.91659,-0.220415,,,355.1277509439525,1,0.2671716605285955,0,0,1
1392,C-base,contraction,region_aware_5pct,noise_3pct,3.87669,0.227273,,,370.7320457974114,1,0.272727,0,0,1
1043,C-base,contraction,region_aware_5pct,noise_3pct,6.62556,0.213222,,,328.3702997004064,1,0.170577837557096,0,0,1
1293,C-base,contraction,region_aware_5pct,noise_3pct,4.58608,0.225572,,,368.9725935318085,1,0.2706859428728793,0,0,1
1344,C-base,contraction,region_aware_5pct,noise_3pct,4.23139,0.227152,,,357.27145945397933,1,0.272582246863651,0,0,1
1059,C-base,contraction,region_aware_5pct,noise_3pct,6.59107,-0.171994,,,325.8219167972282,1,0.2138028870961397,0,0,1
1133,C-base,contraction,region_aware_5pct,noise_3pct,5.73883,0.265893,,,343.8096127604326,1,0.1772628217353688,0,0,1
927,C-base,contraction,region_aware_5pct,noise_3pct,7.85036,-0.0875199,,,277.51918308830574,1,0.2625542924403324,0,0,1
1117,C-base,contraction,region_aware_5pct,noise_3pct,6.00485,0.0849317,,,340.7993040715021,1,0.3397272857119209,0,0,1
941,C-base,contraction,region_aware_5pct,noise_3pct,7.68964,-8.11713e-09,,,295.6084133727739,1,0.3506216381434006,0,0,1
1112,C-base,contraction,region_aware_5pct,noise_3pct,6.1822,-0.13742,,,337.853813381324,1,0.2748397664649083,0,0,1
1446,C-base,contraction,region_aware_5pct,noise_3pct,3.62679,-0.318182,,,368.7067477894109,1,0.1818179999999999,0,0,1
1430,C-base,contraction,region_aware_5pct,noise_3pct,3.75577,-0.136364,,,373.7526813903832,1,0.3636359999999999,0,0,1
1458,C-base,contraction,region_aware_5pct,noise_3pct,3.522,-0.318182,,,374.7964650179677,1,0.1818179999999999,0,0,1
902,C-base,contraction,region_aware_5pct,noise_3pct,8.06096,-0.0875006,,,277.82866717126814,1,0.2624994,0,0,1
