sample_id,case_id,family,sampling_tag,noise_tag,x_star,y_star,u_obs,v_obs,p_obs,region_id,wall_distance_star,u_obs_mask,v_obs_mask,p_obs_mask
1269,C-base,contraction,region_aware_5pct,clean,4.91659,-0.220415,,,355.87,1,0.2671716605285955,0,0,1
1392,C-base,contraction,region_aware_5pct,clean,3.87669,0.227273,,,368.538,1,0.272727,0,0,1
1043,C-base,contraction,region_aware_5pct,clean,6.62556,0.213222,,,324.64,1,0.170577837557096,0,0,1
1293,C-base,contraction,region_aware_5pct,clean,4.58608,0.225572,,,360.005,1,0.2706859428728793,0,0,1
1344,C-base,contraction,region_aware_5pct,clean,4.23139,0.227152,,,364.286,1,0.272582246863651,0,0,1
1059,C-base,contraction,region_aware_5pct,clean,6.59107,-0.171994,,,325.459,1,0.2138028870961397,0,0,1
1133,C-base,contraction,region_aware_5pct,clean,5.73883,0.265893,,,343.888,1,0.1772628217353688,0,0,1
927,C-base,contraction,region_aware_5pct,clean,7.85036,-0.0875199,,,285.118,1,0.2625542924403324,0,0,1
1117,C-base,contraction,region_aware_5pct,clean,6.00485,0.0849317,,,338.719,1,0.3397272857119209,0,0,1
941,C-base,contraction,region_aware_5pct,clean,7.68964,-8.11713e-09,,,290.72,1,0.3506216381434006,0,0,1
1112,C-base,contraction,region_aware_5pct,clean,6.1822,-0.13742,,,335.127,1,0.2748397664649083,0,0,1
1446,C-base,contraction,region_aware_5pct,clean,3.62679,-0.318182,,,371.536,1,0.1818179999999999,0,0,1
1430,C-base,contraction,region_aware_5pct,clean,3.75577,-0.136364,,,369.989,1,0.3636359999999999,0,0,1
1458,C-base,contraction,region_aware_5pct,clean,3.522,-0.318182,,,372.793,1,0.1818179999999999,0,0,1
902,C-base,contraction,region_aware_5pct,clean,8.06096,-0.0875006,,,277.752,1,0.2624994,0,0,1
969,C-base,contraction,region_aware_5pct,clean,7.44579,-0.177119,,,299.185,1,0.176087435878872,0,0,1
1054,C-base,contraction,region_aware_5pct,clean,6.56644,0.131416,,,326.033,1,0.2558347559873497,0,0,1
1074,C-base,contraction,region_aware_5pct,clean,6.44821,0.043836,,,328.92,1,0.3506885145452725,0,0,1
1342,C-base,contraction,region_aware_5pct,clean,4.21526,0.317976,,,364.485,1,0.1818086880874248,0,0,1
1031,C-base,contraction,region_aware_5pct,clean,6.71423,0.210493,,,322.228,1,0.1683940301393547,0,0,1
1346,C-base,contraction,region_aware_5pct,clean,4.32006,0.0453928,,,363.21,1,0.4539280451726004,0,0,1
943,C-base,contraction,region_aware_5pct,clean,7.60097,0.0878189,,,293.804,1,0.263456279918379,0,0,1
1227,C-base,contraction,region_aware_5pct,clean,5.02945,0.307545,,,354.475,1,0.1757400955309568,0,0,1
1145,C-base,contraction,region_aware_5pct,clean,5.73883,0.088631,,,343.638,1,0.3545248217353688,0,0,1
1321,C-base,contraction,region_aware_5pct,clean,4.6022,-0.31612,,,359.841,1,0.1798478629811843,0,0,1
1405,C-base,contraction,region_aware_5pct,clean,3.87669,-0.227273,,,368.538,1,0.272727,0,0,1
1398,C-base,contraction,region_aware_5pct,clean,3.917,0.045454,,,368.054,1,0.454546,0,0,1
979,C-base,contraction,region_aware_5pct,clean,7.24627,-8.11713e-09,,,305.785,1,0.3574131033051418,0,0,1
1279,C-base,contraction,region_aware_5pct,clean,4.65863,0.314361,,,359.154,1,0.1804876528272723,0,0,1
1193,C-base,contraction,region_aware_5pct,clean,5.38414,-8.11713e-09,,,349.31,1,0.4656431841817549,0,0,1
1167,C-base,contraction,region_aware_5pct,clean,5.53489,0.180285,,,347.1,1,0.27625808343323,0,0,1
1333,C-base,contraction,region_aware_5pct,clean,4.40873,0.0453304,,,362.138,1,0.4533044974313888,0,0,1
1169,C-base,contraction,region_aware_5pct,clean,5.56149,0.0909717,,,346.597,1,0.3638871422108726,0,0,1
911,C-base,contraction,region_aware_5pct,clean,7.88916,0.175039,,,283.767,1,0.1749916035784015,0,0,1
1295,C-base,contraction,region_aware_5pct,clean,4.76343,-0.3133,,,357.863,1,0.179029162487686,0,0,1
1132,C-base,contraction,region_aware_5pct,clean,5.82751,0.0874136,,,342.069,1,0.3496545959941229,0,0,1
920,C-base,contraction,region_aware_5pct,clean,7.86699,-8.11713e-09,,,284.536,1,0.3500524299100211,0,0,1
1041,C-base,contraction,region_aware_5pct,clean,6.73394,-0.211508,,,321.681,1,0.1663326768887008,0,0,1
905,C-base,contraction,region_aware_5pct,clean,8.14409,-0.2625,,,274.841,2,0.0874999999999999,0,0,1
1154,C-base,contraction,region_aware_5pct,clean,5.55262,0.363334,,,347.15,2,0.0920888305440267,0,0,1
304,C-base,contraction,region_aware_5pct,clean,13.9854,-0.2625,,,70.48,2,0.0874999999999999,0,0,1
530,C-base,contraction,region_aware_5pct,clean,11.7686,-0.2625,,,148.037,2,0.0874999999999999,0,0,1
432,C-base,contraction,region_aware_5pct,clean,12.7551,-0.2625,,,113.524,2,0.0874999999999999,0,0,1
147,C-base,contraction,region_aware_5pct,clean,15.9753,-0.312767,,,0.862773,2,0.0372329999999999,0,0,1
1851,C-base,contraction,region_aware_5pct,clean,0.507107,0.409091,,,408.972,2,0.090909,0,0,1
1601,C-base,contraction,region_aware_5pct,clean,2.54659,-0.409091,,,384.498,2,0.090909,0,0,1
410,C-base,contraction,region_aware_5pct,clean,12.744,0.2625,,,113.912,2,0.0874999999999999,0,0,1
1090,C-base,contraction,region_aware_5pct,clean,6.35954,-0.311313,,,331.598,2,0.0889462200084383,0,0,1
145,C-base,contraction,region_aware_5pct,clean,15.9613,-0.279292,,,1.35547,2,0.070708,0,0,1
61,C-base,contraction,region_aware_5pct,clean,15.8145,0.289817,,,6.49025,2,0.0601829999999999,0,0,1
1874,C-base,contraction,region_aware_5pct,clean,0.298542,0.396578,,,411.475,2,0.103422,0,0,1
46,C-base,contraction,region_aware_5pct,clean,15.8284,0.200407,,,6.00337,2,0.1495929999999999,0,0,1
891,C-base,contraction,region_aware_5pct,clean,8.29927,-0.2625,,,269.413,2,0.0874999999999999,0,0,1
2020,C-base,contraction,region_aware_5pct,clean,0.139138,-0.390127,,,413.388,2,0.109873,0,0,1
113,C-base,contraction,region_aware_5pct,clean,15.8745,-0.261336,,,4.38905,2,0.0886639999999999,0,0,1
1812,C-base,contraction,region_aware_5pct,clean,0.0246609,0.462928,,,414.762,2,0.0370719999999999,0,0,1
173,C-base,contraction,region_aware_5pct,clean,15.2269,-0.2625,,,27.0482,2,0.0874999999999999,0,0,1
923,C-base,contraction,region_aware_5pct,clean,7.67856,0.262885,,,291.164,2,0.0878026006900041,0,0,1
1622,C-base,contraction,region_aware_5pct,clean,2.10323,0.409091,,,389.819,2,0.090909,0,0,1
1918,C-base,contraction,region_aware_5pct,clean,0.515169,-0.409091,,,408.875,2,0.090909,0,0,1
1120,C-base,contraction,region_aware_5pct,clean,5.81864,0.349046,,,342.716,2,0.0886361428358161,0,0,1
204,C-base,contraction,region_aware_5pct,clean,14.8722,-0.2625,,,39.4573,2,0.0874999999999999,0,0,1
877,C-base,contraction,region_aware_5pct,clean,8.23277,0.2625,,,271.739,2,0.0874999999999999,0,0,1
419,C-base,contraction,region_aware_5pct,clean,12.6664,0.2625,,,116.626,2,0.0874999999999999,0,0,1
1426,C-base,contraction,region_aware_5pct,clean,3.61067,0.409091,,,371.729,2,0.090909,0,0,1
1616,C-base,contraction,region_aware_5pct,clean,2.44986,-0.409091,,,385.659,2,0.090909,0,0,1
772,C-base,contraction,region_aware_5pct,clean,9.18601,0.2625,,,238.39,2,0.0874999999999999,0,0,1
203,C-base,contraction,region_aware_5pct,clean,14.8722,-0.0875,,,39.4573,0,0.2624999999999999,0,0,1
95,C-base,contraction,region_aware_5pct,clean,15.7305,-0.126461,,,9.42916,0,0.223539,0,0,1
513,C-base,contraction,region_aware_5pct,clean,11.8573,-8.11713e-09,,,144.934,0,0.3499999918828699,0,0,1
175,C-base,contraction,region_aware_5pct,clean,15.1382,-0.175,,,30.1504,0,0.175,0,0,1
1657,C-base,contraction,region_aware_5pct,clean,2.10323,-0.227273,,,389.819,0,0.272727,0,0,1
10,C-base,contraction,region_aware_5pct,clean,15.9561,0.141772,,,1.5349,0,0.2082279999999999,0,0,1
655,C-base,contraction,region_aware_5pct,clean,10.372,0.175,,,196.898,0,0.175,0,0,1
1679,C-base,contraction,region_aware_5pct,clean,1.76466,0.318182,,,393.882,0,0.1818179999999999,0,0,1
1492,C-base,contraction,region_aware_5pct,clean,3.20761,-0.0454546,,,376.566,0,0.4545454,0,0,1
70,C-base,contraction,region_aware_5pct,clean,15.7415,0.0223776,,,9.04222,0,0.3276224,0,0,1
857,C-base,contraction,region_aware_5pct,clean,8.50433,-0.0875,,,262.239,0,0.2624999999999999,0,0,1
1685,C-base,contraction,region_aware_5pct,clean,1.92588,-0.227273,,,391.947,0,0.272727,0,0,1
831,C-base,contraction,region_aware_5pct,clean,8.66505,0.0875,,,256.616,0,0.2624999999999999,0,0,1
748,C-base,contraction,region_aware_5pct,clean,9.59612,-8.11713e-09,,,224.042,0,0.3499999918828699,0,0,1
2011,C-base,contraction,region_aware_5pct,clean,0.211286,-0.230447,,,412.522,0,0.269553,0,0,1
1720,C-base,contraction,region_aware_5pct,clean,1.48251,0.227273,,,397.267,0,0.272727,0,0,1
1968,C-base,contraction,region_aware_5pct,clean,0.263885,0.121185,,,411.891,0,0.378815,0,0,1
