sample_id,case_id,family,sampling_tag,noise_tag,x_star,y_star,u_obs,v_obs,p_obs,region_id,wall_distance_star
1354,C-base,contraction,uniform_15pct,clean,4.13465,0.409033,0.494954,-0.000835877,365.449,2,0.09091263253877924
1176,C-base,contraction,uniform_15pct,clean,5.65016,-0.17964,1.40362,0.0367102,345.234,1,0.26946097798009083
1270,C-base,contraction,uniform_15pct,clean,4.9569,-0.310357,0.910965,0.0218022,355.421,1,0.17577109570614974
1123,C-base,contraction,uniform_15pct,clean,6.08466,-0.334124,0.649609,0.0360067,337.652,2,0.08493045068862026
768,C-base,contraction,uniform_15pct,clean,9.44094,-0.175,1.60714,-1.45665e-09,229.471,0,0.175
602,C-base,contraction,uniform_15pct,clean,10.9706,-8.11713e-09,2.14286,4.40439e-13,175.957,0,0.34999999188286995
1785,C-base,contraction,uniform_15pct,clean,1.03915,0.136364,1.38843,2.54349e-09,402.588,0,0.36363599999999996
276,C-base,contraction,uniform_15pct,clean,14.2293,-0.175,1.60714,-4.06377e-10,61.9487,0,0.175
952,C-base,contraction,uniform_15pct,clean,7.49013,0.175791,1.59901,-0.0113631,297.664,1,0.17675192507832352
1242,C-base,contraction,uniform_15pct,clean,5.21486,-0.389218,0.514064,0.0211826,352.113,2,0.08557756155364443
1304,C-base,contraction,uniform_15pct,clean,4.59011,0.0900423,1.46497,-0.00504438,359.927,1,0.40614434000201166
811,C-base,contraction,uniform_15pct,clean,8.8424,0.0875,2.00893,5.32161e-08,250.412,0,0.26249999999999996
268,C-base,contraction,uniform_15pct,clean,14.2681,0.0875,2.00893,2.48209e-10,60.5915,0,0.26249999999999996
1792,C-base,contraction,uniform_15pct,clean,1.12782,-0.136364,1.38843,-2.53516e-09,401.524,0,0.36363599999999996
1690,C-base,contraction,uniform_15pct,clean,1.78884,0.0454545,1.4876,8.31364e-10,393.591,0,0.4545455
1088,C-base,contraction,uniform_15pct,clean,6.35954,-0.222366,1.29494,0.0465925,331.323,1,0.17789322000843838
83,C-base,contraction,uniform_15pct,clean,15.9023,-0.130538,1.84478,-2.22792e-11,3.41891,0,0.219462
1134,C-base,contraction,uniform_15pct,clean,5.80091,0.173001,1.44414,-0.0387191,342.639,1,0.2659053144082767
1193,C-base,contraction,uniform_15pct,clean,5.38414,-8.11713e-09,1.61579,-1.92112e-05,349.31,1,0.46564318418175493
1888,C-base,contraction,uniform_15pct,clean,0.684454,-0.318182,0.892562,-3.89879e-09,406.844,0,0.18181799999999998
296,C-base,contraction,uniform_15pct,clean,14.0741,-0.2625,0.9375,-3.87466e-10,67.3777,2,0.08749999999999997
1210,C-base,contraction,uniform_15pct,clean,5.2068,0.1296,1.4639,-0.0198814,351.922,1,0.3455995445035741
609,C-base,contraction,uniform_15pct,clean,10.9484,-0.175,1.60714,-1.16053e-09,176.733,0,0.175
1720,C-base,contraction,uniform_15pct,clean,1.48251,0.227273,1.19008,3.57258e-09,397.267,0,0.272727
2075,C-base,contraction,uniform_15pct,clean,0.0420273,-0.229169,1.18489,-1.74033e-09,414.553,0,0.270831
931,C-base,contraction,uniform_15pct,clean,7.74506,0.0874136,2.00601,-0.00251985,288.796,1,0.26293857084768046
1191,C-base,contraction,uniform_15pct,clean,5.45952,-0.141061,1.4765,0.0271225,348.229,1,0.3201318296061271
77,C-base,contraction,uniform_15pct,clean,15.9813,-0.10922,1.93419,-1.36115e-11,0.655734,0,0.24078
1268,C-base,contraction,uniform_15pct,clean,4.86823,-0.133978,1.42085,0.0128451,356.449,1,0.355243097217386
1783,C-base,contraction,uniform_15pct,clean,1.16813,-0.0454546,1.4876,-9.04198e-10,401.04,0,0.4545454
173,C-base,contraction,uniform_15pct,clean,15.2269,-0.2625,0.9375,-1.55123e-10,27.0482,2,0.08749999999999997
2097,C-base,contraction,uniform_15pct,clean,0.0394244,-0.0738458,1.46728,-5.94116e-10,414.584,0,0.4261542
400,C-base,contraction,uniform_15pct,clean,12.9214,0.2625,0.9375,6.18062e-10,107.707,2,0.08749999999999997
1041,C-base,contraction,uniform_15pct,clean,6.73394,-0.211508,1.36344,0.0395391,321.681,1,0.16633267688870082
1161,C-base,contraction,uniform_15pct,clean,5.83637,-0.350273,0.608344,0.0336715,342.408,2,0.0861809957940578
1979,C-base,contraction,uniform_15pct,clean,0.268599,-0.147719,1.36907,-3.24073e-09,411.834,0,0.352281
1655,C-base,contraction,uniform_15pct,clean,2.1919,-0.409091,0.495868,-2.50973e-09,388.755,2,0.09090900000000002
632,C-base,contraction,uniform_15pct,clean,10.7045,-0.0875,2.00893,-7.59228e-10,185.264,0,0.26249999999999996
207,C-base,contraction,uniform_15pct,clean,14.8722,0.0875,2.00893,1.61838e-10,39.4573,0,0.26249999999999996
1839,C-base,contraction,uniform_15pct,clean,0.861801,-0.227273,1.19008,-3.66487e-09,404.716,0,0.272727
303,C-base,contraction,uniform_15pct,clean,13.93,-0.0875,2.00893,-2.96903e-10,72.4189,0,0.26249999999999996
544,C-base,contraction,uniform_15pct,clean,11.5026,0.175,1.60714,1.03231e-09,157.344,0,0.175
1659,C-base,contraction,uniform_15pct,clean,2.11129,-0.409091,0.495868,-2.55547e-09,389.722,2,0.09090900000000002
2072,C-base,contraction,uniform_15pct,clean,0.0222146,-0.332971,0.834784,-1.24191e-09,414.791,0,0.16702899999999998
1359,C-base,contraction,uniform_15pct,clean,4.11047,0.136324,1.38925,-0.00108373,365.734,1,0.36364569759017895
717,C-base,contraction,uniform_15pct,clean,9.83997,0.175,1.60714,1.41271e-09,215.511,0,0.175
175,C-base,contraction,uniform_15pct,clean,15.1382,-0.175,1.60714,-1.98022e-10,30.1504,0,0.175
102,C-base,contraction,uniform_15pct,clean,15.5816,0.0875,2.00893,5.99774e-11,14.6391,0,0.26249999999999996
1099,C-base,contraction,uniform_15pct,clean,6.23146,-0.0424323,1.81659,0.0126659,333.969,1,0.36643789943326854
839,C-base,contraction,uniform_15pct,clean,8.72047,-0.13125,1.84152,-2.36177e-07,254.677,0,0.21874999999999997
773,C-base,contraction,uniform_15pct,clean,9.28576,0.175,1.60714,1.14106e-09,234.9,0,0.175
716,C-base,contraction,uniform_15pct,clean,9.72913,0.2625,0.9375,1.25769e-09,219.389,2,0.08749999999999997
1579,C-base,contraction,uniform_15pct,clean,2.36119,0.409091,0.495868,2.41794e-09,386.723,2,0.09090900000000002
1566,C-base,contraction,uniform_15pct,clean,2.45792,0.409091,0.495868,2.63895e-09,385.562,2,0.09090900000000002
1663,C-base,contraction,uniform_15pct,clean,1.9017,0.227273,1.19008,3.39834e-09,392.237,0,0.272727
2038,C-base,contraction,uniform_15pct,clean,0.132072,-0.313924,0.908709,-4.10158e-09,413.473,0,0.18607600000000002
960,C-base,contraction,uniform_15pct,clean,7.46796,-0.000663937,2.12197,5.8853e-05,298.362,1,0.3521990444803437
436,C-base,contraction,uniform_15pct,clean,12.611,-8.11713e-09,2.14286,-4.56359e-13,118.565,0,0.34999999188286995
351,C-base,contraction,uniform_15pct,clean,13.5421,-0.2625,0.9375,-4.94953e-10,85.9913,2,0.08749999999999997
1928,C-base,contraction,uniform_15pct,clean,0.0679193,0.273614,1.05081,2.80392e-09,414.242,0,0.22638599999999998
515,C-base,contraction,uniform_15pct,clean,11.824,0.0875,2.00893,5.98714e-10,146.098,0,0.26249999999999996
