sample_id,case_id,family,sampling_tag,noise_tag,x_star,y_star,u_obs,v_obs,p_obs,region_id,wall_distance_star
82,C-train-1,contraction,uniform_15pct,clean,0.102648,0.0211967,1.4973,2.29206e-10,265.146,0,0.4788033
949,C-train-1,contraction,uniform_15pct,clean,5.64906,-0.129433,1.46372,0.0129633,197.628,1,0.3451538233611995
434,C-train-1,contraction,uniform_15pct,clean,1.9255,-0.227273,1.19008,-2.15246e-09,243.272,0,0.272727
164,C-train-1,contraction,uniform_15pct,clean,0.310789,-0.158399,1.34946,-2.17498e-09,262.649,0,0.341601
2103,C-train-1,contraction,uniform_15pct,clean,14.887,-0.255,1.12941,-1.77395e-10,21.7477,0,0.16999999999999998
2227,C-train-1,contraction,uniform_15pct,clean,15.4012,-0.085,1.69412,-4.76596e-11,11.7001,0,0.33999999999999997
2063,C-train-1,contraction,uniform_15pct,clean,14.6831,0.34,0.635294,1.57497e-10,25.732,2,0.08499999999999996
1270,C-train-1,contraction,uniform_15pct,clean,8.22008,0.34,0.6353,-5.57753e-06,152.019,2,0.08499999999999996
1520,C-train-1,contraction,uniform_15pct,clean,10.1705,-0.17,1.48235,-8.09953e-10,113.908,0,0.255
1702,C-train-1,contraction,uniform_15pct,clean,11.6777,-0.17,1.48235,-6.0291e-10,84.4583,0,0.255
785,C-train-1,contraction,uniform_15pct,clean,4.40787,-0.136179,1.39122,0.00209289,213.479,1,0.36314251258723623
1913,C-train-1,contraction,uniform_15pct,clean,13.4419,0.34,0.635294,3.05894e-10,49.9848,2,0.08499999999999996
2202,C-train-1,contraction,uniform_15pct,clean,15.4633,0.17,1.48235,7.47068e-11,10.4875,0,0.255
512,C-train-1,contraction,uniform_15pct,clean,2.50983,-0.272727,1.05372,-3.86335e-09,236.26,0,0.227273
612,C-train-1,contraction,uniform_15pct,clean,3.27952,-0.227273,1.19008,-8.79837e-07,227.024,0,0.272727
697,C-train-1,contraction,uniform_15pct,clean,3.78728,-0.0454546,1.48764,1.85661e-05,220.931,1,0.4545454
