sample_id,case_id,family,x_star,y_star,u_star,v_star,p_star,speed_star,region_id,wall_distance_star,is_boundary,boundary_type
0,C-train-4,contraction,0.0,0.13891,1.38422,1.9044999999999998e-40,297.377,1.38422,0,0.36109,1,inlet
1,C-train-4,contraction,0.0,0.113654,1.4225,1.57692e-40,297.377,1.4225,0,0.38634599999999997,1,inlet
2,C-train-4,contraction,0.0183078,0.13282,1.39415,3.72764e-10,297.158,1.39415,0,0.36718,0,interior
3,C-train-4,contraction,0.0,0.239936,1.15458,3.0554600000000004e-40,297.377,1.15458,0,0.26006399999999996,1,inlet
4,C-train-4,contraction,0.0,0.265192,1.07804,3.2831400000000004e-40,297.377,1.07804,0,0.23480800000000002,1,inlet
5,C-train-4,contraction,0.0,0.214679,1.22348,2.7936999999999996e-40,297.377,1.22348,0,0.285321,1,inlet
6,C-train-4,contraction,0.0,0.164167,1.3383,2.22331e-40,297.377,1.3383,0,0.335833,1,inlet
7,C-train-4,contraction,0.0,0.189423,1.28471,2.5161300000000003e-40,297.377,1.28471,0,0.310577,1,inlet
8,C-train-4,contraction,0.0196753,0.235527,1.16716,6.50912e-10,297.141,1.16716,0,0.264473,0,interior
9,C-train-4,contraction,0.0,0.290449,0.993837,3.4957e-40,297.377,0.993837,0,0.209551,1,inlet
10,C-train-4,contraction,0.0196753,0.282349,1.02168,7.36143e-10,297.141,1.02168,0,0.21765099999999998,0,interior
11,C-train-4,contraction,0.0,0.315705,0.901982,3.6558100000000003e-40,297.377,0.901982,0,0.184295,1,inlet
12,C-train-4,contraction,0.0191724,0.10523,1.43356,3.12348e-10,297.147,1.43356,0,0.39477,0,interior
13,C-train-4,contraction,0.0,0.0883974,1.45312,1.23753e-40,297.377,1.45312,0,0.4116026,1,inlet
14,C-train-4,contraction,0.0393172,0.154814,1.35619,8.52438e-10,296.906,1.35619,0,0.345186,0,interior
15,C-train-4,contraction,0.0406483,0.124086,1.40762,7.16817e-10,296.89,1.40762,0,0.37591399999999997,0,interior
16,C-train-4,contraction,0.0,0.416731,0.458013,4.02996e-40,297.377,0.458013,2,0.08326899999999998,1,inlet
17,C-train-4,contraction,0.0196755,0.258938,1.09771,6.96374e-10,297.141,1.09771,0,0.241062,0,interior
18,C-train-4,contraction,0.0205129,0.206686,1.24369,6.1106e-10,297.131,1.24369,0,0.29331399999999996,0,interior
19,C-train-4,contraction,0.020513,0.182834,1.29943,5.51371e-10,297.131,1.29943,0,0.317166,0,interior
20,C-train-4,contraction,0.0444005,0.226789,1.1914,1.29245e-09,296.845,1.1914,0,0.273211,0,interior
21,C-train-4,contraction,0.0,0.391474,0.580487,3.96938e-40,297.377,0.580487,2,0.10852600000000001,1,inlet
22,C-train-4,contraction,0.0233487,0.308618,0.928528,9.00577e-10,297.097,0.928528,0,0.191382,0,interior
23,C-train-4,contraction,0.0436367,0.282079,1.02259,1.46346e-09,296.854,1.02259,0,0.21792099999999998,0,interior
24,C-train-4,contraction,0.0318786,0.332836,0.835323,1.21074e-09,296.995,0.835323,0,0.16716399999999998,0,interior
25,C-train-4,contraction,0.0,0.366218,0.695306,3.9271400000000005e-40,297.377,0.695306,2,0.133782,1,inlet
26,C-train-4,contraction,0.0,0.340962,0.802471,3.77863e-40,297.377,0.802471,0,0.159038,1,inlet
27,C-train-4,contraction,0.0406487,0.10102,1.43877,5.90213e-10,296.89,1.43877,0,0.39898,0,interior
28,C-train-4,contraction,0.0191725,0.0810071,1.46063,2.42358e-10,297.147,1.46063,0,0.4189929,0,interior
29,C-train-4,contraction,0.0,0.063141,1.47608,8.92806e-41,297.377,1.47608,0,0.436859,1,inlet
30,C-train-4,contraction,0.0641004,0.172635,1.32118,1.3901e-09,296.608,1.32118,0,0.327365,0,interior
31,C-train-4,contraction,0.0647411,0.145239,1.37343,1.20525e-09,296.601,1.37343,0,0.354761,0,interior
32,C-train-4,contraction,0.0647411,0.101702,1.43794,8.67631e-10,296.601,1.43794,0,0.398298,0,interior
33,C-train-4,contraction,0.0,0.441987,0.327884,4.02425e-40,297.377,0.327884,2,0.05801299999999998,1,inlet
34,C-train-4,contraction,0.0,0.467244,0.190101,4.59784e-40,297.377,0.190101,2,0.03275600000000001,1,inlet
35,C-train-4,contraction,0.023428,0.421259,0.435245,8.99961e-10,297.096,0.435245,2,0.078741,0,interior
36,C-train-4,contraction,0.0612114,0.260021,1.09433,1.8131e-09,296.643,1.09433,0,0.239979,0,interior
37,C-train-4,contraction,0.0634375,0.200981,1.25764,1.56091e-09,296.616,1.25764,0,0.29901900000000003,0,interior
38,C-train-4,contraction,0.0722776,0.22994,1.18277,1.89035e-09,296.51,1.18277,0,0.27005999999999997,0,interior
39,C-train-4,contraction,0.0234109,0.384693,0.612067,9.45827e-10,297.097,0.612067,2,0.11530699999999999,0,interior
40,C-train-4,contraction,0.0728471,0.310289,0.922324,2.19652e-09,296.503,0.922324,0,0.18971100000000002,0,interior
41,C-train-4,contraction,0.0418824,0.361237,0.717045,1.51102e-09,296.875,0.717045,2,0.13876300000000003,0,interior
42,C-train-4,contraction,0.0406483,0.077953,1.46354,4.59445e-10,296.89,1.46354,0,0.422047,0,interior
43,C-train-4,contraction,0.0,0.0378846,1.49139,5.337170000000001e-41,297.377,1.49139,0,0.4621154,1,inlet
44,C-train-4,contraction,0.0371559,0.0512557,1.48424,2.81794e-10,296.932,1.48424,0,0.4487443,0,interior
45,C-train-4,contraction,0.091815,0.16901,1.32861,1.75586e-09,296.276,1.32861,0,0.33099,0,interior
46,C-train-4,contraction,0.091815,0.12839,1.4011,1.38039e-09,296.276,1.4011,0,0.37161,0,interior
47,C-train-4,contraction,0.0831507,0.0782954,1.46322,8.09651e-10,296.38,1.46322,0,0.4217046,0,interior
48,C-train-4,contraction,0.122189,0.177004,1.31202,2.14948e-09,295.911,1.31202,0,0.322996,0,interior
49,C-train-4,contraction,0.0263641,0.461918,0.219792,7.64264e-10,297.061,0.219792,2,0.038082000000000005,0,interior
50,C-train-4,contraction,0.0,0.5,-1.54676e-30,3.80341e-30,297.377,4.105897481148306e-30,2,0.0,1,inlet
51,C-train-4,contraction,0.0565139,0.427654,0.402673,1.49305e-09,296.699,0.402673,2,0.07234600000000002,0,interior
52,C-train-4,contraction,0.104787,0.259524,1.09588,2.54768e-09,296.12,1.09588,0,0.24047600000000002,0,interior
53,C-train-4,contraction,0.123029,0.225615,1.19459,2.55798e-09,295.901,1.19459,0,0.274385,0,interior
54,C-train-4,contraction,0.12376,0.332161,0.838014,2.83849e-09,295.892,0.838014,0,0.16783900000000002,0,interior
55,C-train-4,contraction,0.0733262,0.38109,0.628624,2.09131e-09,296.498,0.628624,2,0.11891000000000002,0,interior
56,C-train-4,contraction,0.0,0.0126282,1.49904,1.78996e-41,297.377,1.49904,0,0.4873718,1,inlet
57,C-train-4,contraction,0.0223101,0.00612116,1.49978,2.13148e-11,297.11,1.49978,0,0.49387884,0,interior
58,C-train-4,contraction,0.114881,0.0654083,1.47433,8.35718e-10,295.999,1.47433,0,0.4345917,0,interior
59,C-train-4,contraction,0.0918286,0.0422218,1.4893,4.73095e-10,296.275,1.4893,0,0.4577782,0,interior
60,C-train-4,contraction,0.0628126,0.0470162,1.48674,3.99118e-10,296.624,1.48674,0,0.4529838,0,interior
61,C-train-4,contraction,0.0371555,0.0280006,1.4953,1.54459e-10,296.932,1.4953,0,0.4719994,0,interior
62,C-train-4,contraction,0.140048,0.140511,1.38154,1.89413e-09,295.697,1.38154,0,0.359489,0,interior
63,C-train-4,contraction,0.140048,0.0907224,1.45062,1.27038e-09,295.697,1.45062,0,0.4092776,0,interior
64,C-train-4,contraction,0.156288,0.20878,1.23847,2.68876e-09,295.502,1.23847,0,0.29122000000000003,0,interior
65,C-train-4,contraction,0.0767391,0.5,1.69522e-31,8.375970000000001e-30,296.457,8.377685309760926e-30,2,0.0,1,wall
66,C-train-4,contraction,0.114806,0.440516,0.335675,1.56616e-09,296.0,0.335675,2,0.05948399999999998,0,interior
67,C-train-4,contraction,0.159629,0.295099,0.9775,3.10713e-09,295.462,0.9775,0,0.204901,0,interior
68,C-train-4,contraction,0.194602,0.259255,1.09672,3.1632e-09,295.042,1.09672,0,0.240745,0,interior
69,C-train-4,contraction,0.15186,0.375584,0.65362,2.67024e-09,295.555,0.65362,2,0.12441600000000003,0,interior
70,C-train-4,contraction,0.0,-0.0126282,1.49904,-1.80444e-41,297.377,1.49904,0,0.4873718,1,inlet
71,C-train-4,contraction,0.0477619,-0.00130223,1.49999,-8.75425e-12,296.804,1.49999,0,0.49869777,0,interior
72,C-train-4,contraction,0.0176214,-0.0309475,1.49425,-8.65493e-11,297.166,1.49425,0,0.4690525,0,interior
73,C-train-4,contraction,0.140048,0.0409333,1.48995,5.8589e-10,295.697,1.48995,0,0.4590667,0,interior
74,C-train-4,contraction,0.0831507,0.00734837,1.49968,7.64121e-11,296.38,1.49968,0,0.49265163,0,interior
75,C-train-4,contraction,0.187809,0.0666464,1.47335,1.05916e-09,295.124,1.47335,0,0.4333536,0,interior
76,C-train-4,contraction,0.19899,0.168084,1.33049,2.47262e-09,294.99,1.33049,0,0.331916,0,interior
77,C-train-4,contraction,0.187793,0.120105,1.41345,1.8397e-09,295.124,1.41345,0,0.379895,0,interior
78,C-train-4,contraction,0.210546,0.217599,1.2159,2.96724e-09,294.851,1.2159,0,0.282401,0,interior
79,C-train-4,contraction,0.169522,0.5,1.92543e-31,9.47773e-30,295.343,9.479685583380338e-30,2,0.0,1,wall
80,C-train-4,contraction,0.204798,0.443771,0.318403,1.49183e-09,294.92,0.318403,2,0.05622899999999997,0,interior
81,C-train-4,contraction,0.201669,0.313324,0.91097,3.19542e-09,294.957,0.91097,0,0.186676,0,interior
82,C-train-4,contraction,0.237542,0.284496,1.01437,3.25907e-09,294.527,1.01437,0,0.21550399999999997,0,interior
83,C-train-4,contraction,0.238617,0.390236,0.586294,2.49628e-09,294.514,0.586294,2,0.10976399999999997,0,interior
84,C-train-4,contraction,0.0,-0.0378846,1.49139,-5.35241e-41,297.377,1.49139,0,0.4621154,1,inlet
85,C-train-4,contraction,0.0,-0.063141,1.47608,-8.91847e-41,297.377,1.47608,0,0.436859,1,inlet
