sample_id,case_id,family,sampling_tag,noise_tag,x_star,y_star,u_obs,v_obs,p_obs,region_id,wall_distance_star
1217,C-train-4,contraction,region_aware_5pct,noise_3pct,9.7909,-0.0472463,1.7441388642676017,0.00019692422414574993,160.3556967272197,1,0.37778380826653324
876,C-train-4,contraction,region_aware_5pct,noise_3pct,6.45446,0.263893,1.086460337639433,-0.013111333042391404,213.799567211287,1,0.21111401459506884
902,C-train-4,contraction,region_aware_5pct,noise_3pct,6.65398,-0.156846,1.425361898946664,0.01074006777279123,217.01045019762603,1,0.31369220559587085
1051,C-train-4,contraction,region_aware_5pct,noise_3pct,8.12822,0.24298,1.1735198960894597,-0.0111310368747467,195.07766852144607,1,0.19546476869607207
647,C-train-4,contraction,region_aware_5pct,noise_3pct,4.35948,-0.299912,0.9612414646333289,0.0005491057600883185,246.7810855764592,1,0.19994084952874225
950,C-train-4,contraction,region_aware_5pct,noise_3pct,7.11953,0.152198,1.436573709051476,-0.011184044076601467,206.97748340682904,1,0.30750347910086223
1135,C-train-4,contraction,region_aware_5pct,noise_3pct,9.01498,-0.142201,1.5622171366190711,0.003742605623673225,177.84624511887944,1,0.2853539714074369
1071,C-train-4,contraction,region_aware_5pct,noise_3pct,8.32774,0.241253,1.1725595795679797,-0.00995941778504665,189.6641206884164,1,0.19395295399342155
794,C-train-4,contraction,region_aware_5pct,noise_3pct,5.75613,0.293091,0.9837056688084471,-0.009462119074574038,227.97722140030942,1,0.19539332116918762
754,C-train-4,contraction,region_aware_5pct,noise_3pct,5.33713,0.296183,0.9772242596229749,-0.0065181110907932775,233.2594176906688,1,0.1980435473965701
858,C-train-4,contraction,region_aware_5pct,noise_3pct,6.30481,-0.00104671,1.5411309289657484,6.403932096000036e-05,222.7798043185101,1,0.47717290754471287
986,C-train-4,contraction,region_aware_5pct,noise_3pct,7.50749,0.0490023,1.6459852742303818,-0.004157286636947613,199.8205166226886,1,0.40182836842023734
861,C-train-4,contraction,region_aware_5pct,noise_3pct,6.28486,-0.192331,1.3104538659490892,0.01104021782582828,217.84374347809657,1,0.28630595196970265
745,C-train-4,contraction,region_aware_5pct,noise_3pct,5.25733,0.198034,1.278542368406366,-0.0054421111346726,234.04656798948398,1,0.2970518910465286
1228,C-train-4,contraction,region_aware_5pct,noise_3pct,9.90175,-0.047217,1.741909369881349,-1.250438337166002e-05,160.14747016379485,1,0.3777862127450404
603,C-train-4,contraction,region_aware_5pct,noise_3pct,4.03027,0.2,1.2597546775330808,0.00021461363056795983,247.4722020146317,1,0.299999904423211
1221,C-train-4,contraction,region_aware_5pct,noise_3pct,9.84632,0.236118,1.2323437566458637,-0.00037311528110200765,160.56424412182358,1,0.18889412335250189
674,C-train-4,contraction,region_aware_5pct,noise_3pct,4.58893,-0.199883,1.2793879720527648,0.0016255698709232564,245.07237393659307,1,0.2995080758501353
772,C-train-4,contraction,region_aware_5pct,noise_3pct,5.55661,0.196589,1.3006016967963916,-0.006866785446155906,227.13389662852762,1,0.2948823105541679
770,C-train-4,contraction,region_aware_5pct,noise_3pct,5.4768,-0.295941,0.9686799824579496,0.007523636678160436,231.88100151046126,1,0.19659802845635
1151,C-train-4,contraction,region_aware_5pct,noise_3pct,9.13137,0.142173,1.5535353743974758,-0.00303169039812274,172.98239224217892,1,0.2846371196883559
756,C-train-4,contraction,region_aware_5pct,noise_3pct,5.35709,0.1976,1.288892580201015,-0.006038444200694421,229.78059774928332,1,0.29639964561596155
640,C-train-4,contraction,region_aware_5pct,noise_3pct,4.35948,-0.0999706,1.4526414933997585,0.0005262056447475381,239.14778067103998,1,0.39988224952874224
840,C-train-4,contraction,region_aware_5pct,noise_3pct,6.13522,0.288379,1.012602603893178,-0.011430987191228916,219.72185513065486,1,0.19329449068221216
1116,C-train-4,contraction,region_aware_5pct,noise_3pct,8.84871,-0.142964,1.5579435289665098,0.004590459342983226,174.8618321656402,1,0.28592660098494993
687,C-train-4,contraction,region_aware_5pct,noise_3pct,4.77847,0.299356,0.9635510804675883,-0.002680770002560082,239.38998465116055,1,0.19930818001028267
942,C-train-4,contraction,region_aware_5pct,noise_3pct,7.05302,0.256254,1.1387601746779716,-0.014500678672291038,211.62723302083975,1,0.20500360248548166
1145,C-train-4,contraction,region_aware_5pct,noise_3pct,9.09812,-0.142304,1.5661123203436138,0.0031356468712723535,171.79536587922212,1,0.2847033710019894
1081,C-train-4,contraction,region_aware_5pct,noise_3pct,8.48292,-0.144919,1.5320536485142828,0.007007192573736694,189.5319192796585,1,0.288071554791147
843,C-train-4,contraction,region_aware_5pct,noise_3pct,6.15018,-0.144456,1.4245491581388756,0.008577281264795752,221.34186378143025,1,0.3369217944286681
1061,C-train-4,contraction,region_aware_5pct,noise_3pct,8.25015,0.242453,1.1808497687870971,-0.01050264034140489,186.1118928274612,1,0.19396195989436685
1142,C-train-4,contraction,region_aware_5pct,noise_3pct,9.02607,-0.237243,1.2177084739391189,0.004867393835156585,174.71332395361068,1,0.19023437457612044
1258,C-train-4,contraction,region_aware_5pct,noise_3pct,10.1678,-0.0295139,1.7531289041829454,0.0001160119243887602,149.18107581002718,1,0.3954861
688,C-train-4,contraction,region_aware_5pct,noise_3pct,4.68869,-0.199787,1.2700503685229558,0.0020938679659818684,241.73357424143546,1,0.29926513588499326
912,C-train-4,contraction,region_aware_5pct,noise_3pct,6.75374,0.0520273,1.587787612987364,-0.0042886320072298666,207.66390410410725,1,0.41621854375099215
614,C-train-4,contraction,region_aware_5pct,noise_3pct,4.06019,-0.2,1.264727628269166,-0.00012689994062563747,245.88740318116996,1,0.29999925419987494
1150,C-train-4,contraction,region_aware_5pct,noise_3pct,9.148,0.237064,1.211715475958376,-0.0038836510209820526,171.34171929916397,1,0.18965203664465452
626,C-train-4,contraction,region_aware_5pct,noise_3pct,4.26221,0.224965,1.2180168896098111,-0.0006702567351958529,246.50213636366504,1,0.2749764344246811
618,C-train-4,contraction,region_aware_5pct,noise_3pct,4.19986,0.100015,1.4414938235480632,3.800562195022201e-05,244.05729378874597,1,0.39995864706501877
55,C-train-4,contraction,region_aware_5pct,noise_3pct,0.0733262,0.38109,0.6279227757684609,3.411982299588038e-05,296.9805468995842,2,0.11891000000000002
2066,C-train-4,contraction,region_aware_5pct,noise_3pct,17.7521,0.288168,0.960616574626128,-0.0001250747603214983,1.9917693057345573,2,0.136832
1317,C-train-4,contraction,region_aware_5pct,noise_3pct,10.7553,0.330556,0.6960453981770085,-0.00010998607142041289,138.65281658866164,2,0.09444399999999997
1347,C-train-4,contraction,region_aware_5pct,noise_3pct,11.0324,0.330556,0.6766642638340256,3.726935998759323e-05,138.7244357623666,2,0.09444399999999997
384,C-train-4,contraction,region_aware_5pct,noise_3pct,1.87543,-0.4,0.5388606650070528,-3.084549049298302e-05,276.59006645232864,2,0.09999999999999998
1760,C-train-4,contraction,region_aware_5pct,noise_3pct,15.0228,0.330556,0.6961764588821662,-5.5998968416396446e-05,59.76200393944964,2,0.09444399999999997
2048,C-train-4,contraction,region_aware_5pct,noise_3pct,17.7017,0.362027,0.5031089324393564,-1.231816007965718e-05,5.294155134966589,2,0.062973
69,C-train-4,contraction,region_aware_5pct,noise_3pct,0.15186,0.375584,0.6447641348847074,8.319904122471775e-05,295.4351924921086,2,0.12441600000000003
313,C-train-4,contraction,region_aware_5pct,noise_3pct,1.46641,0.4,0.5440757859810171,-8.299981660946586e-05,283.2183725615879,2,0.09999999999999998
247,C-train-4,contraction,region_aware_5pct,noise_3pct,0.758111,-0.4,0.543622228269457,1.0951850713106929e-05,285.3089167016673,2,0.09999999999999998
566,C-train-4,contraction,region_aware_5pct,noise_3pct,3.67113,0.4,0.5382990760490386,-0.0002674877041315873,255.09466859390187,2,0.09999999999999998
1913,C-train-4,contraction,region_aware_5pct,noise_3pct,16.4195,-0.330556,0.7060460089348249,-0.00010823580414126616,30.394696687872678,2,0.09444399999999997
1083,C-train-4,contraction,region_aware_5pct,noise_3pct,8.44967,0.337122,0.7003028471771415,-0.007233222384376674,185.50759474380098,2,0.09631998648229101
979,C-train-4,contraction,region_aware_5pct,noise_3pct,7.46315,-0.351851,0.649207237492094,0.011377508083907754,206.12517108979998,2,0.0999651700872527
2017,C-train-4,contraction,region_aware_5pct,noise_3pct,17.4281,0.31875,0.7411772552516331,0.00019268668654357516,11.691971965118476,2,0.10625000000000001
697,C-train-4,contraction,region_aware_5pct,noise_3pct,4.85828,0.398599,0.5323929025430729,-0.002356682613846622,238.67630198317855,2,0.09964979045482547
246,C-train-4,contraction,region_aware_5pct,noise_3pct,0.114806,-0.440516,0.3364712148087925,-5.8743219991495144e-05,295.6908187302483,2,0.05948399999999998
1749,C-train-4,contraction,region_aware_5pct,noise_3pct,14.9341,0.31875,0.7682029907491139,0.0001915108608277504,58.94067962932032,2,0.10625000000000001
1608,C-train-4,contraction,region_aware_5pct,noise_3pct,13.5486,0.330556,0.676203552603109,9.757637619340994e-05,86.4656673604308,2,0.09444399999999997
1102,C-train-4,contraction,region_aware_5pct,noise_3pct,8.64919,-0.335167,0.6763117981136467,0.006007463083230777,180.22776720280825,2,0.09576144942241616
1592,C-train-4,contraction,region_aware_5pct,noise_3pct,13.338,-0.31875,0.7757503218740349,3.49964894589552e-05,90.31170599043097,2,0.10625000000000001
563,C-train-4,contraction,region_aware_5pct,noise_3pct,3.57137,-0.4,0.5460827739695887,-7.374606605175462e-05,257.49207435068877,2,0.09999999999999998
1381,C-train-4,contraction,region_aware_5pct,noise_3pct,11.3427,0.31875,0.7755309255368272,0.00023601355266815305,128.98819435754623,2,0.10625000000000001
1973,C-train-4,contraction,region_aware_5pct,noise_3pct,17.0402,0.330556,0.6860696604025287,0.0001586364678958462,15.897948570112312,2,0.09444399999999997
587,C-train-4,contraction,region_aware_5pct,noise_3pct,3.76091,-0.4,0.5288130784346788,-0.00019460859208387713,253.80970929761006,2,0.09999999999999998
83,C-train-4,contraction,region_aware_5pct,noise_3pct,0.238617,0.390236,0.5777753511352838,2.3203020437423104e-05,297.1705993879733,2,0.10976399999999997
1144,C-train-4,contraction,region_aware_5pct,noise_3pct,9.03715,-0.332285,0.6970591509410891,0.003681974643005719,175.7092490733363,2,0.0951162575472424
430,C-train-4,contraction,region_aware_5pct,noise_3pct,2.45404,0.4,0.5332309853974617,-0.00014660020810527266,268.47969204823244,2,0.09999999999999998
272,C-train-4,contraction,region_aware_5pct,noise_3pct,1.16713,0.4,0.5123254262406448,-8.303836070790238e-07,285.33534124939115,2,0.09999999999999998
200,C-train-4,contraction,region_aware_5pct,noise_3pct,0.238616,-0.381309,0.6139047418054674,-5.4191556846945667e-05,294.06365602031946,2,0.11869099999999999
1709,C-train-4,contraction,region_aware_5pct,noise_3pct,14.5351,0.2125,1.3245358057870562,5.776682095629656e-05,64.4062241099063,0,0.2125
14,C-train-4,contraction,region_aware_5pct,noise_3pct,0.0393172,0.154814,1.3589166931226428,0.00027398533604737127,293.1325412679075,0,0.345186
1440,C-train-4,contraction,region_aware_5pct,noise_3pct,11.9413,0.10625,1.6548601024944296,-0.00020909925997537068,119.59465252886932,0,0.31875
