sample_id,case_id,family,sampling_tag,noise_tag,x_star,y_star,u_obs,v_obs,p_obs,region_id,wall_distance_star,u_obs_mask,v_obs_mask,p_obs_mask
910,C-train-5,contraction,region_aware_5pct,noise_3pct,7.90243,-0.00193419,,,353.6470441453165,1,0.3832469408969054,0,0,1
807,C-train-5,contraction,region_aware_5pct,noise_3pct,9.14967,0.0504876,,,313.468581360223,1,0.3029259115680157,0,0,1
1235,C-train-5,contraction,region_aware_5pct,noise_3pct,4.75939,0.298504,,,396.2985501660422,1,0.1990030083539682,0,0,1
1318,C-train-5,contraction,region_aware_5pct,noise_3pct,3.98112,-0.0999998,,,411.3083214625424,1,0.4000002,0,0,1
916,C-train-5,contraction,region_aware_5pct,noise_3pct,7.87125,-0.0975603,,,348.2903449217914,1,0.2888380914140831,0,0,1
1189,C-train-5,contraction,region_aware_5pct,noise_3pct,5.15851,0.0984176,,,392.6352143226248,1,0.393670373899154,0,0,1
920,C-train-5,contraction,region_aware_5pct,noise_3pct,7.81512,0.0952726,,,349.8636401574116,1,0.2933574969141386,0,0,1
1091,C-train-5,contraction,region_aware_5pct,noise_3pct,6.10641,0.154874,,,382.1285213065432,1,0.3096014257137316,0,0,1
786,C-train-5,contraction,region_aware_5pct,noise_3pct,9.4205,0.150258,,,301.5982728435188,1,0.200905216983751,0,0,1
1057,C-train-5,contraction,region_aware_5pct,noise_3pct,6.4002,0.0523939,,,385.9233947613215,1,0.3999814597600244,0,0,1
778,C-train-5,contraction,region_aware_5pct,noise_3pct,9.54878,0.150244,,,290.29153396336403,1,0.2003241716093534,0,0,1
1020,C-train-5,contraction,region_aware_5pct,noise_3pct,6.7328,0.241444,,,373.7645197813144,1,0.1960149181669845,0,0,1
853,C-train-5,contraction,region_aware_5pct,noise_3pct,8.59375,-0.0530559,,,329.9996299833556,1,0.3101031641103685,0,0,1
836,C-train-5,contraction,region_aware_5pct,noise_3pct,8.75055,-0.154143,,,316.98744791579884,1,0.2055238110245194,0,0,1
1371,C-train-5,contraction,region_aware_5pct,noise_3pct,3.56204,0.2,,,416.03688718247616,1,0.3,0,0,1
1329,C-train-5,contraction,region_aware_5pct,noise_3pct,3.96116,-1.74498e-09,,,416.5491247651335,1,0.49999999825502,0,0,1
1247,C-train-5,contraction,region_aware_5pct,noise_3pct,4.65961,0.199328,,,400.0008424696131,1,0.2989932298982625,0,0,1
1207,C-train-5,contraction,region_aware_5pct,noise_3pct,4.97891,-0.297443,,,394.9893637087808,1,0.1975329105299013,0,0,1
1063,C-train-5,contraction,region_aware_5pct,noise_3pct,6.35586,-0.252377,,,376.612646044343,1,0.2019018965229666,0,0,1
803,C-train-5,contraction,region_aware_5pct,noise_3pct,9.17818,-0.151749,,,314.3707403659083,1,0.2013569587305203,0,0,1
930,C-train-5,contraction,region_aware_5pct,noise_3pct,7.72782,0.194539,,,351.50712133444694,1,0.197659488050732,0,0,1
759,C-train-5,contraction,region_aware_5pct,noise_3pct,9.80536,0.0499689,,,288.75784540130314,1,0.3000798481010071,0,0,1
1177,C-train-5,contraction,region_aware_5pct,noise_3pct,5.23833,0.293704,,,398.9603343781879,1,0.1968544203292975,0,0,1
773,C-train-5,contraction,region_aware_5pct,noise_3pct,9.6058,-0.049914,,,302.1036076404143,1,0.30047056961142,0,0,1
1256,C-train-5,contraction,region_aware_5pct,noise_3pct,4.58977,-0.199766,,,396.7963264118973,1,0.299011208809094,0,0,1
