sample_id,case_id,family,sampling_tag,noise_tag,x_star,y_star,u_obs,v_obs,p_obs,region_id,wall_distance_star,u_obs_mask,v_obs_mask,p_obs_mask
910,C-train-5,contraction,region_aware_5pct,clean,7.90243,-0.00193419,,,347.591,1,0.3832469408969054,0,0,1
807,C-train-5,contraction,region_aware_5pct,clean,9.14967,0.0504876,,,309.398,1,0.3029259115680157,0,0,1
1235,C-train-5,contraction,region_aware_5pct,clean,4.75939,0.298504,,,401.362,1,0.1990030083539682,0,0,1
1318,C-train-5,contraction,region_aware_5pct,clean,3.98112,-0.0999998,,,410.713,1,0.4000002,0,0,1
916,C-train-5,contraction,region_aware_5pct,clean,7.87125,-0.0975603,,,348.437,1,0.2888380914140831,0,0,1
1189,C-train-5,contraction,region_aware_5pct,clean,5.15851,0.0984176,,,396.397,1,0.393670373899154,0,0,1
920,C-train-5,contraction,region_aware_5pct,clean,7.81512,0.0952726,,,349.885,1,0.2933574969141386,0,0,1
1091,C-train-5,contraction,region_aware_5pct,clean,6.10641,0.154874,,,383.519,1,0.3096014257137316,0,0,1
786,C-train-5,contraction,region_aware_5pct,clean,9.4205,0.150258,,,300.116,1,0.200905216983751,0,0,1
1057,C-train-5,contraction,region_aware_5pct,clean,6.4002,0.0523939,,,378.893,1,0.3999814597600244,0,0,1
778,C-train-5,contraction,region_aware_5pct,clean,9.54878,0.150244,,,295.657,1,0.2003241716093534,0,0,1
1020,C-train-5,contraction,region_aware_5pct,clean,6.7328,0.241444,,,373.373,1,0.1960149181669845,0,0,1
853,C-train-5,contraction,region_aware_5pct,clean,8.59375,-0.0530559,,,327.623,1,0.3101031641103685,0,0,1
836,C-train-5,contraction,region_aware_5pct,clean,8.75055,-0.154143,,,322.693,1,0.2055238110245194,0,0,1
1371,C-train-5,contraction,region_aware_5pct,clean,3.56204,0.2,,,415.742,1,0.3,0,0,1
1329,C-train-5,contraction,region_aware_5pct,clean,3.96116,-1.74498e-09,,,410.952,1,0.49999999825502,0,0,1
1247,C-train-5,contraction,region_aware_5pct,clean,4.65961,0.199328,,,402.556,1,0.2989932298982625,0,0,1
1207,C-train-5,contraction,region_aware_5pct,clean,4.97891,-0.297443,,,398.681,1,0.1975329105299013,0,0,1
1063,C-train-5,contraction,region_aware_5pct,clean,6.35586,-0.252377,,,379.748,1,0.2019018965229666,0,0,1
803,C-train-5,contraction,region_aware_5pct,clean,9.17818,-0.151749,,,308.458,1,0.2013569587305203,0,0,1
930,C-train-5,contraction,region_aware_5pct,clean,7.72782,0.194539,,,352.206,1,0.197659488050732,0,0,1
759,C-train-5,contraction,region_aware_5pct,clean,9.80536,0.0499689,,,286.692,1,0.3000798481010071,0,0,1
1177,C-train-5,contraction,region_aware_5pct,clean,5.23833,0.293704,,,395.448,1,0.1968544203292975,0,0,1
773,C-train-5,contraction,region_aware_5pct,clean,9.6058,-0.049914,,,293.66,1,0.30047056961142,0,0,1
