strategy,split,region_id,region_name,n_cases,mean_points,mean_rel_l2_speed,mean_rel_l2_p,mean_mae_speed,mean_mae_p
region-aware,test,0,主体区,2,611.5,0.028839880997733058,0.19453739922742558,0.04083928473468143,292.4636093350179
region-aware,test,1,收缩段,2,322.5,0.019107491771242466,0.18437315448155678,0.024030710730114285,305.5223324524854
region-aware,test,2,近壁区,2,788.5,0.04803994096265976,0.1950989647293329,0.032887212647674996,233.4319156452955
region-aware,val,0,主体区,1,576.0,0.027733163378385814,0.13514696481890692,0.04344994041785582,110.22091440219447
region-aware,val,1,收缩段,1,328.0,0.019710567459075116,0.09928219847996558,0.024028892729868807,90.7496974390244
region-aware,val,2,近壁区,1,785.0,0.038787488917872925,0.13101395732459434,0.021965432035322655,89.92053777636943
uniform,test,0,主体区,2,611.5,0.012082348788389999,0.18245782363504093,0.019686070189596158,278.81842706786875
uniform,test,1,收缩段,2,322.5,0.02384821706136493,0.18218742849310632,0.029436624364786643,316.64706447733914
uniform,test,2,近壁区,2,788.5,0.03503396587390484,0.19876578349519525,0.02333311860187551,241.09756456095067
uniform,val,0,主体区,1,576.0,0.011046907620996124,0.11540519726905984,0.017342464734614333,94.08739637673612
uniform,val,1,收缩段,1,328.0,0.026643814270755455,0.11325703312743789,0.03513199829981248,108.3659382621951
uniform,val,2,近壁区,1,785.0,0.037341655380085687,0.1278131852310891,0.020328806861355027,90.13352268687898
