阶段,轮次,总损失,验证_rel_l2_u,验证_rel_l2_v,验证_rel_l2_p,验证_rel_l2_speed,验证_max_speed_err_over_speed_max,验证_max_p_err_over_p_range,验证_p95_speed_err_over_speed_max,验证_p95_p_err_over_p_range,速度监督损失,速度_u损失,速度_v损失,壁面损失,入口流量损失,连续性损失,动量损失,速度阶段连续性权重,速度阶段动量权重,压力监督损失,出口压力损失,压降损失,压力阶段动量权重,耦合_速度监督损失,耦合_压力监督损失,耦合_壁面损失,耦合_入口流量损失,耦合_出口压力损失,耦合_压降损失,耦合_连续性损失,耦合_动量损失,耦合_平均散度绝对值,耦合_最大散度绝对值
第一阶段_速度模型,1,3.082415819168091,0.7334355711936951,0.6818873286247253,0.4979207217693329,0.4749480187892914,0.5960819721221924,0.5591002106666565,0.541313111782074,0.5072699785232544,2.1991705894470215,1.0360713005065918,1.1630992889404297,0.74724942445755,0.27199023962020874,6.516874691442354e-06,5.540997335629072e-06,0.1,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,2,2.729724884033203,0.704342782497406,0.637719452381134,0.4979207217693329,0.4460805058479309,0.5395342707633972,0.5591002106666565,0.4956424832344055,0.5072699785232544,1.9729937314987183,0.9535876512527466,1.0194060802459717,0.6331167221069336,0.2472270429134369,6.180326636240352e-06,5.524246716959169e-06,0.1,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,3,2.40970778465271,0.6751207113265991,0.5951587557792664,0.4979207217693329,0.41818052530288696,0.48538464307785034,0.5591002106666565,0.45135027170181274,0.5072699785232544,1.765796422958374,0.8745580911636353,0.891238272190094,0.5324240326881409,0.2229735106229782,6.1984246713109314e-06,5.5043947213562205e-06,0.1,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,4,2.1181743144989014,0.6456092596054077,0.5539219975471497,0.4979207217693329,0.39114731550216675,0.4333990812301636,0.5591002106666565,0.41104862093925476,0.5072699785232544,1.5749118328094482,0.798822820186615,0.776089072227478,0.4436292350292206,0.1992650181055069,6.532676707138307e-06,5.480487743625417e-06,0.1,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,5,1.8519123792648315,0.6156740784645081,0.5138245224952698,0.4979207217693329,0.36489996314048767,0.3917075991630554,0.5591002106666565,0.38071760535240173,0.5072699785232544,1.398299217224121,0.7260357737541199,0.672263503074646,0.36558571457862854,0.17605356872081757,7.171647666837089e-06,5.453036465041805e-06,0.1,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,6,1.6086839437484741,0.5852059721946716,0.47483402490615845,0.4979207217693329,0.33941709995269775,0.3700931668281555,0.5591002106666565,0.35554733872413635,0.5072699785232544,1.2344955205917358,0.655980110168457,0.5785154104232788,0.2975239157676697,0.15332749485969543,8.107133908197284e-06,5.422195499704685e-06,0.1,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,7,1.387264370918274,0.5541422367095947,0.43712377548217773,0.4979207217693329,0.31476691365242004,0.358640193939209,0.5591002106666565,0.3352089822292328,0.5072699785232544,1.082645058631897,0.5885789394378662,0.4940660893917084,0.23904956877231598,0.1311376988887787,9.340726137452293e-06,5.3877920436207205e-06,0.1,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,8,1.1874134540557861,0.5224956274032593,0.40112414956092834,0.4979207217693329,0.29113805294036865,0.3460175395011902,0.5591002106666565,0.3164658844470978,0.5072699785232544,0.9425125122070312,0.5239253640174866,0.4185871183872223,0.1900983452796936,0.10960305482149124,1.0887556527450215e-05,5.3494131861953065e-06,0.1,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,9,1.0097676515579224,0.49039188027381897,0.3675661087036133,0.4979207217693329,0.2688695788383484,0.3335373103618622,0.5591002106666565,0.2975892126560211,0.5072699785232544,0.8144308924674988,0.46230649948120117,0.3521243929862976,0.15087628364562988,0.08891824632883072,1.2777140909747686e-05,5.3064559324411675e-06,0.1,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,10,0.8556399345397949,0.4581162929534912,0.33747202157974243,0.4979207217693329,0.24846941232681274,0.3237043619155884,0.5591002106666565,0.2799649238586426,0.5072699785232544,0.6991994380950928,0.4042229950428009,0.29497647285461426,0.12175775319337845,0.0693625658750534,1.5050083675305359e-05,5.258152668830007e-06,0.1,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,11,0.7266862392425537,0.4261658787727356,0.31202277541160583,0.4979207217693329,0.23059521615505219,0.31236085295677185,0.5591002106666565,0.2730773985385895,0.5072699785232544,0.5979082584381104,0.35038837790489197,0.24751991033554077,0.10312208533287048,0.05130811408162117,1.7758244212018326e-05,5.203495675232261e-06,0.1,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,12,0.6243895888328552,0.3952944576740265,0.29223597049713135,0.4979207217693329,0.21594491600990295,0.3340262174606323,0.5591002106666565,0.2699880003929138,0.5072699785232544,0.5116692781448364,0.30169880390167236,0.20997044444084167,0.09510800242424011,0.035220444202423096,2.0960675101378e-05,5.141347628523363e-06,0.1,0.0,,,,,,,,,,,,,,
