阶段,轮次,总损失,验证_rel_l2_u,验证_rel_l2_v,验证_rel_l2_p,验证_rel_l2_speed,验证_max_speed_err_over_speed_max,验证_max_p_err_over_p_range,验证_p95_speed_err_over_speed_max,验证_p95_p_err_over_p_range,速度监督损失,速度_u损失,速度_v损失,壁面损失,入口流量损失,连续性损失,动量损失,速度阶段连续性权重,速度阶段动量权重,压力监督损失,出口压力损失,压降损失,压力阶段动量权重,耦合_速度监督损失,耦合_压力监督损失,耦合_壁面损失,耦合_入口流量损失,耦合_出口压力损失,耦合_压降损失,耦合_连续性损失,耦合_动量损失,耦合_平均散度绝对值,耦合_最大散度绝对值
第一阶段_速度模型,1,2.0235183238983154,0.6967597007751465,0.6168645024299622,0.5036401748657227,0.37727731466293335,0.4619055688381195,0.5506622791290283,0.4321520924568176,0.5017094612121582,2.023510217666626,0.9660285711288452,1.0574816465377808,6.581579281572658e-09,0.2879262864589691,2.696596857276745e-05,7.25102872820571e-05,0.3,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,2,1.857637643814087,0.6768975853919983,0.5855699181556702,0.5036401748657227,0.36129429936408997,0.4474733769893646,0.5506622791290283,0.4118790328502655,0.5017094612121582,1.8576313257217407,0.909869909286499,0.9477614164352417,6.274280650586661e-09,0.2668004631996155,2.0963876522728242e-05,7.171632023528218e-05,0.3,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,3,1.7019883394241333,0.6567180156707764,0.5549734234809875,0.5036401748657227,0.34531012177467346,0.4329744577407837,0.5506622791290283,0.3994259238243103,0.5017094612121582,1.7019833326339722,0.8550896048545837,0.8468937277793884,5.977156103398329e-09,0.24640235304832458,1.6530995708308183e-05,7.089690916473046e-05,0.3,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,4,1.5552513599395752,0.6361149549484253,0.5248729586601257,0.5036401748657227,0.3293388783931732,0.42122480273246765,0.5506622791290283,0.388324499130249,0.5017094612121582,1.5552473068237305,0.8014107942581177,0.7538365721702576,5.68923397281651e-09,0.22653606534004211,1.3440499969874509e-05,7.005190127529204e-05,0.3,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,5,1.4162691831588745,0.6149711608886719,0.4950982630252838,0.5036401748657227,0.31341561675071716,0.4090488851070404,0.5506622791290283,0.3768889009952545,0.5017094612121582,1.4162657260894775,0.7486432790756226,0.6676223874092102,5.4111368719134134e-09,0.2070988118648529,1.1458036169642583e-05,6.917717109899968e-05,0.3,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,6,1.2840933799743652,0.5931626558303833,0.4655168652534485,0.5036401748657227,0.2975821793079376,0.3964933454990387,0.5506622791290283,0.365023672580719,0.5017094612121582,1.284090280532837,0.6965945363044739,0.5874958038330078,5.143107717486828e-09,0.18801498413085938,1.0365583875682205e-05,6.8269444454927e-05,0.3,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,7,1.1580071449279785,0.570563018321991,0.4360418915748596,0.5036401748657227,0.2818796634674072,0.38354986906051636,0.5506622791290283,0.3557497262954712,0.5017094612121582,1.1580041646957397,0.6450988054275513,0.5129053592681885,4.88553952848747e-09,0.16924314200878143,9.975356988434214e-06,6.732680776622146e-05,0.3,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,8,1.0375359058380127,0.547045111656189,0.40664932131767273,0.5036401748657227,0.26634952425956726,0.37019968032836914,0.5506622791290283,0.34445515275001526,0.5017094612121582,1.0375328063964844,0.5940345525741577,0.44349831342697144,4.638911033083559e-09,0.15076744556427002,1.0140300219063647e-05,6.634859892074019e-05,0.3,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,9,0.9224661588668823,0.5224840641021729,0.3773975968360901,0.5036401748657227,0.25104257464408875,0.3573000431060791,0.5506622791290283,0.3333418667316437,0.5017094612121582,0.9224629402160645,0.5433349609375,0.37912794947624207,4.403756470594544e-09,0.1325959414243698,1.07588912214851e-05,6.533525447594002e-05,0.3,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,10,0.8128476142883301,0.49676528573036194,0.34844526648521423,0.5036401748657227,0.23602649569511414,0.34505170583724976,0.5506622791290283,0.32155632972717285,0.5017094612121582,0.8128440976142883,0.492998868227005,0.3198452293872833,4.180724655356016e-09,0.11476784944534302,1.1770875062211417e-05,6.428813503589481e-05,0.3,0.0,,,,,,,,,,,,,,
