阶段,轮次,总损失,验证_rel_l2_u,验证_rel_l2_v,验证_rel_l2_p,验证_rel_l2_speed,验证_max_speed_err_over_speed_max,验证_max_p_err_over_p_range,验证_p95_speed_err_over_speed_max,验证_p95_p_err_over_p_range,速度监督损失,速度_u损失,速度_v损失,壁面损失,入口流量损失,连续性损失,动量损失,速度阶段连续性权重,速度阶段动量权重,压力监督损失,出口压力损失,压降损失,压力阶段动量权重,耦合_速度监督损失,耦合_压力监督损失,耦合_壁面损失,耦合_入口流量损失,耦合_出口压力损失,耦合_压降损失,耦合_连续性损失,耦合_动量损失,耦合_平均散度绝对值,耦合_最大散度绝对值
第一阶段_速度模型,1,2.021347999572754,0.5911779999732971,0.9986600279808044,0.7003747224807739,0.5911609530448914,0.6125101447105408,0.7248623371124268,0.5738447308540344,0.7171414494514465,2.015446662902832,1.0113383531570435,1.0041084289550781,1.2133442163467407,0.011802900582551956,1.6548513315228774e-07,0.000909156515263021,0.3,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,2,1.9963760375976562,0.5876851677894592,0.9945328235626221,0.7003747224807739,0.5876681208610535,0.6047607660293579,0.7248623371124268,0.5678038001060486,0.7171414494514465,1.992783546447754,0.9988043904304504,0.9939792156219482,1.208379864692688,0.007184843998402357,3.3357065376549144e-07,0.0009196248138323426,0.3,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,3,1.9744240045547485,0.5842714905738831,0.9906615018844604,0.7003747224807739,0.5842544436454773,0.5967114567756653,0.7248623371124268,0.5615614056587219,0.7171414494514465,1.9724528789520264,0.987647294998169,0.9848055243492126,1.2054506540298462,0.003941617906093597,1.1301056019874522e-06,0.0009446564363315701,0.3,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,4,1.955262541770935,0.5809251666069031,0.9870404005050659,0.7003747224807739,0.5809080004692078,0.5882928967475891,0.7248623371124268,0.5551444888114929,0.7171414494514465,1.954284906387329,0.9777254462242126,0.9765594005584717,1.2051031589508057,0.0019539345521479845,2.5095152977883117e-06,0.0009881843579933047,0.3,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,5,1.9386459589004517,0.5776674151420593,0.9836627840995789,0.7003747224807739,0.5776501297950745,0.5795614123344421,0.7248623371124268,0.5479612946510315,0.7171414494514465,1.938114881515503,0.9689027070999146,0.9692121148109436,1.2077367305755615,0.0010595967760309577,4.426933173817815e-06,0.001056764042004943,0.3,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,6,1.9243524074554443,0.5745354294776917,0.9805216789245605,0.7003747224807739,0.5745177865028381,0.5706486105918884,0.7248623371124268,0.54092937707901,0.7171414494514465,1.9238159656524658,0.9610825181007385,0.9627333879470825,1.2130755186080933,0.0010688448091968894,6.836750344518805e-06,0.001160644693300128,0.3,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,7,1.912196159362793,0.5715659260749817,0.9776126146316528,0.7003747224807739,0.5715481638908386,0.5617076754570007,0.7248623371124268,0.5335419774055481,0.7171414494514465,1.9112889766693115,0.9541955590248108,0.957093358039856,1.2204934358596802,0.0018087174976244569,9.682640666142106e-06,0.0013155366759747267,0.3,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,8,1.9020053148269653,0.5687918663024902,0.9749348759651184,0.7003747224807739,0.5687737464904785,0.5529032349586487,0.7248623371124268,0.5259670615196228,0.7171414494514465,1.9004390239715576,0.948173999786377,0.9522649645805359,1.2293602228164673,0.003125047544017434,1.2884014722658321e-05,0.0015443008160218596,0.3,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,9,1.8935948610305786,0.566239595413208,0.9724913835525513,0.7003747224807739,0.566221296787262,0.5444110035896301,0.7248623371124268,0.5184041857719421,0.7171414494514465,1.891158103942871,0.9429330825805664,0.9482250213623047,1.2391133308410645,0.004863745998591185,1.6323003364959732e-05,0.0018788431771099567,0.3,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,10,1.886745810508728,0.5639276504516602,0.9702890515327454,0.7003747224807739,0.563909113407135,0.5364137291908264,0.7248623371124268,0.5115572214126587,0.7171414494514465,1.8833119869232178,0.9383609890937805,0.944951057434082,1.2492425441741943,0.0068556140176951885,1.983679976547137e-05,0.00236196955665946,0.3,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,11,1.8811975717544556,0.56186443567276,0.9683368802070618,0.7003747224807739,0.561845600605011,0.5299385190010071,0.7248623371124268,0.5047937035560608,0.7171414494514465,1.8767335414886475,0.9343162178993225,0.942417323589325,1.259275197982788,0.00891429465264082,2.3223929019877687e-05,0.0030485300812870264,0.3,0.0,,,,,,,,,,,,,,
