阶段,轮次,总损失,验证_rel_l2_u,验证_rel_l2_v,验证_rel_l2_p,验证_rel_l2_speed,验证_max_speed_err_over_speed_max,验证_max_p_err_over_p_range,验证_p95_speed_err_over_speed_max,验证_p95_p_err_over_p_range,速度监督损失,速度_u损失,速度_v损失,壁面损失,入口流量损失,连续性损失,动量损失,速度阶段连续性权重,速度阶段动量权重,压力监督损失,出口压力损失,压降损失,压力阶段动量权重,耦合_速度监督损失,耦合_压力监督损失,耦合_壁面损失,耦合_入口流量损失,耦合_出口压力损失,耦合_压降损失,耦合_连续性损失,耦合_动量损失,耦合_平均散度绝对值,耦合_最大散度绝对值
第一阶段_速度模型,1,2.671628952026367,0.49170446395874023,0.9960083365440369,0.7103986144065857,0.4917008876800537,0.605445921421051,0.7714226841926575,0.580144464969635,0.7363949418067932,2.6712687015533447,0.45925062894821167,2.2120180130004883,3.709081305980355e-11,0.0007207119488157332,3.632494127714381e-08,0.000862751214299351,0.3,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,2,2.573645830154419,0.4746672213077545,0.9909548759460449,0.7103986144065857,0.47466376423835754,0.5817790627479553,0.7714226841926575,0.5625216364860535,0.7363949418067932,2.5733232498168945,0.4168326258659363,2.1564905643463135,3.628873243566311e-11,0.0006449471111409366,7.101793642050325e-08,0.0008496037917211652,0.3,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,3,2.4793050289154053,0.45762062072753906,0.9861793518066406,0.7103986144065857,0.4576173424720764,0.5579245686531067,0.7714226841926575,0.5443844795227051,0.7363949418067932,2.479004144668579,0.377011775970459,2.10199236869812,3.5477953908014115e-11,0.0006019838619977236,1.2884422062597878e-07,0.0008470513275824487,0.3,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,4,2.388131618499756,0.440456748008728,0.9816322922706604,0.7103986144065857,0.44045352935791016,0.5419723391532898,0.7714226841926575,0.5243043899536133,0.7363949418067932,2.3878352642059326,0.33958229422569275,2.048253059387207,3.4661742226438363e-11,0.0005929398466832936,2.1128731475528184e-07,0.0008550512720830739,0.3,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,5,2.2996959686279297,0.4230848252773285,0.9772666692733765,0.7103986144065857,0.42308178544044495,0.5259266495704651,0.7714226841926575,0.5057188868522644,0.7363949418067932,2.2993884086608887,0.3043821454048157,1.9950063228607178,3.383899410680513e-11,0.0006150741246528924,3.183037335929839e-07,0.0008737478055991232,0.3,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,6,2.21364164352417,0.4054228365421295,0.973040759563446,0.7103986144065857,0.4054200053215027,0.5095045566558838,0.7714226841926575,0.4863431453704834,0.7363949418067932,2.2133097648620605,0.2713153660297394,1.941994309425354,3.300697215546933e-11,0.0006634870660491288,4.4988829017711396e-07,0.0009032506495714188,0.3,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,7,2.1296911239624023,0.38739943504333496,0.9689202308654785,0.7103986144065857,0.38739675283432007,0.49263229966163635,0.7714226841926575,0.4663439989089966,0.7363949418067932,2.1293249130249023,0.24034085869789124,1.8889840841293335,3.216528779437233e-11,0.0007317638373933733,6.061464432605135e-07,0.00094369932776317,0.3,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,8,2.0476460456848145,0.36896324157714844,0.9648741483688354,0.7103986144065857,0.36896073818206787,0.47525039315223694,0.7714226841926575,0.4463624060153961,0.7363949418067932,2.0472395420074463,0.21146443486213684,1.8357750177383423,3.1315606358051085e-11,0.0008123168372549117,7.874356242609792e-07,0.000995235750451684,0.3,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,9,1.967382550239563,0.35008788108825684,0.9608732461929321,0.7103986144065857,0.35008570551872253,0.45731881260871887,0.7714226841926575,0.42536357045173645,0.7363949418067932,1.9669337272644043,0.18472926318645477,1.782204508781433,3.0459402361460164e-11,0.0008970347116701305,9.946801355908974e-07,0.0010579106165096164,0.3,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,10,1.8888537883758545,0.3307759165763855,0.9568898677825928,0.7103986144065857,0.3307739496231079,0.43881916999816895,0.7714226841926575,0.4038388729095459,0.7363949418067932,1.888364553451538,0.1602066308259964,1.728157877922058,2.9597126832703324e-11,0.0009777158265933394,1.2293879763092264e-06,0.0011316032614558935,0.3,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,11,1.8120838403701782,0.3110625445842743,0.9528983235359192,0.7103986144065857,0.31106096506118774,0.4197582006454468,0.7714226841926575,0.3816671669483185,0.7363949418067932,1.8115601539611816,0.13798630237579346,1.6735738515853882,2.872876936343971e-11,0.001046320074237883,1.4935019407857908e-06,0.0012159745674580336,0.3,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,12,1.737161636352539,0.2910219430923462,0.94887375831604,0.7103986144065857,0.2910206913948059,0.4001736342906952,0.7714226841926575,0.35847631096839905,0.7363949418067932,1.736613392829895,0.11816413700580597,1.6184492111206055,2.7854501691293443e-11,0.0010953762102872133,1.7892783716888516e-06,0.0013103997334837914,0.3,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,13,1.6642324924468994,0.2707742154598236,0.9447922110557556,0.7103986144065857,0.27077344059944153,0.38014188408851624,0.7714226841926575,0.33474409580230713,0.7363949418067932,1.6636725664138794,0.10082563757896423,1.5628468990325928,2.69748164777317e-11,0.001118611660785973,2.1192768144828733e-06,0.0014138456899672747,0.3,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,14,1.5934799909591675,0.25049206614494324,0.9406291842460632,0.7103986144065857,0.2504918873310089,0.3597857654094696,0.7714226841926575,0.3114376366138458,0.7363949418067932,1.5929234027862549,0.08602593094110489,1.5068974494934082,2.6090478735807388e-11,0.0011116530513390899,2.4863886665116297e-06,0.0015247096307575703,0.3,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,15,1.5251096487045288,0.2304055392742157,0.9363582134246826,0.7103986144065857,0.2304060012102127,0.339280366897583,0.7714226841926575,0.2890967130661011,0.7363949418067932,1.5245723724365234,0.07376828789710999,1.4508041143417358,2.5202683689995453e-11,0.0010728969937190413,2.8939734875166323e-06,0.001640674308873713,0.3,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,16,1.4593288898468018,0.2108030766248703,0.9319503903388977,0.7103986144065857,0.21080440282821655,0.31885528564453125,0.7714226841926575,0.26621946692466736,0.7363949418067932,1.458825707435608,0.06398387253284454,1.3948417901992798,2.4313233717987437e-11,0.001004422432743013,3.346271569171222e-06,0.0017586334142833948,0.3,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,17,1.3963297605514526,0.1920241266489029,0.927372932434082,0.7103986144065857,0.1920265257358551,0.2987929582595825,0.7714226841926575,0.2428538054227829,0.7363949418067932,1.3958723545074463,0.056516122072935104,1.3393561840057373,2.3424635495206125e-11,0.0009124740608967841,3.849014774459647e-06,0.001874713459983468,0.3,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,18,1.3362714052200317,0.17444071173667908,0.9225882291793823,0.7103986144065857,0.17444445192813873,0.27941837906837463,0.7714226841926575,0.2211417704820633,0.7363949418067932,1.3358665704727173,0.0511135533452034,1.2847529649734497,2.2540046218377796e-11,0.0008070045150816441,4.410018391354242e-06,0.0019843901973217726,0.3,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,19,1.2792699337005615,0.15842513740062714,0.9175531268119812,0.7103986144065857,0.15843063592910767,0.2610796391963959,0.7714226841926575,0.201182559132576,0.7363949418067932,1.2789181470870972,0.047435253858566284,1.2314828634262085,2.1663075847055957e-11,0.0007004164508543909,5.040067208028631e-06,0.0020827227272093296,0.3,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,20,1.2253921031951904,0.14430643618106842,0.9122189283370972,0.7103986144065857,0.14431409537792206,0.24412162601947784,0.7714226841926575,0.18232357501983643,0.7363949418067932,1.2250876426696777,0.04507321119308472,1.1800143718719482,2.0797656999360647e-11,0.0006055383128114045,5.753943241870729e-06,0.0021647445391863585,0.3,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,21,1.1746588945388794,0.13232366740703583,0.9065349102020264,0.7103986144065857,0.13233397901058197,0.22933299839496613,0.7714226841926575,0.16727395355701447,0.7363949418067932,1.174390196800232,0.043590690940618515,1.1307995319366455,1.9947947807463784e-11,0.0005332382279448211,6.5708427428035066e-06,0.002226011361926794,0.3,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,22,1.1270514726638794,0.12258968502283096,0.900453507900238,0.7103986144065857,0.12260310351848602,0.2171972543001175,0.7714226841926575,0.15370811522006989,0.7363949418067932,1.1268041133880615,0.04257095232605934,1.0842331647872925,1.911856437053494e-11,0.0004902229993604124,7.513800483138766e-06,0.0022631767205893993,0.3,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,23,1.0825117826461792,0.11507852375507355,0.8939380049705505,0.7103986144065857,0.11509544402360916,0.2072487622499466,0.7714226841926575,0.14312636852264404,0.7363949418067932,1.0822703838348389,0.04166477918624878,1.0406056642532349,1.831480973824018e-11,0.0004776071000378579,8.607767085777596e-06,0.0022743705194443464,0.3,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,24,1.0409342050552368,0.10964294523000717,0.8869726061820984,0.7103986144065857,0.10966364294290543,0.1995154172182083,0.7714226841926575,0.1355372816324234,0.7363949418067932,1.040685772895813,0.04062570258975029,1.0000600814819336,1.7543001773479006e-11,0.0004908161354251206,9.875724572339095e-06,0.002259261440485716,0.3,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,25,1.0021476745605469,0.10605528205633163,0.8795730471611023,0.7103986144065857,0.1060798391699791,0.19395940005779266,0.7714226841926575,0.12998659908771515,0.7363949418067932,1.0018837451934814,0.03932398557662964,0.962559700012207,1.6810603256645074e-11,0.0005209529190324247,1.1333036127325613e-05,0.0022190113086253405,0.3,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,26,0.9659035205841064,0.10405172407627106,0.8717948794364929,0.7103986144065857,0.10408000648021698,0.19044065475463867,0.7714226841926575,0.12733735144138336,0.7363949418067932,0.9656210541725159,0.03773912414908409,0.9278819561004639,1.6126180252262756e-11,0.000557130144443363,1.298150800721487e-05,0.0021563328336924314,0.3,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,27,0.9318739175796509,0.1033635288476944,0.8637353777885437,0.7103986144065857,0.10339520126581192,0.18861007690429688,0.7714226841926575,0.1245972141623497,0.7363949418067932,0.9315750598907471,0.03593440353870392,0.8956406712532043,1.5499417721498432e-11,0.0005888103041797876,1.4804955753788818e-05,0.002075448166579008,0.3,0.0,,,,,,,,,,,,,,
