阶段,轮次,总损失,验证_rel_l2_u,验证_rel_l2_v,验证_rel_l2_p,验证_rel_l2_speed,验证_max_speed_err_over_speed_max,验证_max_p_err_over_p_range,验证_p95_speed_err_over_speed_max,验证_p95_p_err_over_p_range,速度监督损失,速度_u损失,速度_v损失,壁面损失,入口流量损失,连续性损失,动量损失,速度阶段连续性权重,速度阶段动量权重,压力监督损失,出口压力损失,压降损失,压力阶段动量权重,耦合_速度监督损失,耦合_压力监督损失,耦合_壁面损失,耦合_入口流量损失,耦合_出口压力损失,耦合_压降损失,耦合_连续性损失,耦合_动量损失,耦合_平均散度绝对值,耦合_最大散度绝对值
第一阶段_速度模型,1,2.7572453022003174,0.48838818073272705,0.9948643445968628,0.7103986144065857,0.48838433623313904,0.6023206114768982,0.7714226841926575,0.5770179629325867,0.7363949418067932,2.756885051727295,0.4949907958507538,2.2618942260742188,3.709081305980355e-11,0.0007207119488157332,3.632494127714381e-08,0.000862751214299351,0.3,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,2,2.670337677001953,0.46804124116897583,0.9884433150291443,0.7103986144065857,0.4680372476577759,0.5753658413887024,0.7714226841926575,0.5561665296554565,0.7363949418067932,2.6699206829071045,0.4437702000141144,2.2261505126953125,3.668680984003636e-11,0.0008338947664014995,6.248014017273817e-08,0.0008495443616993725,0.3,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,3,2.5881175994873047,0.4477027952671051,0.9821122288703918,0.7103986144065857,0.44769856333732605,0.5491575598716736,0.7714226841926575,0.534433901309967,0.7363949418067932,2.587632417678833,0.39595869183540344,2.191673755645752,3.624228347987035e-11,0.0009705370175652206,9.991546789933636e-08,0.0008491990738548338,0.3,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,4,2.5100855827331543,0.42725858092308044,0.9758405089378357,0.7103986144065857,0.4272540807723999,0.5305727124214172,0.7714226841926575,0.5115345120429993,0.7363949418067932,2.5095226764678955,0.3512093722820282,2.158313274383545,3.577009521915642e-11,0.0011257637524977326,1.4941468862161855e-07,0.0008615960250608623,0.3,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,5,2.4358410835266113,0.4066046476364136,0.969589352607727,0.7103986144065857,0.4065997898578644,0.5116744637489319,0.7714226841926575,0.4896250069141388,0.7363949418067932,2.435192823410034,0.30932101607322693,2.1258718967437744,3.527140385317651e-11,0.0012966067297384143,2.11706151276303e-07,0.0008867894066497684,0.3,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,6,2.3650572299957275,0.385646253824234,0.9633198380470276,0.7103986144065857,0.3856409788131714,0.49235785007476807,0.7714226841926575,0.46686580777168274,0.7363949418067932,2.364316701889038,0.2701786458492279,2.0941381454467773,3.4742906468432366e-11,0.001481152605265379,2.8743642133122194e-07,0.0009250055300071836,0.3,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,7,2.297494649887085,0.36430802941322327,0.9569932222366333,0.7103986144065857,0.36430227756500244,0.47252926230430603,0.7714226841926575,0.44378694891929626,0.7363949418067932,2.2966556549072266,0.23374904692173004,2.062906503677368,3.418028707291576e-11,0.0016777937998995185,3.772504442167701e-07,0.0009765718132257462,0.3,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,8,2.2330105304718018,0.3425423204898834,0.9505730271339417,0.7103986144065857,0.34253591299057007,0.45211175084114075,0.7714226841926575,0.419935017824173,0.7363949418067932,2.2320680618286133,0.2000812590122223,2.031986713409424,3.357869537978786e-11,0.0018843096913769841,4.81745473734918e-07,0.0010417926823720336,0.3,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,9,2.1715505123138428,0.3203408122062683,0.9440248012542725,0.7103986144065857,0.3203336298465729,0.43105432391166687,0.7714226841926575,0.3951896131038666,0.7363949418067932,2.170501708984375,0.1692928969860077,2.001208782196045,3.2932892524151214e-11,0.002096915617585182,6.01294232183136e-07,0.0011208609212189913,0.3,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,10,2.11313533782959,0.29774823784828186,0.9373183250427246,0.7103986144065857,0.2977401614189148,0.40934351086616516,0.7714226841926575,0.3697390556335449,0.7363949418067932,2.111980438232422,0.14155548810958862,1.970425009727478,3.223721983802719e-11,0.0023093088530004025,7.358426046266686e-07,0.001213734271004796,0.3,0.0,,,,,,,,,,,,,,
