阶段,轮次,总损失,验证_rel_l2_u,验证_rel_l2_v,验证_rel_l2_p,验证_rel_l2_speed,验证_max_speed_err_over_speed_max,验证_max_p_err_over_p_range,验证_p95_speed_err_over_speed_max,验证_p95_p_err_over_p_range,速度监督损失,速度_u损失,速度_v损失,壁面损失,入口流量损失,连续性损失,动量损失,速度阶段连续性权重,速度阶段动量权重,压力监督损失,出口压力损失,压降损失,压力阶段动量权重,耦合_速度监督损失,耦合_压力监督损失,耦合_壁面损失,耦合_入口流量损失,耦合_出口压力损失,耦合_压降损失,耦合_连续性损失,耦合_动量损失,耦合_平均散度绝对值,耦合_最大散度绝对值
第一阶段_速度模型,1,1.5741355419158936,0.4856029152870178,0.9974126219749451,0.7103986144065857,0.4856000542640686,0.5965077877044678,0.7714226841926575,0.5727760195732117,0.7363949418067932,1.5737751722335815,0.6291937232017517,0.9445814490318298,3.709081305980355e-11,0.0007207119488157332,3.632494127714381e-08,0.000862751214299351,0.3,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,2,1.4885462522506714,0.4623759984970093,0.9934474229812622,0.7103986144065857,0.4623740017414093,0.5637595057487488,0.7714226841926575,0.5472339987754822,0.7363949418067932,1.4881656169891357,0.5568705201148987,0.9312951564788818,3.6343143772210595e-11,0.0007613341440446675,1.2441545038655022e-07,0.0008472701883874834,0.3,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,3,1.4083045721054077,0.4390013515949249,0.9894867539405823,0.7103986144065857,0.43900027871131897,0.540492594242096,0.7714226841926575,0.5199043154716492,0.7363949418067932,1.407894492149353,0.48945602774620056,0.9184384346008301,3.560762101839643e-11,0.0008198151481337845,3.138309807582118e-07,0.0008585416944697499,0.3,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,4,1.3328628540039062,0.41530337929725647,0.9855233430862427,0.7103986144065857,0.41530323028564453,0.5187926888465881,0.7714226841926575,0.4934249818325043,0.7363949418067932,1.3324151039123535,0.42644616961479187,0.905968964099884,3.487960614778629e-11,0.0008949976763688028,5.99067334405845e-07,0.0008963897125795484,0.3,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,5,1.2618517875671387,0.3911324739456177,0.9815509915351868,0.7103986144065857,0.3911333382129669,0.49654674530029297,0.7714226841926575,0.46656784415245056,0.7363949418067932,1.2613587379455566,0.3675187826156616,0.8938398957252502,3.4149676142458674e-11,0.0009857319528236985,9.801563010114478e-07,0.0009610789711587131,0.3,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,6,1.1951017379760742,0.36636093258857727,0.9775587320327759,0.7103986144065857,0.36636289954185486,0.47371146082878113,0.7714226841926575,0.4387708902359009,0.7363949418067932,1.1945563554763794,0.31255659461021423,0.8819997310638428,3.340900819881476e-11,0.001089847763068974,1.4600911981688114e-06,0.0010529609862715006,0.3,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,7,1.1326289176940918,0.34088626503944397,0.9735284447669983,0.7103986144065857,0.3408893644809723,0.4500788450241089,0.7714226841926575,0.41039642691612244,0.7363949418067932,1.1320260763168335,0.26163479685783386,0.870391309261322,3.265147180409045e-11,0.0012045233743265271,2.043357198999729e-06,0.0011722974013537169,0.3,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,8,1.0746272802352905,0.31464752554893494,0.9694362878799438,0.7103986144065857,0.3146519064903259,0.4255113899707794,0.7714226841926575,0.38026702404022217,0.7363949418067932,1.0739634037017822,0.2150084376335144,0.8589550256729126,3.187475630661574e-11,0.0013261194108054042,2.7336209313943982e-06,0.0013191632460802794,0.3,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,9,1.021449089050293,0.28765037655830383,0.9652543067932129,0.7103986144065857,0.28765609860420227,0.3999287188053131,0.7714226841926575,0.35060372948646545,0.7363949418067932,1.0207232236862183,0.1730940043926239,0.8476292490959167,3.1079892132135356e-11,0.0014495247742161155,3.5303055483382195e-06,0.001493288786150515,0.3,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,10,0.9735785126686096,0.2600013017654419,0.9609522223472595,0.7103986144065857,0.2600085139274597,0.37330949306488037,0.7714226841926575,0.31830865144729614,0.7363949418067932,0.9727935791015625,0.13643944263458252,0.83635413646698,3.02707789390233e-11,0.0015671950532123446,4.4246571633266285e-06,0.0016938599292188883,0.3,0.0,,,,,,,,,,,,,,
