阶段,轮次,总损失,验证_rel_l2_u,验证_rel_l2_v,验证_rel_l2_p,验证_rel_l2_speed,验证_max_speed_err_over_speed_max,验证_max_p_err_over_p_range,验证_p95_speed_err_over_speed_max,验证_p95_p_err_over_p_range,速度监督损失,速度_u损失,速度_v损失,壁面损失,入口流量损失,连续性损失,动量损失,速度阶段连续性权重,速度阶段动量权重,压力监督损失,出口压力损失,压降损失,压力阶段动量权重,耦合_速度监督损失,耦合_压力监督损失,耦合_壁面损失,耦合_入口流量损失,耦合_出口压力损失,耦合_压降损失,耦合_连续性损失,耦合_动量损失,耦合_平均散度绝对值,耦合_最大散度绝对值
第一阶段_速度模型,1,1.8325153589248657,0.4467078149318695,0.9947291016578674,0.6900209784507751,0.44669920206069946,0.5607669949531555,0.7544202208518982,0.5358064770698547,0.715904176235199,1.8325135707855225,0.8456171751022339,0.9868964552879333,4.4439632529424955e-11,0.007742868736386299,5.844807674293406e-06,0.012514660134911537,0.3,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,2,1.7317993640899658,0.4293724000453949,0.9868370890617371,0.6900209784507751,0.42936429381370544,0.535577118396759,0.7544202208518982,0.5168400406837463,0.715904176235199,1.731797456741333,0.7646651268005371,0.9671323895454407,4.310558854303537e-11,0.0068805031478405,6.330329597403761e-06,0.012180089950561523,0.3,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,3,1.636685848236084,0.41193875670433044,0.9792232513427734,0.6900209784507751,0.41193118691444397,0.5128852128982544,0.7544202208518982,0.49708500504493713,0.715904176235199,1.636683702468872,0.6882252097129822,0.9484584331512451,4.178617521444217e-11,0.006068480666726828,7.1151616793940775e-06,0.012075561098754406,0.3,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,4,1.5465434789657593,0.39429065585136414,0.9718679189682007,0.6900209784507751,0.39428359270095825,0.4966293275356293,0.7544202208518982,0.47623300552368164,0.715904176235199,1.5465409755706787,0.6157168745994568,0.9308240413665771,4.0461488326482e-11,0.005301520694047213,8.178188181773294e-06,0.012222785502672195,0.3,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,5,1.4608962535858154,0.37630948424339294,0.9647414088249207,0.6900209784507751,0.3763030171394348,0.4799968898296356,0.7544202208518982,0.45590540766716003,0.715904176235199,1.4608933925628662,0.5467568635940552,0.9141365885734558,3.911677579071515e-11,0.004573856946080923,9.528906048217323e-06,0.012634683400392532,0.3,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,6,1.379429578781128,0.3578820824623108,0.9578147530555725,0.6900209784507751,0.35787615180015564,0.462863564491272,0.7544202208518982,0.43531152606010437,0.715904176235199,1.3794262409210205,0.48113054037094116,0.8982956409454346,3.774049822657943e-11,0.003880617441609502,1.1183094102307223e-05,0.013322548009455204,0.3,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,7,1.3020118474960327,0.3389066755771637,0.9510602355003357,0.6900209784507751,0.3389013111591339,0.4451102316379547,0.7544202208518982,0.41368284821510315,0.715904176235199,1.3020079135894775,0.418798565864563,0.8832093477249146,3.632517550644643e-11,0.0032237146515399218,1.3173575098335277e-05,0.014295260421931744,0.3,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,8,1.2287014722824097,0.3193044662475586,0.9444515705108643,0.6900209784507751,0.3192996382713318,0.42663002014160156,0.7544202208518982,0.3915785253047943,0.715904176235199,1.2286968231201172,0.3599017262458801,0.8687950372695923,3.486656796614085e-11,0.002611285774037242,1.554610025777947e-05,0.015560616739094257,0.3,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,9,1.1597425937652588,0.29903244972229004,0.9379612803459167,0.6900209784507751,0.2990282475948334,0.4073372781276703,0.7544202208518982,0.3686903417110443,0.715904176235199,1.1597371101379395,0.304760217666626,0.8549769520759583,3.336363130213016e-11,0.0020566179882735014,1.8352471670368686e-05,0.017125537618994713,0.3,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,10,1.0955570936203003,0.2780989706516266,0.9315606951713562,0.6900209784507751,0.2780953645706177,0.38717615604400635,0.7544202208518982,0.34411635994911194,0.715904176235199,1.0955506563186646,0.2538652718067169,0.84168541431427,3.1818225137980605e-11,0.001577868009917438,2.164205943699926e-05,0.018993327394127846,0.3,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,11,1.036720871925354,0.25658756494522095,0.9252201914787292,0.6900209784507751,0.2565845251083374,0.3661373555660248,0.7544202208518982,0.31927743554115295,0.715904176235199,1.0367132425308228,0.20785804092884064,0.8288551568984985,3.023469322127603e-11,0.0011973069049417973,2.5445358915021643e-05,0.02115768939256668,0.3,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,12,0.9839210510253906,0.23468634486198425,0.9189093708992004,0.6900209784507751,0.2346838265657425,0.3442803919315338,0.7544202208518982,0.29345229268074036,0.715904176235199,0.9839121103286743,0.16748572885990143,0.8164263963699341,2.8619915465322165e-11,0.0009397538378834724,2.9744100174866617e-05,0.02359537035226822,0.3,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,13,0.9378771185874939,0.21272195875644684,0.9125962853431702,0.6900209784507751,0.2127198725938797,0.3217627704143524,0.7544202208518982,0.267764151096344,0.715904176235199,0.9378668069839478,0.13352273404598236,0.8043440580368042,2.6983682649417418e-11,0.0008294146391563118,3.443830428295769e-05,0.026258092373609543,0.3,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,14,0.8992127180099487,0.19118689000606537,0.9062473177909851,0.6900209784507751,0.19118507206439972,0.29887303709983826,0.7544202208518982,0.242494598031044,0.715904176235199,0.8992009162902832,0.10664449632167816,0.7925564050674438,2.5339267142876487e-11,0.0008839464862830937,3.933574043912813e-05,0.02906280755996704,0.3,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,15,0.8682806491851807,0.1707378476858139,0.8998295664787292,0.6900209784507751,0.17073610424995422,0.27605366706848145,0.7544202208518982,0.2158622294664383,0.715904176235199,0.8682673573493958,0.087252676486969,0.7810146808624268,2.3704231286170163e-11,0.0011062653502449393,4.42135424236767e-05,0.03188330680131912,0.3,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,16,0.8449653387069702,0.15213903784751892,0.8933151960372925,0.6900209784507751,0.15213707089424133,0.25389647483825684,0.7544202208518982,0.1904768943786621,0.715904176235199,0.8449506163597107,0.07527520507574081,0.7696754336357117,2.210158098203685e-11,0.0014772886643186212,4.9003770982380956e-05,0.034549325704574585,0.3,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,17,0.8285117149353027,0.13613270223140717,0.8866906762123108,0.6900209784507751,0.136130228638649,0.2331043928861618,0.7544202208518982,0.1676836609840393,0.715904176235199,0.8284955024719238,0.06998960673809052,0.7585058808326721,2.056049774878943e-11,0.0019539264030754566,5.4105945309856907e-05,0.036858152598142624,0.3,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,18,0.8174569606781006,0.1232476681470871,0.8799629807472229,0.6900209784507751,0.12324437499046326,0.21440966427326202,0.7544202208518982,0.1475267857313156,0.715904176235199,0.8174387216567993,0.06994959712028503,0.7474891543388367,1.911483471506159e-11,0.002474146895110607,6.072964970371686e-05,0.038602564483881,0.3,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,19,0.8097556829452515,0.11361783742904663,0.8731635212898254,0.6900209784507751,0.11361361294984818,0.19845707714557648,0.7544202208518982,0.1324334293603897,0.715904176235199,0.8097343444824219,0.0731087177991867,0.736625611782074,1.779900532516976e-11,0.002967768581584096,7.107972487574443e-05,0.03961370512843132,0.3,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,20,0.8031274676322937,0.1069396510720253,0.8663414120674133,0.6900209784507751,0.10693459212779999,0.18568603694438934,0.7544202208518982,0.12155245989561081,0.715904176235199,0.8031010031700134,0.07717709988355637,0.7259238958358765,1.664273753532175e-11,0.0033696440514177084,8.82227614056319e-05,0.039804309606552124,0.3,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,21,0.7955323457717896,0.10263244062662125,0.8595513701438904,0.6900209784507751,0.10262685269117355,0.17625808715820312,0.7544202208518982,0.11571010947227478,0.715904176235199,0.7954976558685303,0.08011265099048615,0.7153850197792053,1.566686363974057e-11,0.003631429048255086,0.00011560898565221578,0.039190538227558136,0.3,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,22,0.7855752110481262,0.10009439289569855,0.8528401255607605,0.6900209784507751,0.10008873045444489,0.1700541228055954,0.7544202208518982,0.11311999708414078,0.715904176235199,0.785528302192688,0.08054354041814804,0.7049847841262817,1.488152830131373e-11,0.0037288630846887827,0.00015637854812666774,0.03788338229060173,0.3,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,23,0.7726783752441406,0.09887846559286118,0.8462384343147278,0.6900209784507751,0.09887319803237915,0.16672515869140625,0.7544202208518982,0.11150553822517395,0.715904176235199,0.772614598274231,0.07795330882072449,0.6946613192558289,1.42872788252979e-11,0.003663140581920743,0.00021267696865834296,0.03605707362294197,0.3,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,24,0.7570019960403442,0.09871669858694077,0.839758038520813,0.6900209784507751,0.09871221333742142,0.16576623916625977,0.7544202208518982,0.11050871014595032,0.715904176235199,0.7569164633750916,0.07260303944349289,0.6843134164810181,1.387778607309098e-11,0.00345667265355587,0.00028517338796518743,0.03391057252883911,0.3,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,25,0.7392026782035828,0.09944078326225281,0.8333932161331177,0.6900209784507751,0.09943731874227524,0.166590616106987,0.7544202208518982,0.10991636663675308,0.715904176235199,0.7390908002853394,0.0652819573879242,0.6738088130950928,1.3642491650256439e-11,0.0031455224379897118,0.0003728699521161616,0.031635262072086334,0.3,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,26,0.7201497554779053,0.10088299959897995,0.8271240592002869,0.6900209784507751,0.10088064521551132,0.16859062016010284,0.7544202208518982,0.11232223361730576,0.715904176235199,0.7200077772140503,0.05700748786330223,0.6630002856254578,1.3568453652301748e-11,0.0027710518334060907,0.0004732004308607429,0.029393568634986877,0.3,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,27,0.7006838321685791,0.10281629860401154,0.8209190368652344,0.6900209784507751,0.10281495004892349,0.17118589580059052,0.7544202208518982,0.11782609671354294,0.715904176235199,0.7005091309547424,0.0487644225358963,0.6517447233200073,1.364124958824764e-11,0.0023728657979518175,0.0005823718383908272,0.027308525517582893,0.3,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,28,0.6814579963684082,0.10494894534349442,0.8147351145744324,0.6900209784507751,0.10494840890169144,0.17385657131671906,0.7544202208518982,0.12267354875802994,0.715904176235199,0.6812492609024048,0.04132924973964691,0.6399199962615967,1.3845246130128608e-11,0.001983953407034278,0.0006958651356399059,0.02546209841966629,0.3,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,29,0.6628667116165161,0.10695812106132507,0.8085135817527771,0.6900209784507751,0.10695817321538925,0.17616486549377441,0.7544202208518982,0.1272927075624466,0.715904176235199,0.6626240015029907,0.03518756851553917,0.6274364590644836,1.4163567020608614e-11,0.0016281730495393276,0.0008089941693469882,0.023899484425783157,0.3,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,30,0.6450467705726624,0.10853517055511475,0.8021755218505859,0.6900209784507751,0.1085355207324028,0.1777658462524414,0.7544202208518982,0.13064290583133698,0.715904176235199,0.6447715163230896,0.030530523508787155,0.6142410039901733,1.457797597914645e-11,0.0013198693050071597,0.0009174381848424673,0.02263658493757248,0.3,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,31,0.6279223561286926,0.10942278057336807,0.795619547367096,0.6900209784507751,0.1094231829047203,0.17841021716594696,0.7544202208518982,0.13316456973552704,0.715904176235199,0.6276170611381531,0.027304889634251595,0.6003121733665466,1.506897905068083e-11,0.0010649063624441624,0.0010176743380725384,0.021668560802936554,0.3,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,32,0.6112759113311768,0.10943622142076492,0.7887230515480042,0.6900209784507751,0.10943644493818283,0.1779385358095169,0.7544202208518982,0.13446924090385437,0.715904176235199,0.6109437346458435,0.025289909914135933,0.5856538414955139,1.5615972057125838e-11,0.000862650282215327,0.0011072596535086632,0.020977970212697983,0.3,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,33,0.5948176980018616,0.10846969485282898,0.7813497185707092,0.6900209784507751,0.10846953094005585,0.17627239227294922,0.7544202208518982,0.1340310275554657,0.715904176235199,0.5944622159004211,0.024178022518754005,0.5702841877937317,1.619766820670776e-11,0.0007081559742800891,0.0011849403381347656,0.020541463047266006,0.3,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,34,0.5782483816146851,0.10649311542510986,0.7733610272407532,0.6900209784507751,0.10649234801530838,0.17340397834777832,0.7544202208518982,0.1321086436510086,0.715904176235199,0.5778732299804688,0.023644255474209785,0.5542289614677429,1.6792549989430583e-11,0.0005941531271673739,0.0012506034690886736,0.02033447101712227,0.3,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,35,0.5613046288490295,0.10354413837194443,0.7646296620368958,0.6900209784507751,0.10354258865118027,0.16938352584838867,0.7544202208518982,0.12857501208782196,0.715904176235199,0.5609130859375,0.023396862670779228,0.5375162363052368,1.737929765377455e-11,0.0005126529722474515,0.001305116107687354,0.02033383771777153,0.3,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,36,0.5437886714935303,0.09971914440393448,0.7550532221794128,0.6900209784507751,0.09971660375595093,0.16431204974651337,0.7544202208518982,0.12315788120031357,0.715904176235199,0.5433836579322815,0.023208031430840492,0.5201756358146667,1.7937278398716394e-11,0.00045597588177770376,0.0013501079520210624,0.020518548786640167,0.3,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,37,0.5255818367004395,0.09516428411006927,0.7445648312568665,0.6900209784507751,0.09516054391860962,0.15833227336406708,0.7544202208518982,0.11712347716093063,0.715904176235199,0.5251654982566833,0.022926870733499527,0.5022386312484741,1.844682739893244e-11,0.0004174009372945875,0.001387742580845952,0.020868998020887375,0.3,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,38,0.5066460371017456,0.09006694704294205,0.7331392168998718,0.6900209784507751,0.09006179124116898,0.1516224592924118,0.7544202208518982,0.11037250608205795,0.715904176235199,0.5062198638916016,0.02247874066233635,0.4837411344051361,1.8889610362005094e-11,0.000391412409953773,0.0014205051120370626,0.021365217864513397,0.3,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,39,0.48701387643814087,0.0846467986702919,0.7207921147346497,0.6900209784507751,0.08463999629020691,0.14439146220684052,0.7544202208518982,0.10377534478902817,0.715904176235199,0.4865785837173462,0.021854588761925697,0.46472400426864624,1.924892363558417e-11,0.00037377572152763605,0.0014510243199765682,0.021984705701470375,0.3,0.0,,,,,,,,,,,,,,
